name,degree,address,tel
여의도KBS홀,4.3,서울 영등포구 여의공원로 13,02-781-2290
아쿠아플라넷63,3.7,서울 영등포구 63로 50 리버타워,1833-7001
명화라이브홀,3.5,서울 영등포구 버드나루로 30,
영산아트홀,3.2,서울 영등포구 여의공원로 101 국민일보빌딩 지하2층,02-6181-5260
영등포아트홀,3.3,서울 영등포구 국회대로 596,02-2670-4020
국회도서관,3.4,서울 영등포구 의사당대로 1,02-6788-4211
문래도서관,4.5,서울 영등포구 문래로20길 49,02-2629-8600
63아트,3.0,서울 영등포구 63로 50 63빌딩 60층,1833-7001
영등포평생학습관,4.0,서울 영등포구 버드나루로15길 10,02-6712-7500
대림도서관,2.8,서울 영등포구 도신로 27,02-828-3700
국회의사당 국회박물관,1.6,서울 영등포구 의사당대로 1,02-6788-3664
선유도서관,4.8,서울 영등포구 선유로43가길 10-8,02-2163-0800
여의샛강도서관,3.8,서울 영등포구 여의대로 24,02-2629-2222
영등포문화원,4.0,서울 영등포구 신길로 275,02-846-0155
만천곤충박물관,4.3,서울 영등포구 영등포로 180 2층,02-2675-8724
영등포생각공장도서관,5.0,서울 영등포구 문래북로 105 1~3층,02-2069-1893
밤동산마을도서관,5.0,서울 영등포구 여의대방로61길 18-2,02-849-9716
tcc아트센터,5.0,서울 영등포구 국회대로 539,02-2639-1867
아트필드갤러리,4.0,서울 영등포구 도림로129길 2-1 1층,010-5218-7859
조롱박작은도서관,0.0,서울 영등포구 대림로8길 13-1,02-849-8935
SeMA 벙커,3.5,서울 영등포구 여의대로 지하 76 지하,02-2124-8800
프로보크서울,0.0,서울 영등포구 영신로 87,02-2631-7011
여의도 물빛무대,4.4,서울 영등포구 여의도동 84-1,02-586-0622
문래예술공장,5.0,서울 영등포구 경인로88길 5-4,02-2676-4300
GROUND220,4.6,서울 영등포구 선유로 173 2층,070-4855-0220
마음서랍 마을도서관,5.0,서울 영등포구 여의대방로43길 10 신길7동주민센터 5층,070-8895-1186
여의동공립작은도서관,0.0,서울 영등포구 국제금융로 124 주민센터 3층,02-784-2268
영등포동작은도서관,0.0,서울 영등포구 국회대로44길 4 자치회관 1층,02-2636-8222
언니네작은도서관,0.0,서울 영등포구 가마산로 313 바우빌딩 502호,010-8699-0633
신길6동작은도서관,0.0,서울 영등포구 대방천로 167 신길6동주민센터 2층,02-832-7476
한국잡지정보관,0.0,서울 영등포구 여의대방로67길 11 지하 1층,02-360-0041
늘샘드리마을도서관,5.0,서울 영등포구 도영로7길 10 4층,02-848-9622
청소년문화의집 작은도서관,3.0,서울 영등포구 영등포로64길 15 청소년문화회관 1층,02-843-5935
당산2동작은도서관,0.0,서울 영등포구 당산로41가길 7 당산2동복합청사 3층,02-2632-2276
신길1동작은도서관,0.0,서울 영등포구 영등포로84길 24-5 신길종합사회복지관 2층,070-8895-1184
양평1동작은도서관,0.0,서울 영등포구 선유서로34길 10 주민복지회관 4층,02-3667-9996
영등포본동공립작은도서관,0.0,서울 영등포구 신길로61길 17 영등포본동주민센터 3층,02-847-8883
신길4동드나드리마을도서관,0.0,서울 영등포구 신길로42길 1 2층,02-3457-7688
영등포아트스퀘어,0.0,서울 영등포구 영중로 15 타임스퀘어 지하 2층,02-3457-7751
창작플랫폼 경험과상상,3.0,서울 영등포구 선유동2로 46 유원종합상가 지하1층,02-6949-2016
아트리움,5.0,서울 영등포구 영중로 15,
문래동작은도서관,0.0,서울 영등포구 도림로141가길 16 1층,02-2068-8919
구민회관 작은도서관,0.0,서울 영등포구 국회대로 596 3층,02-2678-9997
생각나무마을도서관,0.0,서울 영등포구 신길로41라길 13-8 주민센터 2층,02-833-0399
당산1동작은도서관,0.0,서울 영등포구 양산로23길 11 당산제1동주민센터 2층,02-2677-7916
양평2동작은도서관,0.0,서울 영등포구 선유로47길 30 주민센터 4층,02-2679-5252
꿈터마을도서관,0.0,서울 영등포구 도림로 264 신길5동주민센터 3층,02-836-1005
목화마을작은도서관,0.0,서울 영등포구 선유로13길 25 에이스하이테크시티2차 218호,02-811-7410
도림동작은도서관,0.0,서울 영등포구 도신로33길 4 1층,02-833-3036
문래재즈인,5.0,서울 영등포구 도림로 475 지하1층,02-2633-3025
대림2동작은도서관,0.0,서울 영등포구 대림로23길 27 복지관 4층,02-832-1215
포레나 라곰작은도서관,0.0,서울 영등포구 국회대로50길 20 포레나 영등포 센트럴 3층,
홍우작은도서관,0.0,서울 영등포구 국제금융로 78 601호,02-782-1248
해오름어린이작은도서관,5.0,서울 영등포구 당산로44길 3 608호,02-2679-6270
쪼물왕국어린이도서관,0.0,서울 영등포구 선유로53길 34-14,02-6408-7205
H하우스라이브러리,0.0,서울 영등포구 시흥대로 595 201호,02-6949-1924
요셉의원작은도서관,0.0,서울 영등포구 경인로100길 6,
술술센터,5.0,서울 영등포구 도림로133길 15,02-2634-2220
대길열린문고,0.0,서울 영등포구 영등포로84길 24-14,02-831-9909
북마크어린이도서관,0.0,서울 영등포구 선유로 277-9 북마크 지하1층 도서관,02-2678-6378
한믿음도서관,0.0,서울 영등포구 대방천로12길 5-2 1층,02-847-8228
꿈나무작은도서관,0.0,서울 영등포구 도림로39길 9 202호,
쌍용도서관,0.0,서울 영등포구 도영로7길 15 쌍용플레티넘시티 104동 2층,02-3289-7500
신길문화체육도서관 (2024년10월예정),5.0,서울 영등포구 신길동 4946,
에듀까페맘작은도서관,0.0,서울 영등포구 대방천로 140-1,
꼴라보하우스 문래,0.0,서울 영등포구 도림로139가길 8,
대림1동작은도서관,0.0,서울 영등포구 디지털로 441 자치회관 4층,02-834-4560
서울특별시교육청영등포평생학습관 스마트도서관,1.0,서울 영등포구 양평로 지하 40 10번 출구 역사 내,02-6712-7561
