name,degree,address,tel
국립중앙박물관,4.6,서울 용산구 서빙고로 137,02-2077-9000
전쟁기념관,4.5,서울 용산구 이태원로 29,02-709-3114
리움미술관,4.4,서울 용산구 이태원로55길 60-16,02-2014-6901
블루스퀘어 신한카드홀,2.3,서울 용산구 이태원로 294,1544-1591
블루스퀘어,3.1,서울 용산구 이태원로 294,1544-1591
서울특별시교육청 남산도서관,3.8,서울 용산구 소월로 109,02-754-7338
국립한글박물관,3.9,서울 용산구 서빙고로 139,02-2124-6200
아모레퍼시픽미술관,4.3,서울 용산구 한강대로 100,02-6040-2345
국립중앙박물관 어린이박물관,4.6,서울 용산구 서빙고로 137,02-2077-9647
백범김구기념관,4.5,서울 용산구 임정로 26,02-799-3400
국립중앙박물관 극장 용,4.5,서울 용산구 서빙고로 137 4층,1544-5955
블루스퀘어 마스터카드홀,1.7,서울 용산구 이태원로 294,1544-1591
용산역사박물관,4.9,서울 용산구 한강대로14길 35-29,02-2199-4620
노들섬라이브하우스,2.9,서울 용산구 이촌동 302-146,
서울특별시교육청 용산도서관,3.0,서울 용산구 두텁바위로 160,02-6902-7777
용산아트홀,4.8,서울 용산구 녹사평대로 150 종합행정타운 지하3층~1층,02-2199-7260
페이스갤러리,4.7,서울 용산구 이태원로 267,
전쟁기념관 어린이박물관,4.2,서울 용산구 이태원로 29,02-709-3200
현대카드 뮤직 라이브러리,4.2,서울 용산구 이태원로 246,02-331-6300
일신홀,0.0,서울 용산구 한남대로 98,02-790-3364
식민지역사박물관,4.9,서울 용산구 청파로47다길 27 서현빌딩 1층,02-2139-0427
동자아트홀,1.1,서울 용산구 한강대로 372 KDB생명타워 지하2층,02-6388-7978
국립중앙박물관 기획전시실,4.4,서울 용산구 서빙고로 137,02-2077-9000
백범김구기념관 컨벤션홀,0.0,서울 용산구 임정로 26,
대원뮤지엄,3.7,서울 용산구 한강대로23길 55 아이파크몰 테마파크 6층 팝콘디스퀘어 내,02-6373-3365
타데우스 로팍 서울,4.7,서울 용산구 독서당로 122-1 2층,02-6949-1760
현대카드 스토리지,4.4,서울 용산구 이태원로 248 지하 2층,02-2014-7850
용산아트홀 대극장미르,5.0,서울 용산구 녹사평대로 150,02-2199-7260
노들섬 다목적홀 숲,3.0,서울 용산구 양녕로 446 1층,02-749-4500
민주화운동기념관,4.1,서울 용산구 한강대로71길 37,031-361-9525
용산꿈나무도서관,4.2,서울 용산구 백범로 329 3층,02-707-0138
청파도서관,5.0,서울 용산구 청파로93길 27 청파동자치센터 1층,02-714-3931
언더스테이지,5.0,서울 용산구 이태원로 246,02-331-6301
전쟁기념관 평화의광장,4.2,서울 용산구 이태원로 29,02-709-3114
그랜드하얏트서울 그랜드볼룸,0.0,서울 용산구 소월로 322 1층,02-797-1234
고래이야기,0.0,서울 용산구 효창원로 157 효창맨숀아파트 1층,070-8950-0615
용산청년지음,5.0,서울 용산구 서빙고로 17 헤링턴스퀘어 공공시설동 3층,02-6261-1934
현대카드 언더스테이지,0.0,서울 용산구 이태원로 246,
한남동작은도서관,0.0,서울 용산구 이태원로 224-19 공영주차장 2층,02-2199-8742
청파어린이영어도서관,0.0,서울 용산구 청파로49길 34 4층,02-702-0641
용산문화원,0.0,서울 용산구 효창원로8길 28,02-703-0052
갤러리조은,4.3,서울 용산구 이태원로55가길 3 골드너겟빌딩 1층,02-790-5889
숙명여자대학교 중앙도서관,4.4,서울 용산구 청파로47길 99,02-710-9125
파운드리서울,5.0,"서울 용산구 이태원로 223 지하1, 2층",02-595-0223
김세중미술관,0.0,서울 용산구 효창원로70길 35,02-717-5129
가나아트 보광,4.5,서울 용산구 보광로 42,02-395-5005
더줌아트센터,0.0,서울 용산구 독서당로 111,02-790-6792
이음갤러리,3.7,서울 용산구 이태원로 217 현대안성타워 지하2층,
용암어린이영어도서관,0.0,서울 용산구 신흥로3가길 21-7 2층,02-798-4181
별밭작은도서관,0.0,서울 용산구 대사관로34길 49 제천회관 4층,02-2199-8740
한강로동작은도서관,3.7,서울 용산구 한강대로38길 28 한강로동주민센터 3층,02-2199-8743
프로세스 이태원점,5.0,서울 용산구 우사단로 42 3층,
바라카작은도서관,5.0,서울 용산구 우사단로 13-2,
감정선프로젝트,3.4,서울 용산구 회나무로 7 지하 1층,010-3161-6591
청파3가작은도서관,0.0,서울 용산구 원효로97길 30 1층,02-719-4088
갤러리비선재,5.0,서울 용산구 유엔빌리지3길 54-14 지층,02-793-5445
뉴스프링프로젝트,5.0,서울 용산구 이태원로45길 22,070-5057-0222
현대카드 아트라이브러리,4.6,서울 용산구 이태원로 248 2층,02-2014-7899
용산도시기억전시관,3.7,"서울 용산구 서빙고로 17 용산센트럴파크 해링턴스퀘어 공공시설동 1,2층",02-3785-2590
남영동작은도서관,0.0,서울 용산구 두텁바위로1길 13,02-775-9260
한익환 서울아트박물관,5.0,서울 용산구 한남대로 108,02-796-0100
용산베르디움프렌즈작은도서관,0.0,서울 용산구 백범로99길 40 101동 3층,02-794-9980
용산랜드홀,5.0,서울 용산구 청파로 74 용산전자랜드 신관 2층,02-707-4645
YTN 남산갤러리,5.0,서울 용산구 용산동2가 산 1-3,
청소년수련관푸르미르,0.0,서울 용산구 이촌로71길 24 청소년수련관 5층,02-749-0102
효창동작은도서관,0.0,서울 용산구 효창원로 161 효창동사무소 3층,02-2199-8753
리움미술관 M2,3.5,서울 용산구 이태원로55길 60-16,02-2014-6901
오렌지나무작은도서관,2.0,서울 용산구 효창원로37길 1 어울림센터 2층,02-2199-8754
갤러리그라프,0.0,서울 용산구 독서당로 123 아울스 스퀘어 1층,
북카페라온아토,0.0,서울 용산구 한강대로38길 28,02-2199-8743
U+Library,0.0,서울 용산구 한강대로 32,070-4080-3004
백합어린이도서관,0.0,서울 용산구 후암로15길 19-22 후암백합교회 1층,02-755-0525
창작예술집단 보광극장,5.0,서울 용산구 장문로19길 4,010-6865-6311
서울비전문고,0.0,서울 용산구 원효로71길 24 비전교회,02-703-9641
가나아트 나인원,0.0,서울 용산구 한남대로 91 고메이494 한남 103호,02-795-5006
서울문화예술교육센터 용산,4.5,"서울 용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 업무,공공시설동 1,5,6층",02-3785-3199
용산e편한세상북카페작은도서관,0.0,서울 용산구 원효로 216 109동 지하1층,070-8899-8842
컴포트서울,3.5,서울 용산구 두텁바위로60길 45,
이태원글빛작은도서관,0.0,서울 용산구 이태원로15길 1 2층,02-759-9146
전쟁기념관 기획전시실,4.0,서울 용산구 이태원로 29 2층,02-709-3114
글로벌아동도서관,0.0,서울 용산구 이촌로 248 한강맨션 37동 103호,070-7535-8996
파이프갤러리,0.0,"서울 용산구 대사관로 21 2,3층",0507-1316-3996
대원콘텐츠라이브,0.0,서울 용산구 한강대로23길 55 아이파크몰 6층,02-6373-3364
리움미술관 M1,4.3,서울 용산구 이태원로55길 60-16,02-2014-6901
