name,degree,address,tel
은평구립도서관,3.6,서울 은평구 통일로78가길 13-84,02-385-1671
구립구산동도서관마을,4.9,서울 은평구 연서로13길 29-23,02-357-0100
구립응암정보도서관,4.7,"서울 은평구 가좌로 179 성지빌딩 2,3층",02-308-2320
은평문화예술회관,2.2,서울 은평구 녹번로 16,02-351-3736
은평역사한옥박물관,2.8,서울 은평구 연서로50길 8,02-351-8556
구립증산정보도서관,4.9,서울 은평구 증산로5길 6,02-307-6030
사비나미술관,4.3,서울 은평구 진관1로 93,02-736-4371
서울기록원,4.8,서울 은평구 통일로62길 7,02-350-5600
내를건너서숲으로도서관,4.8,서울 은평구 증산로17길 50,02-307-6701
은평뉴타운도서관,4.5,서울 은평구 진관2로 111-51,02-6341-6400
은뜨락도서관,4.6,서울 은평구 통일로 972,02-389-7635
불광천작은도서관,4.4,서울 은평구 응암동 610-3 1층,02-308-3117
대조꿈나무어린이도서관,4.5,서울 은평구 연서로20길 24-6,02-382-3959
응암도서관,0.0,서울 은평구 은평로16길 12-1 응암교회교육관,02-359-6744
은평어린이영어도서관,5.0,서울 은평구 서오릉로 87 은평구평생학습관 1층,02-351-3674
다문화박물관,4.0,서울 은평구 불광로 135,02-323-6848
은평문화원,0.0,서울 은평구 수색로 282 2~4층,02-383-9300
포수마을만화도서관,5.0,서울 은평구 응암동 95-1 1층,070-4963-5212
구립상림도서관,0.0,"서울 은평구 진관4로 48-25 1,2층",02-383-7557
물푸레책푸레 작은도서관,5.0,서울 은평구 진관4로 48-51 상림마을 742동 1층,
은평작은도서관,0.0,서울 은평구 은평로 195 별관 1층,02-351-8461
어린이도서관동네북,5.0,서울 은평구 진흥로 174 양광비전센터 3층,070-4652-3160
은평뉴타운상림마을14단지마을문고,0.0,서울 은평구 진관4로 48-51 은평뉴타운 상림마을 730동 1층,02-351-3995
포수마을만화도서관,0.0,서울 은평구 증산로 476,070-4963-6212
신사어린이도서관,0.0,서울 은평구 은평로 38 신사종합사회복지관,070-4757-7026
상림책마루작은도서관,0.0,서울 은평구 진관4로 17 은평뉴타운상림마을 811동 1층 주민편의시설,02-355-2281
초록길도서관,0.0,서울 은평구 연서로5길 28 부호아파트 58-9호,02-357-7279
청소년문화공간JU역촌동작은도서관,5.0,서울 은평구 역말로 14 역촌동성당 3층,02-382-5652
예뜰도서관,0.0,서울 은평구 은평로3길 7 은평비젼센터 1층,02-2640-3264
두드림도서관,0.0,서울 은평구 진관3로 15-35 은평뉴타운구파발아파트 1001동 1층,02-358-9559
그루터기작은도서관,0.0,서울 은평구 은평로10길 17 2층,
수색한숲도서관,0.0,서울 은평구 은평터널로 66 대림한숲타운아파트 2관리사무소 관리동 1층,02-304-8684
청소년도서관작공,0.0,서울 은평구 통일로 817 대조빌딩 3층,070-7657-1533
꿈샘도서관,5.0,서울 은평구 응암로20길 24 한성교회교육관 1층,02-376-9196
북한산힐스테이트1차솔숲작은도서관,0.0,서울 은평구 불광로2길 33 1110동 지하주차장 입구,02-356-4620
은광교회도서관,0.0,서울 은평구 통일로68길 11,02-383-2116
책뜰에도서관,0.0,서울 은평구 북한산로 2 은평뉴타운구파발1023동 1층,02-355-6893
물빛마을작은도서관,0.0,서울 은평구 은평터널로 48 은평종합사회복지관 4층,02-307-1181
지혜숲작은도서관,0.0,서울 은평구 응암로21길 12,070-8132-9191
매바위북카페작은도서관,1.0,서울 은평구 백련산로 100 응암제2동주민센터,02-351-5264
다섯콩작은도서관,0.0,서울 은평구 서오릉로4길 10 2층,02-384-1184
복합문화공간틈연신내마을공연장,1.0,서울 은평구 연서로27길 13-10,070-7799-4130
우물골작은도서관,0.0,서울 은평구 진관2로 77 은평뉴타운우물골 206동 1층,02-353-1548
마고정작은도서관,0.0,서울 은평구 진관2로 60 335동 1층 뒤,02-353-1346
삼각산금암미술관,5.0,서울 은평구 진관길 21-2,02-351-8554
갈현1동고리마루작은도서관,0.0,서울 은평구 갈현로 301 갈현1동 주민센터,02-351-5095
샤머니즘박물관,5.0,서울 은평구 진관2로 57-23,02-389-6522
물빛캐슬작은도서관,0.0,서울 은평구 수색로 300 DMC롯데캐슬더퍼스트 105동 1층,02-2039-8185
은평문화의집작은도서관,5.0,서울 은평구 백련산로 179,02-351-5238
은평역사한옥박물관 작은도서관,0.0,서울 은평구 연서로50길 8,02-351-8523
사랑꿈터작은도서관,0.0,서울 은평구 진관4로 47 은평뉴타운상림마을 706동 1층,
꿈마루작은도서관,0.0,서울 은평구 진흥로5길 19 1층,02-382-9182
효경골작은도서관,0.0,서울 은평구 연서로27길 31-6 갈현2동 주민센터,02-351-5147
징검다리도서관,0.0,서울 은평구 서오릉로 132,02-359-6507
꿈꾸는작은도서관,0.0,서울 은평구 진흥로1길 17 1층,070-7518-2148
해모로꿈모락,0.0,서울 은평구 응암로30길 15 커뮤니티 2층,
비전뜰도서관,0.0,서울 은평구 통일로92길 7-1 남북교회,
꿈담은작은도서관,0.0,서울 은평구 연서로41길 4,
녹번역이편한세상캐슬 작은도서관,0.0,서울 은평구 은평로 220,02-389-8560
다니엘작은도서관,0.0,서울 은평구 연서로41길 13-3 부림교회,02-385-0664
시루뫼쉼터작은도서관,0.0,서울 은평구 증산서길 89 증산동주민센터 5층,02-351-5395
행복나눔작은도서관,0.0,서울 은평구 연서로25길 6-2 2층,
천주교연신내성당북카페,0.0,서울 은평구 연서로43길 6,02-353-6307
푸른풀밭작은도서관,5.0,서울 은평구 백련산로 133 4층,070-4236-0699
두근두근작은도서관,0.0,서울 은평구 진관2로 90 마고정3단지아파트 314동,070-7325-1307
영광영재도서관,5.0,서울 은평구 갈현로7가길 10 제일영광교회,02-354-7177
열려라작은도서관,0.0,서울 은평구 가좌로 334 응암역효성해링턴플레이스 103동 커뮤니티동 1층,070-4151-0334
바다의별작은도서관,0.0,서울 은평구 통일로 786,02-355-0545
올리브나무도서관,0.0,서울 은평구 은평터널로 198,02-6407-1255
정임도서관,0.0,서울 은평구 통일로 951 2층,
녹번만화도서관,1.0,서울 은평구 은평로 245,02-356-1676
두더집,0.0,서울 은평구 불광로 89-4,02-356-7941
셋이서문학관,3.7,서울 은평구 진관길 23,02-351-8553
은혜뜰작은도서관,0.0,서울 은평구 가좌로 305,02-3305-5820
어울마루,0.0,서울 은평구 갈현로7길 34-1,070-7576-2311
성산작은도서관,0.0,서울 은평구 증산서길 90,02-305-9200
풍성한알곡비전센터,0.0,서울 은평구 갈현로 235 1층,
증산동성산주민문고,0.0,서울 은평구 증산서길 90,02-305-9200
산책마을SH작은도서관,0.0,서울 은평구 연서로46길 7 은평뉴타운기자촌11단지 1110동 지하1층,02-351-3677
힐스테이트녹번역도서관,0.0,서울 은평구 은평로 240 커뮤니티 111동,
롯데캐슬문고,0.0,서울 은평구 진관3로 70 은평뉴타운 830동 1층,02-355-6307
누리작은도서관,0.0,서울 은평구 연서로14길 8-8 3층,
백련산힐스작은도서관,0.0,서울 은평구 백련산로 38 208동 지하1층,02-302-0950
갈현1동문화의집문고,0.0,서울 은평구 갈현로 301 갈현1동 주민센터,02-351-5116
큰꿈도서관,0.0,서울 은평구 진관2로 57-37 은평뉴타운우물골 244동 지하1층,02-354-1651
행복나눔작은도서관,0.0,서울 은평구 갈현로11길 7 현대화타운 3층 301호,
래미안푸른숲도서관,0.0,서울 은평구 진관3로 77 은평뉴타운구파발아파트 924동 1층,070-8800-8557
꿈꾸는i작은도서관,0.0,서울 은평구 진관3로 46,02-353-2829
아오스딩도서관,0.0,서울 은평구 은평로 205 녹번동성당,02-358-5001
지웰작은도서관,0.0,서울 은평구 진관4로 78-38,02-353-0911
서영영어전문작은도서관,0.0,서울 은평구 증산로11길 7-12,070-4334-1771
지혜누리작은도서관,0.0,서울 은평구 연서로44길 30 425동 2층,02-358-5935
서문어린이도서관,0.0,서울 은평구 가좌로10길 10,02-375-0025
나누리작은도서관,0.0,서울 은평구 진관1로 55 308동 지층,
종이책갈피작은도서관,0.0,서울 은평구 진관3로 67 912동 1층,02-353-4311
국립한국문학관 (2026년 예정),0.0,서울 은평구 진관동 175-895,
