name,degree,address,tel
세종문화회관,3.7,서울 종로구 세종대로 175,02-399-1000
세종문화회관 대극장,3.5,서울 종로구 세종대로 175,02-399-1111
세종문화회관 미술관,4.7,서울 종로구 세종대로 175 지하1층,
인사동 문화의거리,3.8,서울 종로구 인사동10길 11-4,
북촌문화센터,4.3,서울 종로구 계동길 37,02-2133-1371
세종문화회관 M씨어터,0.0,서울 종로구 세종대로 175,02-399-1000
문화사우나,1.0,서울 종로구 돈화문로5길 28-3,02-765-3451
세종문화회관 체임버홀,3.2,서울 종로구 세종대로 175,
세종문화회관 S씨어터,4.0,서울 종로구 세종대로 175,02-399-1000
세종마을 음식문화거리,3.6,서울 종로구 체부동 189-1,
문화공간 길담,5.0,서울 종로구 자하문로17길 12-9 1층,02-722-1368
종로문화체육센터,3.7,서울 종로구 인왕산로1길 21,02-6048-1234
종로문화재단,0.0,"서울 종로구 새문안로 41 4,5층",02-6203-1155
서울문화재단 대학로극장 쿼드,3.0,"서울 종로구 동숭길 122 서울문화재단 대학로센터 지하 1,2층",1577-0369
북촌동양문화박물관,4.6,서울 종로구 북촌로11길 76,02-723-0190
한국공예디자인문화진흥원 갤러리,5.0,서울 종로구 인사동11길 8,02-732-9382
한국공예디자인문화진흥원,0.0,서울 종로구 율곡로 53 5층,02-398-7900
복합문화공간에무,4.3,서울 종로구 경희궁1가길 7,02-730-5515
서일문화예술고등학교,,서울 종로구 지봉로17길 49,02-763-5863
대한출판문화협회,2.3,서울 종로구 삼청로 6 출판문화회관,02-733-8402
한식문화공간이음,4.3,"서울 종로구 북촌로 18 지하1층, 1~4층",
한국장애인문화예술원,0.0,서울 종로구 대학로 112,02-760-9700
서울문화재단 서울연극센터,5.0,서울 종로구 대명길 3,02-743-9333
문화디브이디,0.0,서울 종로구 돈화문로5길 34,
문화공간온,5.0,서울 종로구 종로 77 통일빌딩 3층,02-730-3370
정림건축문화재단,5.0,서울 종로구 자하문로8길 19 1층,02-3210-4990
KT문화재단 광화문지사,,서울 종로구 세종대로 178,
전통문화예술공연장,0.0,서울 종로구 우정국로 55 한국불교역사문화기념관 지하2층,02-2011-1700
코닥문화칼라,4.9,서울 종로구 종로 19 르메이에르 1층,02-732-2880
대화문화아카데미,0.0,서울 종로구 평창6길 35,02-395-0781
서울문화재단 대학로센터,0.0,서울 종로구 동숭길 122,
서울문화재단 대학로,,서울 종로구 동숭길 122,
동부여성문화센터,0.0,서울 종로구 창신길 124,02-3675-5861
지역문화진흥원,0.0,서울 종로구 율곡로 190 여전도회관 5층,02-2623-3100
남일문화,0.0,서울 종로구 자하문로16길 8,
서울생활문화센터 체부 체부홀,0.0,서울 종로구 자하문로1나길 3-2,
세종문화회관 예술의정원,5.0,서울 종로구 세종대로 175,02-399-1114
한국문화센터 광화문지부,5.0,서울 종로구 새문안로3길 7 한글회관 3층 306호,02-737-0621
문화수제비,5.0,"서울 종로구 새문안로5길 19 로얄빌딩 지하 1층 9,15,16호",
NC문화재단,0.0,서울 종로구 이화장길 100,02-6320-2400
