name,degree,address,tel
동대문디자인플라자,4.0,서울 중구 을지로 281,02-2153-0000
서울시립미술관 서소문본관,3.5,서울 중구 덕수궁길 61,02-2124-8800
충무아트센터,3.3,서울 중구 퇴계로 387,
그라운드시소 센트럴,4.4,서울 중구 세종대로 14 그랜드 센트럴 3층,1522-1796
국립현대미술관 덕수궁,4.2,서울 중구 세종대로 99 덕수궁 구 조선고미술진열관,02-2022-0600
국립극장,4.5,서울 중구 장충단로 59,02-2280-4114
한국은행 화폐박물관,4.1,서울 중구 남대문로 39,02-759-4114
서소문성지역사박물관,4.6,서울 중구 칠패로 5,02-3147-2401
명보아트홀,5.0,서울 중구 마른내로 47,02-2274-2121
하이커그라운드,4.0,서울 중구 청계천로 40 1~5층,02-729-9594
문화역서울284,4.5,"서울 중구 통일로 1 1,2층",02-3407-3500
피크닉,3.7,서울 중구 퇴계로6가길 30,02-318-3233
국립정동극장,4.1,서울 중구 정동길 43,02-751-1500
한국의집,4.2,서울 중구 퇴계로36길 10,02-2266-9101
안중근의사기념관,4.6,서울 중구 소월로 91,02-3789-1016
명동난타극장,4.8,서울 중구 명동길 26 유네스코빌딩 3층,02-739-8288
충무아트센터 대극장,4.3,서울 중구 퇴계로 387 충무아트홀,02-2230-6600
국립극장 해오름극장,4.3,서울 중구 장충단로 59,
서울도서관,4.0,서울 중구 세종대로 110,02-120
경향아트힐,2.1,서울 중구 정동길 3,
서울클럽,4.7,서울 중구 장충단로 86,02-2238-7666
손기정문화도서관,4.8,서울 중구 손기정로 101-3,02-2230-2950
국립정동극장 세실,3.7,서울 중구 세종대로19길 16,02-751-1500
그라운드시소 명동,4.2,서울 중구 남대문로 73 에비뉴엘 9층,02-501-9544
동국대학교 서울캠퍼스 이해랑예술극장,3.2,서울 중구 필동로1길 30,02-2260-8563
푸르지오아트홀,0.0,서울 중구 을지로 170 을지트윈타워 서관 3층,02-2288-2864
서울특별시교육청융합과학교육원 남산분원,5.0,서울 중구 소파로 46,02-311-1276
정동1928아트센터,4.4,서울 중구 덕수궁길 130,02-722-1928
서울남산국악당,5.0,서울 중구 퇴계로34길 28,02-6358-5500
동대문디자인플라자 디자인전시관,4.4,서울 중구 을지로 281 배움터 지하2층,1833-4321
동대문역사문화공원 동대문운동장기념관,3.2,서울 중구 을지로 281,02-2153-0201
서울도시건축전시관,3.8,서울 중구 세종대로 119,02-736-8050
서울유관순기념관,4.8,서울 중구 통일로4길 30-1,02-752-3363
국립극장 달오름극장,5.0,서울 중구 장충단로 59,02-2280-4114
농업박물관,4.7,서울 중구 새문안로 16 농협중앙회,02-2080-5727
CKL스테이지,5.0,서울 중구 청계천로 40 지하1층,02-6441-3951
충무아트센터 중극장 블랙,0.0,서울 중구 퇴계로 387,02-2230-6600
아트조선스페이스,2.3,서울 중구 세종대로21길 30 별관 1층,02-736-7833
배재학당역사박물관,4.9,서울 중구 서소문로11길 19,02-319-5578
다산성곽도서관,4.3,서울 중구 동호로17길 173 1~3층,02-2230-2965
서울시민청 바스락홀,1.0,서울 중구 세종대로 110 서울특별시청 지하2층,02-739-5225
국립극장 KB국민은행청소년하늘극장,4.5,서울 중구 장충단로 59,02-2280-4115
우표박물관,4.5,서울 중구 소공로 70 서울중앙우체국 지하2층,02-6450-5600
신세계 남산 트리니티홀,0.0,서울 중구 장충단로 180,
국토발전전시관,4.1,서울 중구 정동길 18,02-3425-8900
종이나라박물관,4.7,서울 중구 장충단로 166 3층,02-2279-7901
커뮤니티하우스 마실,0.0,서울 중구 명동11길 14,070-4242-8702
한국금융사박물관,4.7,"서울 중구 세종대로 135-5 3, 4층",02-2151-7677
온드림 소사이어티,0.0,"서울 중구 명동길 73 1,6층",
이회영기념관,5.0,서울 중구 퇴계로26길 36 지하1층,02-755-0610
문화일보홀,3.0,서울 중구 새문안로 22,02-3701-5832
하트원,5.0,서울 중구 을지로 167,
어울림도서관,3.7,서울 중구 다산로38길 66-35,02-2230-2901
가온도서관,3.4,서울 중구 동호로14길 18,02-2230-2921
서울문화재단 시민청,0.0,"서울 중구 세종대로 110 서울시청 지하1,지하2층",02-739-5814
농협중앙회 쌀박물관,4.7,서울 중구 새문안로 16,02-2080-5727
삼일로창고극장,0.0,서울 중구 삼일대로9길 12,02-3789-9640
공간채비,5.0,서울 중구 서애로1길 11 헤센스마트 상가 201호,02-739-9517
중구청작은도서관,4.5,서울 중구 창경궁로 17 1층,02-3396-4003
장충동작은도서관,5.0,서울 중구 동호로25길 33 지하1층,02-2230-2970
순화동천,4.5,서울 중구 서소문로9길 28 덕수궁롯데캐슬 201동 컬처센터 1층,02-772-9001
일우스페이스,1.0,서울 중구 서소문로 117 대한항공 빌딩 1층,
공간하제,0.0,서울 중구 필동로1길 10-6 지하1층,0507-1410-7595
KF갤러리,0.0,서울 중구 을지로5길 26 미래에셋센터원빌딩 서관 2층,
동대문디자인플라자(DDP) 어울림광장,0.0,서울 중구 을지로 281,02-2153-0000
필동작은도서관,5.0,서울 중구 필동로 11 3층,02-2266-4005
정동어린이도서관 하늘씨앗,0.0,서울 중구 정동길 46 정동제일교회,02-776-8762
손기정기념관,4.3,서울 중구 손기정로 101-4,02-364-1936
페인터즈 NH아트홀 전용관,5.0,서울 중구 통일로 120 지하2층,02-766-7848
청구동작은도서관,5.0,서울 중구 다산로24가길 23 동산공영주차장 문화마당 1층,02-2234-8771
구세군역사박물관,5.0,서울 중구 덕수궁길 130,02-725-1180
V SPACE,5.0,서울 중구 을지로 264 롯데 피트인 9층,02-6352-6736
우리은행 은행사박물관,0.0,서울 중구 소공로 51 지하1층,02-2002-5090
