name,degree,address,tel
중랑구립정보도서관,4.8,서울 중랑구 신내로15길 197,02-3407-1111
중랑상봉도서관,3.7,서울 중랑구 동일로114길 10 3~5층,02-2209-0090
중랑구립면목정보도서관,2.5,서울 중랑구 면목로 397,02-432-4123
중랑아트센터,4.8,서울 중랑구 망우로 353 이노시티 C동 지하2층,02-3407-6541
겸재작은도서관,5.0,서울 중랑구 면목동 1031-22,070-4209-5183
양원숲속도서관,4.7,서울 중랑구 송림길 172,02-432-0710
중랑구민회관 대극장,1.0,서울 중랑구 면목로 238,02-2207-6130
장미작은도서관,4.8,서울 중랑구 중화동 346,070-4209-4306
망우마중마을활력소,0.0,서울 중랑구 용마산로 461,
장안벚꽃길작은도서관,0.0,서울 중랑구 면목동 727-24 장안힐스테이트아파트 건너편 뚝방길,070-8610-0301
중화어린이도서관,0.0,서울 중랑구 중랑역로3길 28 중화문화복지센터 3층,02-494-1846
서울특별시교육청융합과학교육원 동부분원,4.0,서울 중랑구 면목로23길 20,02-2209-9906
중랑망우공간,0.0,서울 중랑구 망우로91길 2,02-496-8975
중랑문화원,0.0,서울 중랑구 면목로 238 중랑구민회관 3층,02-492-0066
신내우디안2단지나무그늘도서관,0.0,서울 중랑구 신내역로 165 신내우디안2단지 203동 1층,02-3421-1413
행복터작은도서관,0.0,서울 중랑구 답십리로81길 35 샘터공원,02-433-6147
신내2동북카페,0.0,서울 중랑구 봉화산로 190 2층 관상복합청사,02-2094-6604
사가정마중마을활력소,0.0,서울 중랑구 면목로45길 3-2,02-435-1260
중랑숲어린이도서관,5.0,서울 중랑구 망우로73길 46-1,02-6235-1150
새마을문고면목3.8동분회작은도서관,0.0,"서울 중랑구 사가정로51길 48 면목3,8동 주민센터",02-2094-6084
책소리작은도서관,5.0,서울 중랑구 겸재로 138 새로운교회 2층,02-432-1691
새마을문고면목7동분회작은도서관,0.0,서울 중랑구 사가정로50길 91 커뮤니티센터 2층,02-435-6201
LH서울양원1단지행복한작은도서관,0.0,서울 중랑구 양원역로 92 LH서울양원1단지 주거행복지원센터 101동 1층,070-4496-6204
중랑양원미디어센터,0.0,서울 중랑구 용마산로 670 신내역 프라디움 더 테라스 공공기여시설 지하1층,070-4155-0663
새마을문고면목4동분회작은도서관,0.0,서울 중랑구 면목로 246 면목4동 주민센터,02-2094-6124
"동성1,2차아파트문고",0.0,서울 중랑구 신내로 126,02-495-1630
새마을문고망우3동분회작은도서관,1.0,서울 중랑구 겸재로61길 40 주민센터 1층,02-2094-6524
은혜의숲작은도서관,0.0,서울 중랑구 중랑역로 167,02-978-6235
영지도서관,0.0,서울 중랑구 공릉로2가길 9,02-977-0312
새마을문고중화2동분회작은도서관,5.0,서울 중랑구 동일로129길 1 주민센터 7층,02-2094-6364
휴앤해피작은도서관,0.0,서울 중랑구 송림길 4 3층,02-435-2151
예광독서방,0.0,서울 중랑구 면목로78길 13 예광교회 1층,02-492-1752
새마을문고상봉1동분회작은도서관,1.0,서울 중랑구 상봉중앙로1길 6 상봉1동 주민센터 2층,02-495-5494
한양수자인사가정파크작은도서관,0.0,서울 중랑구 사가정로72길 26,02-496-9866
에셀나무작은도서관,0.0,서울 중랑구 겸재로3길 52 2층,
양원역작은도서관,0.0,서울 중랑구 양원역로 50 서울씨티교회 1층,
동성3차아파트문고,0.0,서울 중랑구 신내로 110,02-494-5285
새소망도서관,0.0,서울 중랑구 용마산로62길 43 용마동아아파트상가 203호,070-7583-0694
한울샘어린이도서관,0.0,서울 중랑구 상봉로 82,
