name,degree,address,tel
구천면주유소,,서울 강동구 구천면로 357,02-441-0536
명일주유소,0.0,서울 강동구 고덕로 168,02-3428-1739
방아다리주유소,,서울 강동구 동남로 811,
현대오일뱅크직영 고속셀프주유소,0.0,서울 강동구 천호대로 1246,02-487-2030
재건에너지 재정제2주유소 고속지점,,서울 강동구 천호대로 1246,02-487-2030
천호현대주유소,,서울 강동구 천중로 67,02-484-9323
대성석유 길동주유소,,서울 강동구 천호대로 1168,02-474-7222
삼표에너지 고덕주유소,,서울 강동구 고덕로 39,02-441-3327
오렌지주유소,,서울 강동구 성안로 102,02-484-6166
광성주유소,,서울 강동구 올림픽로 673,02-470-5133
초이주유소,,경기 하남시 천호대로 1427,02-3426-8175
GS칼텍스 동서울주유소,,서울 강동구 천호대로 1456,02-426-5372
소모 성내주유소,,서울 강동구 올림픽로 578,02-479-3838
소모에너지 신월주유소,,서울 강동구 양재대로 1323,02-6956-6674
SC에너지 하남풀페이주유소,,경기 하남시 감초로 176,02-428-8034
