name,degree,address,tel
서울에너지 시민주유소,,서울 강북구 인수봉로 185,02-907-9496
북서울고속주유소,,서울 강북구 삼양로 410,02-907-5182
현대오일뱅크 서울에너지 시민주유소 개방화장실,0.0,서울 강북구 인수봉로 185,
북서울고속주유소 개방화장실,0.0,서울 강북구 삼양로 410,
에덴주유소,,서울 강북구 월계로 195,02-987-8182
석산에너지주유소,,서울 강북구 삼양로 316,02-980-1448
현대오일뱅크 직영 세한셀프주유소 개방화장실,0.0,서울 강북구 미아동 62-7,
덕릉로주유소,,서울 강북구 덕릉로 158,02-989-9806
주유소호프치킨,0.0,서울 강북구 솔샘로 278,
GS셀프 미아주유소 개방화장실,0.0,서울 강북구 도봉로 122,
하주에너지 수유동주유소,3.9,서울 강북구 도봉로 395,02-902-9470
SK셀프 매일주유소 개방화장실,0.0,서울 강북구 삼양로 217,
S-OIL 미아셀프주유소 개방화장실,0.0,서울 강북구 도봉로 200,
SK셀프 에덴주유소 개방화장실,0.0,서울 강북구 월계로 195,
현대오일뱅크 석산에너지주유소 개방화장실,0.0,서울 강북구 삼양로 316,
