name,degree,address,tel
목화주유소,,서울 강서구 국회대로 251,02-2654-4564
뉴신정주유소,,서울 강서구 곰달래로 207,02-2606-1149
신화곡주유소,,서울 강서구 국회대로 71,02-2611-3161
목화주유소 개방화장실,0.0,서울 강서구 국회대로 251,
GS칼텍스 경인고속주유소 개방화장실,0.0,서울 강서구 국회대로 225,
화곡역주유소,,서울 강서구 강서로 154,02-2691-5151
경인고속주유소(EV) 전기차충전소,0.0,서울 강서구 국회대로 225 주유소 출구 안쪽,1544-5151
경인고속주유소(EV) 전기차충전소,0.0,서울 강서구 국회대로 225 주유소 출구 안쪽,1544-5151
등촌주유소,,서울 강서구 등촌로 189,02-2647-5700
뉴신정주유소 개방화장실,0.0,서울 강서구 곰달래로 207,
화곡현대주유소,,서울 강서구 강서로 151,02-2607-1942
강서열린주유소,,서울 강서구 등촌로 213,02-2647-9091
염창동주유소,,서울 강서구 양천로 720,02-3664-4134
신화곡주유소 개방화장실,0.0,서울 강서구 국회대로 71,
신한국주유소 개방화장실,0.0,서울 강서구 공항대로71길 3,
