name,degree,address,tel
유니스에너지 자양주유소,,서울 광진구 아차산로 298,02-457-7600
창원CW,,서울 광진구 광나루로 460,02-3436-1112
HD현대오일뱅크직영 장호셀프주유소,,서울 광진구 자양로 37,02-447-9796
HD현대오일뱅크직영 효진주유소,,서울 성동구 동일로 129,02-464-7252
GS칼텍스 도루코주유소,,서울 성동구 아차산로 180,02-463-6919
HD현대오일뱅크직영 능동주유소,,서울 광진구 천호대로 584,02-452-7723
KLP제2주유소,,서울 성동구 동일로 249,02-465-5182
삼호주유소,,서울 광진구 천호대로 809,02-455-7200
장수주유소,,서울 광진구 동일로 266,02-498-1981
용마주유소,,서울 광진구 용마산로 68,02-456-1884
강평텔레콤 강평주유소,,서울 광진구 광장동 336-8,02-2201-0736
동일주유소,,서울 성동구 광나루로 254,02-461-7100
태양주유소,3.3,서울 광진구 동일로 345,02-464-5141
대성석유 동호주유소,,서울 강남구 봉은사로113길 51,02-545-0720
SK에너지 군자동주유소,,서울 성동구 천호대로 446,02-2244-4945
HD현대오일뱅크직영 스피드주유소,,서울 동대문구 천호대로 453,02-2216-5151
SK에너지 성수주유소,,서울 성동구 뚝섬로 352,02-467-7240
대원주유소,,서울 광진구 용마산로 122,02-444-1666
HD현대오일뱅크직영 중원셀프주유소,,서울 광진구 동일로 398,02-467-2410
성동스카이셀프주유소,,서울 성동구 천호대로 392,02-2245-8974
SK세원2주유소,,서울 성동구 광나루로 184,02-462-5665
정해네트웍스 일진주유소,,서울 광진구 동일로 413,02-461-5152
대신석유 진양주유소,,서울 송파구 올림픽로 499,02-477-1906
HD현대오일뱅크직영 중곡현대주유소,,서울 광진구 동일로 435,02-497-5151
SK KH에너지 성수만세주유소,,서울 성동구 왕십리로 109,02-499-8223
퍼스트오일 코알라주유소,,서울 강동구 올림픽로 556,02-484-1162
삼성동주유소,,서울 강남구 테헤란로 619,02-508-6572
소모 성내주유소,,서울 강동구 올림픽로 578,02-479-3838
삼화주유소,,서울 송파구 백제고분로 125,02-2203-2280
서울에너지 직영주유소,,서울 성동구 천호대로 324,02-3390-4338
광성주유소,,서울 강동구 올림픽로 673,02-470-5133
오동나무주유소,,서울 동대문구 한천로 81,02-2247-5132
삼표에너지 아시아주유소,,서울 송파구 도곡로 438,02-416-1911
삼미상사 장안킹셀프주유소,,서울 동대문구 한천로 100,02-2242-7115
GS칼텍스 삼성로주유소,,서울 강남구 삼성로 563,02-538-5138
삼영주유소,,서울 동대문구 답십리로 258,02-2217-2017
백제고분로주유소,,서울 송파구 오금로 143,02-2202-4050
아천동주유소,,경기 구리시 아차산로 55,02-2201-4545
