name,degree,address,tel
상계동주유소,,서울 노원구 노원로26길 191,02-936-5035
구도일 불암주유소,,서울 노원구 한글비석로 268,02-932-6850
소모에너지엔테크놀러지 수락산주유소 개방화장실,0.0,서울 노원구 동일로 1772,
양지진흥개발 상계주유소 개방화장실,5.0,서울 노원구 노해로 527,
상계동주유소 개방화장실,0.0,서울 노원구 노원로26길 191,
불암주유소 앞 대여소,0.0,서울 노원구 중계동 391,
불암주유소 개방화장실,0.0,서울 노원구 한글비석로 268,
현대오일뱅크직영 하계주유소 개방화장실,0.0,서울 노원구 노원로17길 29,
하계삼호주유소,,서울 노원구 공릉로 294,02-974-8818
신성주유소,,서울 노원구 월계로 328,02-916-4334
월계주유소,,서울 노원구 월계로 252,02-917-7650
성북역주유소,,서울 노원구 광운로 95,02-919-8141
한신주유소,,서울 노원구 동일로 1089,02-974-5151
태릉솔밭주유소,,서울 노원구 노원로 49,02-976-5189
화랑대주유소,,서울 노원구 화랑로 483,02-977-9697
