name,degree,address,tel
동서울고속주유소,,서울 동대문구 한천로 414,02-969-1144
오동나무주유소,,서울 동대문구 한천로 81,02-2247-5132
삼영주유소,,서울 동대문구 답십리로 258,02-2217-2017
신성주유소 개방화장실,0.0,서울 동대문구 장안동 430-8,
HD현대오일뱅크직영 스피드주유소 개방화장실,0.0,서울 동대문구 천호대로 453,
삼미상사 장안킹셀프주유소 개방화장실,0.0,서울 동대문구 한천로 100,
오동나무주유소 개방화장실,0.0,서울 동대문구 한천로 81,
삼영주유소 개방화장실,0.0,서울 동대문구 답십리로 258,
재정주유소,,서울 동대문구 전농로 121,070-8256-4617
재정제2주유소,,서울 동대문구 사가정로 90,02-2249-6682
배봉로주유소,,서울 동대문구 서울시립대로 108,02-2242-0556
열린주유소,,서울 동대문구 한천로 263,02-2215-6543
한영주유소,,서울 동대문구 망우로 38,02-2214-9890
답십리주유소 개방화장실,0.0,서울 동대문구 답십리로 223,
홍능주유소,,서울 동대문구 홍릉로 87,02-966-9190
