name,degree,address,tel
서울에너지 직영주유소,,서울 성동구 천호대로 324,02-3390-4338
청계로주유소,,서울 성동구 청계천로 454,02-2294-4225
금호주유소,,서울 성동구 금호로 39,02-2297-0066
아이콘주유소,,서울 성동구 고산자로 273,02-2291-5189
정호주유소,,서울 성동구 고산자로 307,02-2297-9442
옥수주유소 개방화장실,0.0,서울 성동구 독서당로 168,
청계로주유소 개방화장실,0.0,서울 성동구 청계천로 454,
아이콘주유소 개방화장실,0.0,서울 성동구 고산자로 273,
금호주유소 개방화장실,0.0,서울 성동구 금호로 39,
경진주유소 개방화장실,0.0,서울 성동구 고산자로 348,
정호주유소 개방화장실,0.0,서울 성동구 고산자로 303,
SK KH에너지 성수만세주유소,,서울 성동구 왕십리로 109,02-499-8223
SK세원2주유소,,서울 성동구 광나루로 184,02-462-5665
동일주유소,,서울 성동구 광나루로 254,02-461-7100
성동스카이셀프주유소,,서울 성동구 천호대로 392,02-2245-8974
