name,degree,address,tel
성북주유소,,서울 성북구 보문로 142,02-928-4900
동일주유소,,서울 성북구 보문로 85,02-923-8484
삼선주유소,,서울 성북구 창경궁로 324,02-766-5105
HD현대오일뱅크직영 아리랑주유소,,서울 성북구 아리랑로 96,02-941-5189
이케이에너지 강산주유소,,서울 성북구 보문로 27,02-953-1448
신방주유소,,서울 성북구 안암로 111,02-922-5151
중앙에너비스 혜화지점,,서울 종로구 창경궁로35길 1,070-8707-4564
풍한주유소,,서울 동대문구 안암로 168,02-924-5189
HD현대오일뱅크 직영고대셀프주유소,,서울 성북구 종암로 12,02-912-5151
중앙에너비스 종암지점,,서울 성북구 종암로 58,070-8707-4565
HD현대오일뱅크 직영북악셀프주유소,,서울 성북구 정릉로 218,02-911-5189
GS칼텍스 종암주유소,,서울 성북구 종암로 145,02-921-7785
삼표에너지 정릉주유소,,서울 성북구 보국문로 35,02-914-6556
미아 주유소,0.0,서울 성북구 화랑로 27,
명연에너지 효성주유소,,서울 성북구 화랑로 27,02-942-5150
이케이에너지 강산제2주유소,,서울 성북구 보국문로 52,02-942-1448
홍능주유소,,서울 동대문구 홍릉로 87,02-966-9190
청계로주유소,,서울 성동구 청계천로 454,02-2294-4225
재정제2주유소 길음지점,,서울 성북구 삼양로 78,02-980-1311
대성산업 동마장주유소,,서울 동대문구 고산자로 405,02-966-5451
GS칼텍스 세창주유소,,서울 성북구 동소문로 323,02-988-2491
신당동주유소,,서울 중구 다산로 242,02-2252-6688
다산주유소,,서울 중구 다산로 233,02-2252-2210
세화주유소,,서울 중구 왕십리로 403,02-2234-3451
장위주유소,,서울 성북구 화랑로 110,02-6498-5189
정호주유소,,서울 성동구 고산자로 307,02-2297-9442
장충주유소,,서울 중구 장충단로 202,02-2279-9965
HD현대오일뱅크직영 재동주유소,,서울 종로구 율곡로 58,02-732-3968
배봉로주유소,,서울 동대문구 서울시립대로 108,02-2242-0556
신동방주유소,,서울 성북구 월계로 84,02-918-5151
아이콘주유소,,서울 성동구 고산자로 273,02-2291-5189
약수주유소,,서울 중구 다산로 173,02-2252-3345
장충드림주유소,,서울 중구 동호로 296,02-2275-5150
HD현대오일뱅크직영 성동셀프주유소,,서울 성동구 마장로 311,02-2299-7333
SK에너지 퇴계로주유소,,서울 중구 퇴계로 228,02-2273-5189
신용 구도일주유소 화랑로주유소,,서울 성북구 화랑로 174,02-963-0051
경복궁주유소,,서울 종로구 율곡로 6,02-6016-6981
지에스이앤알 미아주유소,,서울 강북구 도봉로 122,02-987-5152
한영주유소,,서울 동대문구 망우로 38,02-2214-9890
GS칼텍스 화랑주유소,,서울 성북구 화랑로 185,02-942-5152
SK에너지 매일주유소,,서울 강북구 삼양로 217,02-982-8855
SK에너지 드림랜드주유소,,서울 성북구 월계로 128,02-916-9906
재정제2주유소,,서울 동대문구 사가정로 90,02-2249-6682
HD현대오일뱅크직영 장원주유소,,서울 중구 동호로 203,02-2236-2759
필동주유소,,서울 중구 퇴계로 196,02-2267-8025
재정주유소,,서울 동대문구 전농로 121,070-8256-4617
안국에너지 삼원셀프주유소,,서울 동대문구 망우로 90,02-2244-1972
씨앤에스유통 미아셀프주유소,,서울 강북구 도봉로 200,02-945-7999
원천주유소,,서울 성북구 돌곶이로 142,070-4063-1057
경동주유소,,서울 동대문구 이문로 191,02-965-6006
SK북악주유소,,서울 종로구 평창문화로 137,02-395-6500
지에스이앤알 평창주유소,,서울 종로구 평창문화로 135,02-391-5185
에덴주유소,,서울 강북구 월계로 195,02-987-8182
서울에너지 직영주유소,,서울 성동구 천호대로 324,02-3390-4338
구도일주유소 특종,,서울 종로구 평창문화로 90,02-379-6524
열린주유소,,서울 동대문구 한천로 263,02-2215-6543
S-OIL 휘경동,0.0,서울 동대문구 한천로 263,02-2215-6543
동서울고속주유소,,서울 동대문구 한천로 414,02-969-1144
자연에너지 국민주유소,,서울 동대문구 답십리로 223,02-2216-7155
자하문주유소,,서울 종로구 자하문로 248,02-396-5252
석산에너지주유소,,서울 강북구 삼양로 316,02-980-1448
장삼쌍둥이주유소,,서울 성북구 한천로 612,02-909-0314
오동나무주유소,,서울 동대문구 한천로 81,02-2247-5132
우리주유소,,서울 성북구 화랑로 292,02-969-5185
대양씨앤씨 사직주유소,,서울 종로구 사직로 65,02-735-4858
금호주유소,,서울 성동구 금호로 39,02-2297-0066
삼미상사 장안킹셀프주유소,,서울 동대문구 한천로 100,02-2242-7115
태영 구도일주유소한인,,서울 중랑구 망우로 170,02-438-5151
월계주유소,,서울 노원구 월계로 252,02-917-7650
파츠오일뱅크 (직영 한남동주유소),,서울 용산구 한남대로 204,02-795-0802
삼영주유소,,서울 동대문구 답십리로 258,02-2217-2017
성동스카이셀프주유소,,서울 성동구 천호대로 392,02-2245-8974
현대오일뱅크 직영 소월길주유소,,서울 용산구 소월로 66,02-318-3314
안풍주유소,,서울 종로구 자하문로 303,02-396-5151
SK세원2주유소,,서울 성동구 광나루로 184,02-462-5665
