name,degree,address,tel
자하문주유소,,서울 종로구 자하문로 248,02-396-5252
구도일주유소 특종,,서울 종로구 평창문화로 90,02-379-6524
안풍주유소,,서울 종로구 자하문로 303,02-396-5151
지에스이앤알 평창주유소,,서울 종로구 평창문화로 135,02-391-5185
SK북악주유소,,서울 종로구 평창문화로 137,02-395-6500
경복궁주유소,,서울 종로구 율곡로 6,02-6016-6981
HD현대오일뱅크직영 재동주유소,,서울 종로구 율곡로 58,02-732-3968
대양씨앤씨 사직주유소,,서울 종로구 사직로 65,02-735-4858
중앙에너비스 혜화지점,,서울 종로구 창경궁로35길 1,070-8707-4564
우남에너지 문화사랑주유소,,서울 서대문구 세검정로 87,02-395-4300
GS칼텍스 홍제동주유소,,서울 서대문구 통일로 372,02-736-3708
HD현대오일뱅크직영 독립문주유소,,서울 서대문구 통일로 384,02-735-0333
삼선주유소,,서울 성북구 창경궁로 324,02-766-5105
창원이엔지 홍제지점,,서울 서대문구 통일로 455,02-379-0753
HD현대오일뱅크 직영북악셀프주유소,,서울 성북구 정릉로 218,02-911-5189
