name,degree,address,tel
SK에너지 퇴계로주유소,,서울 중구 퇴계로 228,02-2273-5189
필동주유소,,서울 중구 퇴계로 196,02-2267-8025
장충드림주유소,,서울 중구 동호로 296,02-2275-5150
장충주유소,,서울 중구 장충단로 202,02-2279-9965
HD현대오일뱅크직영 장원주유소,,서울 중구 동호로 203,02-2236-2759
약수주유소,,서울 중구 다산로 173,02-2252-3345
다산주유소,,서울 중구 다산로 233,02-2252-2210
신당동주유소,,서울 중구 다산로 242,02-2252-6688
HD현대오일뱅크직영 재동주유소,,서울 종로구 율곡로 58,02-732-3968
경복궁주유소,,서울 종로구 율곡로 6,02-6016-6981
파츠오일뱅크 (직영 한남동주유소),,서울 용산구 한남대로 204,02-795-0802
현대오일뱅크 직영 소월길주유소,,서울 용산구 소월로 66,02-318-3314
서남주유소,,서울 중구 통일로 30,02-752-9475
세화주유소,,서울 중구 왕십리로 403,02-2234-3451
중앙에너비스 혜화지점,,서울 종로구 창경궁로35길 1,070-8707-4564
동자동주유소,,서울 용산구 한강대로104길 6,02-754-6667
청계로주유소,,서울 성동구 청계천로 454,02-2294-4225
이케이에너지 강산주유소,,서울 성북구 보문로 27,02-953-1448
삼선주유소,,서울 성북구 창경궁로 324,02-766-5105
옥수하이웨이스테이션,,서울 성동구 독서당로 168,02-2282-5151
서계주유소,,서울 용산구 청파로 367,02-706-6485
HD현대오일뱅크직영 갈월동주유소,,서울 용산구 한강대로 322,02-754-5217
동일주유소,,서울 성북구 보문로 85,02-923-8484
대양씨앤씨 사직주유소,,서울 종로구 사직로 65,02-735-4858
금호주유소,,서울 성동구 금호로 39,02-2297-0066
중앙에너비스 에너비스 (ENERVIS),,서울 용산구 한남대로 82,070-8707-4572
성북주유소,,서울 성북구 보문로 142,02-928-4900
중앙에너비스 한남지점 (ENERVIS HANNAM),,서울 용산구 한남대로21길 4,070-8707-4586
아이콘주유소,,서울 성동구 고산자로 273,02-2291-5189
정호주유소,,서울 성동구 고산자로 307,02-2297-9442
대성산업 동마장주유소,,서울 동대문구 고산자로 405,02-966-5451
신방주유소,,서울 성북구 안암로 111,02-922-5151
에쓰오일 마포주유소,,서울 마포구 마포대로 186,02-711-5189
HD현대오일뱅크직영 성동셀프주유소,,서울 성동구 마장로 311,02-2299-7333
HD현대오일뱅크직영 아리랑주유소,,서울 성북구 아리랑로 96,02-941-5189
풍기주유소,,서울 용산구 원효로 178,02-719-2202
풍한주유소,,서울 동대문구 안암로 168,02-924-5189
SK KH에너지 성수만세주유소,,서울 성동구 왕십리로 109,02-499-8223
남경주유소,,서울 용산구 녹사평대로11길 24,02-793-2954
HD현대오일뱅크 직영고대셀프주유소,,서울 성북구 종암로 12,02-912-5151
자하문주유소,,서울 종로구 자하문로 248,02-396-5252
신태성주유소,,서울 용산구 원효로 147,02-701-9447
GS칼텍스 홍제동주유소,,서울 서대문구 통일로 372,02-736-3708
HD현대오일뱅크 직영북악셀프주유소,,서울 성북구 정릉로 218,02-911-5189
홍능주유소,,서울 동대문구 홍릉로 87,02-966-9190
HD현대오일뱅크직영 독립문주유소,,서울 서대문구 통일로 384,02-735-0333
SK세원2주유소,,서울 성동구 광나루로 184,02-462-5665
중앙에너비스 종암지점,,서울 성북구 종암로 58,070-8707-4565
새서울석유 새서울주유소,,서울 강남구 압구정로 154,02-543-1154
SK에너지양지주유소,,서울 마포구 마포대로 69,02-706-8955
행촌제2주유소,,서울 서대문구 성산로 490,02-365-5189
삼표에너지 정릉주유소,,서울 성북구 보국문로 35,02-914-6556
양지진흥개발,0.0,서울 용산구 한강대로21나길 40,02-710-7735
배봉로주유소,,서울 동대문구 서울시립대로 108,02-2242-0556
에쓰오일 염리동주유소,,서울 마포구 백범로 126,02-3272-5155
HD현대오일뱅크직영 한양주유소,,서울 강남구 압구정로 302,02-3444-0804
서울에너지 직영주유소,,서울 성동구 천호대로 324,02-3390-4338
이케이에너지 강산제2주유소,,서울 성북구 보국문로 52,02-942-1448
안풍주유소,,서울 종로구 자하문로 303,02-396-5151
GS칼텍스 종암주유소,,서울 성북구 종암로 145,02-921-7785
재정제2주유소,,서울 동대문구 사가정로 90,02-2249-6682
구도일주유소 특종,,서울 종로구 평창문화로 90,02-379-6524
대동석유 압구정주유소,,서울 강남구 언주로 842,02-545-6161
SK에너지 성수주유소,,서울 성동구 뚝섬로 352,02-467-7240
대교주유소,,서울 강남구 강남대로 640,02-512-5521
만성상사 대흥주유소,,서울 마포구 대흥로 61,02-3273-5151
재정주유소,,서울 동대문구 전농로 121,070-8256-4617
SK북악주유소,,서울 종로구 평창문화로 137,02-395-6500
지에스이앤알 평창주유소,,서울 종로구 평창문화로 135,02-391-5185
미아 주유소,0.0,서울 성북구 화랑로 27,
한석주유소,,서울 용산구 이촌로 164,02-790-1020
명연에너지 효성주유소,,서울 성북구 화랑로 27,02-942-5150
창원이엔지 홍제지점,,서울 서대문구 통일로 455,02-379-0753
현대오일뱅크직영 연세주유소,,서울 서대문구 연희로 184,02-337-8220
HD현대오일뱅크직영 신사현대주유소,,서울 강남구 도산대로 163,02-546-2182
우남에너지 문화사랑주유소,,서울 서대문구 세검정로 87,02-395-4300
동일주유소,,서울 성동구 광나루로 254,02-461-7100
