name,degree,address,tel
신내주유소,,서울 중랑구 용마산로 705,02-2207-0523
기지에너지주유소,,서울 중랑구 신내동 347-2,02-2207-9419
범아주유소,,서울 중랑구 동일로 881,02-974-8356
우림주유소,,서울 중랑구 용마산로 487,02-433-9990
대양주유소,,서울 중랑구 봉우재로 105,02-437-5457
신일셀프주유소,,서울 중랑구 상봉로 58,02-436-3651
화랑대주유소,,서울 노원구 화랑로 483,02-977-9697
배꽃나라주유소,,서울 노원구 화랑로 466,02-973-5172
에쓰오일 능마을보금자리주유소,,경기 구리시 경춘북로 74,031-574-5200
갈매신내주유소 삼표에너지직영,,경기 구리시 경춘북로 75,031-528-7112
태릉솔밭주유소,,서울 노원구 노원로 49,02-976-5189
구도일동천주유소,,서울 중랑구 동일로 654,02-495-0081
GS 칼텍스 남일주유소,,경기 구리시 경춘로 30,031-563-2105
동서울고속주유소,,서울 동대문구 한천로 414,02-969-1144
태영 구도일주유소한인,,서울 중랑구 망우로 170,02-438-5151
자연에너지 대창주유소,,서울 중랑구 동일로 636,02-434-1448
면목주유소,,서울 중랑구 동일로 627,02-437-4072
헨지스에너지 해동주유소,,경기 구리시 경춘로 69,02-6959-7765
대원주유소,,서울 중랑구 동일로 600,02-438-6111
경동주유소,,서울 동대문구 이문로 191,02-965-6006
우리주유소,,서울 성북구 화랑로 292,02-969-5185
한신주유소,,서울 노원구 동일로 1089,02-974-5151
SK용마로주유소,,서울 중랑구 용마산로 309,02-439-3037
장삼쌍둥이주유소,,서울 성북구 한천로 612,02-909-0314
안국에너지 삼원셀프주유소,,서울 동대문구 망우로 90,02-2244-1972
오천만주유소,,서울 중랑구 동일로 547,070-7797-7474
S-OIL 휘경동,0.0,서울 동대문구 한천로 263,02-2215-6543
열린주유소,,서울 동대문구 한천로 263,02-2215-6543
극동에너지,0.0,서울 중랑구 면목로34길 14,02-438-1184
하계삼호주유소,,서울 노원구 공릉로 294,02-974-8818
성북역주유소,,서울 노원구 광운로 95,02-919-8141
원천주유소,,서울 성북구 돌곶이로 142,070-4063-1057
지에스이앤알직영 인창주유소,,경기 구리시 동구릉로 78,031-553-5644
한영주유소,,서울 동대문구 망우로 38,02-2214-9890
교문주유소,,경기 구리시 아차산로 436,031-566-3477
GS칼텍스 화랑주유소,,서울 성북구 화랑로 185,02-942-5152
신용 구도일주유소 화랑로주유소,,서울 성북구 화랑로 174,02-963-0051
삼육주유소,,서울 노원구 화랑로 822,02-949-3677
동일석유 SK양주셀프주유소,,경기 구리시 경춘로 196,031-563-2019
신성주유소,,서울 노원구 월계로 328,02-916-4334
월계주유소,,서울 노원구 월계로 252,02-917-7650
HD현대오일뱅크직영 중곡현대주유소,,서울 광진구 동일로 435,02-497-5151
장위주유소,,서울 성북구 화랑로 110,02-6498-5189
HD현대오일뱅크직영 구리셀프주유소,,경기 구리시 아차산로 274,031-557-5151
