name,degree,address,tel
역삼문화공원 제1호공영주차장,4.8,서울 강남구 테헤란로7길 21,
SRT수서역 주차장,1.5,서울 강남구 수서동 199-3,
조선팰리스호텔 주차장,0.0,서울 강남구 테헤란로 231,
코엑스 서문주차장,5.0,서울 강남구 테헤란로87길 58,
역삼문화공원 제2호공영주차장,3.2,서울 강남구 테헤란로7길 32,
역삼1동문화센터 공영주차장,0.0,서울 강남구 역삼동 829-20,1544-3113
탄천공영주차장,4.5,서울 강남구 대치동 78-25,
논현초교 공영주차장,1.0,서울 강남구 강남대로120길 33,
테헤란로64길 공영주차장,0.0,서울 강남구 대치동 890,
도산공원공영주차장,0.0,서울 강남구 신사동 668-23,
도산대로45길 공영주차장,2.0,서울 강남구 신사동 668-23,
신구초교공영주차장,2.4,서울 강남구 신사동 550-11,1544-3113
언북초교 공영주차장,5.0,서울 강남구 삼성로135길 42,02-2176-0908
수서역공영주차장,2.8,서울 강남구 수서동 735,02-3405-4076
테헤란로26길 공영주차장,0.0,서울 강남구 역삼동 803-8,
탄천주차장,5.0,서울 강남구 삼성동 186-6,
논현로131길 공영노상주차장,5.0,서울 강남구 논현동 279-99,
삼성제일빌딩 주차장,0.0,서울 강남구 테헤란로 309,
언주초등학교 공영주차장,5.0,서울 강남구 남부순환로363길 19,
강남대로150길 노상공영주차장,2.8,서울 강남구 논현동 279-73,
더채플앳논현 주차장,1.0,서울 강남구 논현로 549,
선릉로146길 공영노상주차장,3.0,서울 강남구 청담동 77-27,
테헤란로69길 노상공영주차장,0.0,서울 강남구 삼성동 172-99,
구립역삼푸른솔도서관 부설주차장,0.0,서울 강남구 테헤란로8길 36,1544-3113
영동대로96길 공영주차장,5.0,서울 강남구 삼성동 172-63,
코엑스 북문주차장,3.0,서울 강남구 삼성동 159,02-6000-0114
압구정428 공영노외주차장,3.0,서울 강남구 압구정로 161,1544-3113
선릉로132길 노상공영주차장,0.0,서울 강남구 학동로 405,
코엑스 동문주차장,4.7,서울 강남구 삼성동 159-9,
KG타워 주차장,2.5,서울 강남구 테헤란로5길 7,
도곡초등학교 공영주차장,1.0,서울 강남구 선릉로64길 33,
제일주차장,1.8,서울 강남구 테헤란로83길 12,070-8128-3947
LS유료주차장,0.0,서울 강남구 학동로2길 39,02-515-7896
르메르디앙 제3주차장,5.0,서울 강남구 역삼동 615,
논현로22길 공영주차장,0.0,서울 강남구 개포로25길 32,
테헤란로78길 노상공영주차장,0.0,서울 강남구 대치동 1011-6,1544-3113
논현제1호공영주차장,1.0,서울 강남구 학동로6길 19,1544-3113
영동대로85길 공영노상주차장,0.0,서울 강남구 대치동 1012-28,
더채플앳청담 주차장,0.0,서울 강남구 선릉로 757,
드레스가든 주차장,3.0,서울 강남구 영동대로 707,
수서역 남 공영주차장,5.0,서울 강남구 수서동 727,02-3405-4076
농민백암순대 본점 주차장,5.0,서울 강남구 대치동 896-33,
영동대로86길 공영노상주차장,0.0,서울 강남구 대치동 1012-22,1544-3113
삼성1동문화센터 공영주차장,0.0,서울 강남구 봉은사로 616,
잠원ON앞 공영주차장,3.7,서울 강남구 압구정동 386,
논현로32길15 공영주차장,0.0,서울 강남구 논현로32길 15,
압구정고가1주차장,1.0,서울 강남구 압구정로 지하 172,02-445-0501
언주로147길 노상공영주차장,0.0,서울 강남구 논현동 279-22,1544-3113
언주로171길 노상공영주차장,0.0,서울 강남구 압구정로36길 17,
논현초교 공영노외주차장,0.0,서울 강남구 강남대로120길 33,1544-3113
SI타워 주차장,1.0,서울 강남구 테헤란로 203,
신사스퀘어 주차장,5.0,서울 강남구 강남대로 652,
강남치매안심센터 공영주차장,3.0,서울 강남구 선릉로108길 27,
NPD 그랜드힐 컨벤션 주차장,0.0,서울 강남구 역삼로 607,
닥터홈즈의원 주차장,,서울 강남구 강남대로152길 45 1층,02-1661-1077
논현로28길 노상공영주차장,0.0,서울 강남구 도곡동 524,
도곡로421 공영주차장,0.0,서울 강남구 대치동 939-21,1544-3113
도곡로327공영주차장,5.0,서울 강남구 역삼동 765-22,1544-3113
백마김씨네 도곡본점 주차장,0.0,서울 강남구 도곡동 180-24,
도곡로21길7 공영노외주차장,0.0,서울 강남구 도곡로21길 7,
개포동공원 공영주차장,0.0,서울 강남구 개포로 509,
영동대로85길 공영노상주차장,0.0,서울 강남구 테헤란로 504,
강남면허시험장 주차장,0.0,서울 강남구 테헤란로114길 23,
학여울역 공영주차장,0.0,서울 강남구 남부순환로 3104,02-3405-4074
신용호타워,0.0,서울 강남구 도산대로 107,
파티오나인 주차장,0.0,서울 강남구 논현로 742,
논현3호주차장,5.0,서울 강남구 학동로47길 5,
한성한방병원 주차장,0.0,서울 강남구 논현로 609,
섬유센터빌딩 주차장,0.0,서울 강남구 테헤란로 518,
엘리에나호텔 주차장,1.0,서울 강남구 논현로 645,
봉은사 주차장,5.0,서울 강남구 봉은사로 531,
대치2동문화센터 공영주차장,0.0,서울 강남구 영동대로65길 24,1544-3113
EK타워 더휴웨딩홀 주차장,0.0,서울 강남구 삼성동 141-31,
을지다락 도산공원 주차장,3.0,서울 강남구 신사동 645-13,02-515-9197
대모산자연공원 공영주차장,0.0,서울 강남구 일원동 산 56,
논현제2호 공영주차장,5.0,서울 강남구 학동로20길 13,02-518-6918
영동공영주차장,0.0,서울 강남구 삼성동 172-62,
나이스파크 SRT수서역주차장,0.0,서울 강남구 밤고개로 99,
호텔오크우드프리미어 주차장,1.0,서울 강남구 테헤란로87길 46,
탄천3공영주차장,4.5,서울 강남구 삼성동 186-6,
현대백화점 무역센터점 주차장,0.0,서울 강남구 테헤란로 517,
LH공사 서울지역본부 주차장,0.0,서울 강남구 선릉로121길 12,
99주차장,0.0,서울 강남구 강남대로 484,
청담휴먼스타빌 주차장,0.0,서울 강남구 도산대로 454,
서울상록회관 주차장,0.0,서울 강남구 언주로 508,
맥도날드 강남삼성DT점 주차장,5.0,서울 강남구 봉은사로 432,
투루파킹 신사동ICT타워 주차장,0.0,서울 강남구 강남대로 624,1688-1054
한국건설기술인협회 본관 주차장,0.0,서울 강남구 언주로 650,
청담주민센터 주차장,0.0,서울 강남구 청담동 124-1,
석플란트치과병원 주차장,0.0,서울 강남구 논현동 63-13,
잠원한강공원 4공영주차장,0.0,서울 강남구 압구정동 386,
유료주차장,0.0,서울 강남구 신사동 655-17,010-9925-8811
포시에스빌딩 주차장,4.0,서울 강남구 논현로 646,
신사가로수길 유료주차장,0.0,서울 강남구 도산대로15길 35,
대영주차장,1.0,서울 강남구 테헤란로14길 25,
강남구청 부설주차장,4.5,서울 강남구 학동로 426,
저스트코타워 주차장,0.0,서울 강남구 테헤란로 431,
일원역 공영주차장,5.0,서울 강남구 일원동 716-2,
어물전청 도산공원점 주차장,0.0,서울 강남구 도산대로49길 16-7,
영희초등학교 공영주차장,0.0,서울 강남구 일원로 21,02-2176-0934
포이초교공영주차장,0.0,서울 강남구 개포로22길 87,1544-3113
사루비아 주차장,0.0,서울 강남구 신사동 542-3,
건설기술인회관 주차장,0.0,서울 강남구 언주로 650,
노보텔 앰배서더 서울 강남 주차장,0.0,서울 강남구 봉은사로 130,
그랜드인터컨티넨탈 서울파르나스 주차장,3.0,서울 강남구 테헤란로 521,
캠코양재타워 주차장,4.0,서울 강남구 도곡동 949-3,
라움아트센터 주차장,0.0,서울 강남구 언주로 564,
탄천제2호 공영주차장,0.0,서울 강남구 일원동 4-49,1544-3113
대치유수지체육공원 공영주차장,0.0,서울 강남구 대치동 78-29,1544-3113
포스트빌논현 주차장,0.0,서울 강남구 학동로 212,
압구정극동타워 주차장,0.0,서울 강남구 압구정로 320,
강남파이낸스센터 주차장,0.0,서울 강남구 테헤란로 152,
유료 주차장,0.0,서울 강남구 봉은사로6길 29,
세진유료주차장,0.0,서울 강남구 가로수길 13,02-544-2584
투루파킹 L7호텔강남 주차장,0.0,서울 강남구 테헤란로 415,1688-1054
은마아파트 노상공영주차장,0.0,서울 강남구 대치동 317-2,
현대로데오상가 주차장,0.0,서울 강남구 신사동 658,
유료주차장,0.0,서울 강남구 청담동 83-10,
신라스테이역삼 주차장,0.0,서울 강남구 언주로 517,
대치역노상공영주차장,0.0,서울 강남구 삼성로 151,
대성유료주차장,0.0,서울 강남구 신사동 634-6,02-512-5725
선릉빌딩 주차장,0.0,서울 강남구 선릉로91길 14,
삼성서울병원 정문주차장,0.0,서울 강남구 일원로 81,
대가방 본점 주차장,0.0,서울 강남구 논현동 278-17,
선릉주차장,2.3,서울 강남구 선릉로100길 1,
CBA민영주차장,0.0,서울 강남구 신사동 612-1,
SETEC 주차장,5.0,서울 강남구 남부순환로 3104,
에이든청담호텔 주차장,0.0,서울 강남구 도산대로 216,
삼성유료주차장,0.0,서울 강남구 논현동 232-23,
