name,degree,address,tel
강북구청앞 공영주차장,0.0,서울 강북구 수유동 192-60,
도선사광장주차장,0.0,서울 강북구 삼양로173길 116-203,
송중동공영주차장,1.0,서울 강북구 월계로7길 36,02-944-3038
시범공영주차장,2.5,서울 강북구 수유동 190-11,
도선사 주차장,0.0,서울 강북구 삼양로173길 21,
수유마을시장공영주차장,1.0,서울 강북구 도봉로69길 29,
북서울꿈의숲 서문 주차장,4.0,서울 강북구 월계로 173,02-399-1000
북서울꿈의숲 주차장,3.0,서울 강북구 번동 106-3,
우이동 교통광장공영주차장,1.0,서울 강북구 삼양로 678,
우이동공영주차장,4.0,서울 강북구 삼양로155길 33,02-9444-3025
장미원시장 공영주차장,0.0,서울 강북구 인수봉로78길 24,
미아동공영주차장,0.0,서울 강북구 도봉로61길 46,02-944-3048
가오천공영주차장,0.0,서울 강북구 한천로150길 46,02-944-3025
송중동임시공영주차장,3.0,서울 강북구 도봉로8길 67,
파라스파라 서울 주차장,0.0,서울 강북구 삼양로 689,
수유전통시장 주차장,1.0,서울 강북구 수유동 55-7 수유전통시장 골목,
인수동공영주차장,3.0,서울 강북구 삼양로92길 34,
수유2동공영주차장,0.0,서울 강북구 한천로160길 40,
대지시장길 공영주차장,2.0,서울 강북구 솔샘로 243-8,02-944-3035
가오리공영주차장,0.0,서울 강북구 삼양로107길 30,02-944-3046
CGV 수유 주차장,0.0,서울 강북구 도봉로 399,
수유쌈지주차장,1.0,서울 강북구 수유동 612-6,
나눔터길 노상공영주차장,0.0,서울 강북구 수유동 45-26,
맥도날드 미아DT점 주차장,0.0,서울 강북구 미아동 682-12,
수송초등학교 공영주차장,0.0,서울 강북구 한천로124길 14,02-944-3036
국립4.19민주묘지 주차장,3.0,서울 강북구 4.19로8길 17,
으뜸공원 공영주차장,0.0,서울 강북구 미아동 309-43,
번동햇살 공영 주차장,0.0,서울 강북구 오현로21길 84,
냉천길공영주차장,3.0,서울 강북구 삼양로 230-12,
북서울꿈의숲 동편주차장,3.0,서울 강북구 월계로 173,
색동공원공영주차장,0.0,서울 강북구 삼양로80나길 52,
