name,degree,address,tel
김포국제공항 국내선 제1주차장,2.2,서울 강서구 공항동 1373,
김포공항 국내선 제2주차장,4.8,서울 강서구 공항동 1373,
마곡8공영주차장,3.3,서울 강서구 마곡동 728-43,
마곡나루 제7임시주차장,5.0,서울 강서구 마곡동 308-4,
김포공항 국제선 지하주차장,0.0,서울 강서구 방화동 886,
서울식물원 주차장1,0.0,서울 강서구 마곡동로 161,
공항중학교 공영주차장,3.0,서울 강서구 방화대로 241,
볏골공원공영주차장,4.0,"서울 강서구 까치산로4길 22 지하1,2층",
보타닉파크웨딩 주차장,0.0,서울 강서구 마곡중앙5로 6,
서울시설공단 신방화공영주차장,0.0,서울 강서구 마곡서1로 111-12,
김포공항 국제선 주차빌딩,0.0,서울 강서구 하늘길 38,
김포공항 주차장1,5.0,서울 강서구 하늘길 70,
곰달래문화복지센터 공영주차장,5.0,서울 강서구 화곡동 890,
화곡6-1 공영주차장,3.0,서울 강서구 우장산로 114,
마곡광장 주차장,2.0,서울 강서구 마곡중앙5로 지하 2,02-3665-2707
화곡5-3공영주차장,3.5,서울 강서구 화곡로27가길 38,02-2604-8688
롯데몰 김포공항점 주차장,5.0,서울 강서구 하늘길 38,
김포공항화물청사 주차장,3.0,서울 강서구 공항동 1373,
개화산공영주차장,5.0,서울 강서구 방화동 845,
강서한강공원 개화나들목 앞 주차장,3.0,서울 강서구 방화동 18-1,
방화역 공영 주차장,0.0,서울 강서구 방화동 830-4,02-2290-6449
강서구가로공원 공영주차장,5.0,서울 강서구 화곡동 662-15,
남부시장 고객주차장,0.0,서울 강서구 곰달래로55길 4,
개화역 광역환승 주차장,5.0,서울 강서구 개화동로8길 19,02-2290-6312
NH서울타워 주차장,0.0,서울 강서구 양천로 570,
서울식물원 제2주차장,2.5,서울 강서구 마곡동 20-3,02-2607-9113
개화산역 공영주차장,0.0,서울 강서구 방화동 516-2,
가양3동공영주차장,0.0,서울 강서구 가양동 1488-12,
방화역 서 공영주차장,0.0,서울 강서구 방화동 829-1,
SNU서울병원 주차장,5.0,서울 강서구 공항대로 237,02-333-5151
방신전통시장노상공영주차장,0.0,서울 강서구 방화동 578-8,
영보빌딩 공영주차장,5.0,서울 강서구 양천로57길 16,
김포국제공항 국제선 행사전용주차장,0.0,서울 강서구 방화동 886,
