name,degree,address,tel
영등포역 주차장,0.0,서울 영등포구 경인로 846,
신창동공영주차장,5.0,서울 용산구 원효로35길 53,02-711-1924
서울용산우체국 고객전용주차장,0.0,서울 용산구 한강대로 118,
용산푸르지오써밋 주차장,0.0,서울 용산구 한강대로 69,
한강로주차장,0.0,서울 용산구 한강대로40길 13,
아마노 웰컴금융타워 주차장,5.0,서울 용산구 한강대로 148 지하1층,
농림식품기술기획평가원 서울한가람평가장 주차장,0.0,서울 용산구 서빙고로 17,
방배중앙로 노상공영주차장,1.0,서울 서초구 방배동 760-3,
아데나38 주차장,0.0,서울 관악구 신림동1길 24,
신원동제2공영주차장,0.0,서울 관악구 신림동 412-84,02-2081-2600
관악구민운동장 주차장,4.0,서울 관악구 봉천동 산 58-2,
춘향골주차장,0.0,서울 관악구 봉천동 1569-1,
예림빌딩 주차장,0.0,서울 관악구 남부순환로 1603,
상신주차장,0.0,서울 용산구 한강대로52길 22,
신길6동 공영주차장,0.0,서울 영등포구 신길동 3203,
조원동제2공영주차장,0.0,서울 관악구 신림동 1675-8,02-2081-2670
낙성대제1공영주차장,0.0,서울 관악구 봉천동 1693-46,
타임스트림 주차장,5.0,서울 관악구 신림로 330,
관악청소년센터 주차장,5.0,서울 관악구 신림로23길 17,
삼성동제1공영주차장,5.0,서울 관악구 원신2길 40,
보라매 제1공영주차장,0.0,서울 관악구 봉천로21길 38,
신사동 제1공영주차장,1.0,서울 관악구 남부순환로153길 51,
남부초등학교공영주차장,0.0,서울 관악구 남부순환로163길 14,02-2081-2600
신원동제1공영주차장,0.0,서울 관악구 신림동 1585-7,
아리차이 신림점 주차장,0.0,서울 관악구 신림동 1430-11,
관악문화관 주차장,0.0,서울 관악구 신림로3길 39,
유료주차장,0.0,서울 관악구 남부순환로 1860,
서울대입구 주차장,0.0,서울 관악구 관악로 1,
난곡스마트 공영주차장,5.0,서울 관악구 난곡로26길 94,
신원동제2공영주차장,0.0,서울 관악구 신림동 412-84,02-2081-2600
호암교수회관 주차장,0.0,서울 관악구 관악로 1,
원신공영주차장,5.0,서울 관악구 양지길 63,
조원동제3공영주차장,0.0,서울 관악구 신림동 1653-7,
미성동제1공영주차장,3.0,서울 관악구 신림동 1566-37,02-2081-2626
백두주차장,1.0,서울 관악구 신림동 247-2,
신림일성트루엘 주차장,0.0,서울 관악구 신림로23길 16,
삼성동제2공영주차장,0.0,서울 관악구 신림동 306-59,
난곡동제1공영주차장,3.0,서울 관악구 난곡로34길 71,02-2081-2670
신림주차장,0.0,서울 관악구 신림로 349,
강강술래 신림점 주차장,2.0,서울 관악구 신림동 10-600,
미성동 제2공영주차장,0.0,서울 관악구 신림동 1481-23,
노상공영주차장,3.0,서울 관악구 봉천동 976-13,
공영신림주차장,0.0,서울 관악구 신림동 1472-1,
중앙주차장,0.0,서울 관악구 호암로26길 21,
봉천복개3 노상공영주차장,0.0,서울 관악구 신림동 1467,
노상 공영주차장,0.0,서울 관악구 신림동 1675-8,
에이치플러스 양지병원 주차장,0.0,서울 관악구 남부순환로 1640,
대연유료주차장,0.0,서울 관악구 봉천동 869-13,
조원동 제1공영주차장,0.0,서울 관악구 조원중앙로2길 19,
호산빌딩 주차장,0.0,서울 관악구 남부순환로 1836,
관악구민운동장 주차장,4.0,서울 관악구 봉천동 산 58-2,
