name,degree,address,tel
자양4동 공영주차장,3.4,서울 광진구 자양동 5-5 지상,02-2049-4595
능동공영주차장,3.3,서울 광진구 천호대로112길 56,02-2049-4595
서울어린이대공원 정문주차장,2.5,서울 광진구 능동로 216,
서울어린이대공원 후문주차장,2.0,서울 광진구 능동로 216,
서울어린이대공원 구의문주차장,4.0,서울 광진구 능동로 216,
뚝섬한강공원 3주차장,0.0,서울 광진구 자양동 112,
화양동 공영주차장,1.4,서울 광진구 군자로 22,02-469-2939
구의1동 공영주차장,2.3,서울 광진구 자양로18길 78,02-453-2028
뚝섬한강공원 4주차장,5.0,서울 광진구 자양동 97-5,
광진광장 공영주차장,3.0,서울 광진구 광나루로 389 광진광장 지하,02-2049-4595
동서울종합터미널 제2주차장,0.0,서울 광진구 강변역로 50,
구의3동 공영주차장,0.0,서울 광진구 광나루로52길 83,02-2049-4595
구의2동주택가 공동주차장,3.0,서울 광진구 자양로 307,02-2049-4595
뚝섬한강공원 2주차장,5.0,서울 광진구 자양동 435,
강변고속버스터미널 주차장,0.0,서울 광진구 구의동 546-10,
한전부지 임시 공영주차장,0.0,서울 광진구 중곡동 168-2,
중곡제일전통시장 공영주차장,0.0,서울 광진구 긴고랑로11길 14,
동서울종합터미널 지하주차장,0.0,서울 광진구 강변역로 50,
강변테크노마트 제1주차장,3.3,서울 광진구 구의동 546-4,02-3424-0114
가나 주차장,1.0,서울 광진구 동일로22길 101,
구의야구공원 주차장,0.0,서울 광진구 광장동 520-10,
송림기사식당길A 공영주차장,0.0,서울 광진구 자양동 794-10,02-2049-4595
자양유수지 공영주차장,2.5,서울 광진구 자양동 594,02-2049-4595
자양전통시장 주차장,1.0,서울 광진구 자양로13길 59,
서울동부국가자격시험장 주차장,0.0,서울 광진구 뚝섬로32길 38,
구의2동공영주차장,5.0,서울 광진구 자양로 307,
어린이회관 주차장,0.0,서울 광진구 광나루로 441,
롯데백화점 건대스타시티점 주차장,0.0,서울 광진구 능동로 90,
유니버설아트센터 주차장,0.0,서울 광진구 천호대로 664,
한림타워 주차장,0.0,서울 광진구 아차산로 229 지하 1층,
