name,degree,address,tel
구로디지털단지역 노상공영주차장,4.5,서울 구로구 구로동 810-2,02-2290-6034
현대백화점 디큐브시티점 주차장,0.0,서울 구로구 경인로 662,
지하주차장,3.0,서울 구로구 금오로 865,
고척1동 마을공영주차장,5.0,서울 구로구 중앙로8길 16,
대림공영주차장,0.0,서울 구로구 구로동 125-28,
라마다서울신도림호텔 주차장,5.0,서울 구로구 경인로 624,
구로아트밸리 공영주차장,5.0,서울 구로구 가마산로25길 21,
오류1동 텃골공영주차장,0.0,서울 구로구 경인로15길 22,
오류동역 주차장,5.0,서울 구로구 오류동 65-6,
천왕역공영주차장,5.0,서울 구로구 오리로 1156,02-2290-6343
고척스카이돔 1지하주차장,0.0,서울 구로구 경인로 430,
고척돔,1.0,서울 구로구 고척동 76-1,010-3798-0122
구로4동 주택가공동 공영주차장,5.0,서울 구로구 구로동로26길 54,02-839-4875
온수역남 노상공영주차장,0.0,서울 구로구 온수동 51-26,
구로5동마을 공동공영주차장,0.0,서울 구로구 구로동 549-73,
동양미래대학 주차장,0.0,서울 구로구 고척동 62-160,
신도림역주차장,1.0,서울 구로구 구로동 3-55,
나이스파크 신도림테크노마트 주차장,0.0,서울 구로구 새말로 97,02-2111-0490
가리봉동주민센터 공영주차장,0.0,서울 구로구 우마2길 35,
하늘공원주차장,5.0,서울 구로구 벚꽃로 370,
고척근린공원 지하주차장,0.0,서울 구로구 고척동 산 9-14,
고척리본타운 공영주차장,2.0,서울 구로구 고척로52나길 25,
구로리공원 지하주차장,1.0,서울 구로구 구로중앙로 13,02-868-7003
푸른수목원 주차장,5.0,서울 구로구 항동 81-1,
구로2동공영주차장,0.0,서울 구로구 구로동로28길 81,02-837-9650
구로3동마을 공동주차장,1.0,서울 구로구 도림로6길 30,
NC백화점 신구로점 주차장,0.0,서울 구로구 구로중앙로 152,
고척스카이돔 2지하주차장,0.0,서울 구로구 고척동 66-2,
오류동삼전솔하임오피스텔 지하주차장,0.0,서울 구로구 경인로 187,
동구로 공영주차장,0.0,서울 구로구 가마산로26길 27,
하이파킹 신도림역 주차장,1.0,서울 구로구 새말로 117-6,
스윙파크주차장,0.0,서울 구로구 디지털로32나길 51,
