name,degree,address,tel
석계역공영주차장,1.3,서울 노원구 월계동 50-9,
불암산 공영주차장,0.0,서울 노원구 중계동 산 26,
공릉동도깨비시장 임시공영주차장,1.0,서울 노원구 공릉동 584-5,
북부지원주변 노상공영주차장,0.0,서울 노원구 공릉동 629-1,
수락산디자인서울거리 공영주차장,0.0,서울 노원구 상계동 1120-72,
상계2동공영주차장,0.0,서울 노원구 상계로10길 14,02-931-2758
불암산 힐링타운 주차장,0.0,서울 노원구 중계동 368-1,
주공7단지옆 노상공영주차장,0.0,서울 노원구 상계동 693-5,
하계동 가재울 공영주차장,0.0,서울 노원구 한글비석로 98,
주공6단지상가주변공영주차장,0.0,서울 노원구 상계동 723-2,
화랑대철도공원 주차장,5.0,서울 노원구 공릉동 29-16,
석계역앞 주차장,0.0,서울 노원구 석계로 9,
강강술래상계점 주차장,5.0,서울 노원구 상계동 1025-34,
석계역노상공영주차장,0.0,서울 노원구 월계동 36-5,
노원구청 부설공영주차장,4.0,서울 노원구 노해로 437,
상계역서측주택가공영주차장,0.0,서울 노원구 상계동 169-409,
공릉 공영주차장,0.0,서울 노원구 공릉동 633-19,
이마트TR 월계점 주차장,0.0,서울 노원구 월계동 333-1,
광운대역 주차장,0.0,서울 노원구 석계로 98-2,02-912-8672
우성아파트옆 노상공영주차장,0.0,서울 노원구 상계동,
노원구공영주차장,0.0,서울 노원구 상계동 739-4,
마들스타디움 공영주차장,0.0,서울 노원구 상계동 770-2,
당고개위 공영주차장,0.0,서울 노원구 상계동 111-558,
공릉쇼핑센타 주차장,0.0,서울 노원구 동일로180길 14,
노원골디자인거리공영주차장,5.0,서울 노원구 상계동 1118-90,
서울생활사박물관 주차장,1.5,서울 노원구 동일로174길 27,
상계중앙시장 공영주차장,0.0,서울 노원구 상계동 169-159,
당고개3번 공영주차장,0.0,서울 노원구 상계동 65-40,
주차장,0.0,서울 노원구 중계동 산 40-4,
주공3단지 노상공영주차장,0.0,서울 노원구 상계동 736,
