name,degree,address,tel
서울약령시 공영주차장,4.5,서울 동대문구 약령중앙로 26,070-5088-2390
청량리역 공영주차장,0.0,서울 동대문구 왕산로 지하 205,
경동종합상가 신관지하주차장,2.8,서울 동대문구 고산자로36길 3,
청량리시장 제2공영주차장,0.0,서울 동대문구 경동시장로 19-1,
청량리시장 제1노상공영주차장,1.0,서울 동대문구 제기동 849,
신설동공영주차장,4.3,서울 동대문구 난계로28길 16,02-2232-6096
외대역공영주차장,2.8,서울 동대문구 휘경로 28,
회기동공영주차장,1.7,서울 동대문구 회기로25길 31,02-2247-9664
회기역 주변 공영주차장,0.0,서울 동대문구 회기로 183-1,
장안1동공영주차장,4.0,서울 동대문구 답십리로66길 75,
덕원공영주차장,3.7,서울 동대문구 장한로6길 54,
부군당길 공영주차장,4.0,서울 동대문구 전농로21길 52,
롯데백화점 청량리점 주차장,0.0,서울 동대문구 왕산로 214,
동대문소방서 노상공영주차장,0.0,서울 동대문구 장안동 480-9,
공영주차장,0.0,서울 동대문구 답십리동 528,
동서시장과일채소부 공영주차장,0.0,서울 동대문구 제기동 849,02-962-1650
성북천제방 공영노상주차장,0.0,서울 동대문구 천호대로13길 43,
삼우주차장,0.0,서울 동대문구 홍릉로 1,
장안2동 공영주차장,0.0,서울 동대문구 답십리로65길 124-5,02-2290-6417
청량리동공영주차장,4.0,서울 동대문구 홍릉로12길 18,
용신동 공영주차장,0.0,서울 동대문구 용두동 789,
휘경유수지 공영주차장,0.0,서울 동대문구 한천로 326,02-2247-9664
장안근린공원지하 공영주차장,1.5,서울 동대문구 장한로 191,
청계노상공영주차장,0.0,서울 동대문구 신설동 94-4,
웨딩헤너스 주차장,0.0,서울 동대문구 휘경동 267-11,
아마노 경동시장 고려은단 주차장,0.0,서울 동대문구 고산자로 445,
중산공영주차장,0.0,서울 동대문구 답십리로56길 89,
삼육서울병원 추모관 주차장,5.0,서울 동대문구 망우로 82,
장영당길공영주차장,0.0,서울 동대문구 천호대로71길 29,
