name,degree,address,tel
사당1호 공영주차장,5.0,서울 동작구 사당동 1042-22,1899-7275
남성사계시장 공영주차장,2.4,서울 동작구 사당동 139-67,
노량진수산물도매시장 주차장,5.0,서울 동작구 노들로 674,02-2254-8000
사당2호공영주차장,4.0,서울 동작구 남부순환로 2071,1899-5498
흑석빗물펌프장 공영노외주차장,3.8,서울 동작구 흑석동 105,02-811-0983
신대방 구릉무인공영주차장,2.0,서울 동작구 신대방동 351-14,
하이파킹 이수역점 주차장,2.0,서울 동작구 사당로 305,1688-1054
동작구청 주차장,5.0,서울 동작구 장승배기로 161,
대방생태공영노외주차장,5.0,서울 동작구 대방동1길 9,
아르테스웨딩홀 주차장,0.0,서울 동작구 동작대로 59,
서광공영주차장,0.0,서울 동작구 신대방11길 32,02-811-0983
한강대교남측 노상공영주차장,0.0,서울 동작구 본동 5-5,
노들나루공원 주차장,3.7,서울 동작구 노량진로 247,
보라매노외공영주차장,0.0,서울 동작구 신대방동 395-61,
도화공영주차장,0.0,서울 동작구 성대로17길 지하 52,
사당시장 주차장,0.0,서울 동작구 사당로 240,
동작주차공원 주차장,5.0,서울 동작구 동작동 326,02-537-2849
동작노을카페 주차장,2.9,서울 동작구 동작동 316-3,
보라매공원 주차장1,1.0,서울 동작구 신대방동 395-3,
중앙대학교병원 주차장,0.0,서울 동작구 흑석로 102,
숭실대학교 한경직기념관 주차장,0.0,서울 동작구 상도로 369,
노량진축구장 주차장,0.0,서울 동작구 노들로 688,
하이파킹 사당K스퀘어,0.0,서울 동작구 동작대로 59,1688-1054
한성주차장,2.0,서울 동작구 노량진동 116-2,02-821-6476
스페이스살림 주차장,0.0,서울 동작구 노량진로 10,
대방할인마트 주차장,4.0,서울 동작구 등용로 123,
주차장,0.0,서울 동작구 본동 산 3-10,
지산주차장,0.0,서울 동작구 사당로 240,02-597-2964
아마노 더써밋타워 주차장,0.0,서울 동작구 장승배기로 174,
노량진야구장 주차장,0.0,서울 동작구 노들로 688,
KM파크 다이소 신대방점 주차장,0.0,서울 동작구 여의대방로 122,
상도1동주민센터 주차장,0.0,서울 동작구 상도로53길 9,
이수메가박스 주차장,0.0,서울 동작구 동작대로 89 골든 시네마타워,
동작대교 공영주차장,0.0,서울 동작구 동작동 316-3,
하이파킹 보라매공원 주차장,0.0,서울 동작구 신대방동 722,1688-1054
상도성대시장 주차장,0.0,서울 동작구 상도로 102,
유료주차장,0.0,서울 동작구 사당2동 147-111,
이수자이상가 주차장,0.0,서울 동작구 사당로 300,
한주주차장,5.0,서울 동작구 노량진동 59-35,02-817-2262
서울특별시 보라매병원 주차장,0.0,서울 동작구 보라매로5길 20,
역전민영주차장,0.0,서울 동작구 상도로 228,02-812-9926
보광주차장,5.0,서울 동작구 동작대로 13,02-523-7708
빙수골 장미 공영주차장,0.0,서울 동작구 상도동 301-132,
기독교CTS멀티미디어방송 주차장,0.0,서울 동작구 노량진로 100,
롯데시네마 신대방주차장입구,0.0,서울 동작구 시흥대로 606,
대림프라자 주차장,0.0,서울 동작구 사당로17길 8,
상도2동 새마을금고앞 거주자우선주차장,0.0,서울 동작구 상도동 26-71,
동작문화복지센터 주차장,0.0,서울 동작구 장승배기로10길 42,
중앙대학교 방문객주차장,0.0,서울 동작구 흑석로 84,
국립서울현충원 제2충혼당 주차장,0.0,서울 동작구 동작동 222-4,
살피재거주자우선주차장,0.0,서울 동작구 상도동 485-6,
CS빌딩 주차장,0.0,서울 동작구 동작대로25길 16,
동국주차장,0.0,서울 동작구 상도로 23,02-821-5414
어바니엘한강 주차장,1.0,서울 동작구 노량진로 190,
사리원 주차장,0.0,서울 동작구 상도1동 244-4,
전문건설회관 주차장,0.0,서울 동작구 보라매로5길 15,
사당1동 나블럭 거주자우선 주차장,0.0,서울 동작구 사당동 1099,
경문빌딩 주차장,0.0,서울 동작구 사당동 145-2,
은행나무골 거주자우선주차장,0.0,서울 동작구 사당동 297-1,
대호주차장,0.0,서울 동작구 동작대로 43,02-521-5917
빕스프리미어 대방점 주차장,0.0,서울 동작구 대방동 341-3,
메가스터디타워 주차장,0.0,서울 동작구 노량진로 140,
브라운스톤상도상가주차장,0.0,서울 동작구 상도로31길 19,
보라매파크스퀘어 주차장,0.0,서울 동작구 보라매로5길 35,
투루파킹 성대시장점 주차장,0.0,서울 동작구 상도로 102,1688-1054
대방거주자우선주차장,0.0,서울 동작구 대방동 391-269,
국립서울현충원 주차장3,5.0,서울 동작구 현충로 210,
동작관악교육지원청 주차장,0.0,서울 동작구 장승배기로10가길 25,
영도주차장,1.0,서울 동작구 상도로 163,
아산주차장,0.0,서울 동작구 상도동 324-62,02-823-8482
하이파킹 어바니엘한강 주차장,0.0,서울 동작구 노량진로 190,
힐스테이트상도 센트럴파크 주차장,0.0,서울 동작구 상도로 346-1,
삼성보라매옴니타워 주차장,0.0,서울 동작구 보라매로5길 23,
서광시티뷰아파트 주차장,0.0,서울 동작구 동작대로27다길 29,
한일주차장,0.0,서울 동작구 노량진동 261-4,02-824-9047
서울여성플라자 주차장,0.0,서울 동작구 여의대방로54길 18,02-810-5111
빙수골 거주자 우선주차장,0.0,서울 동작구 국사봉12길 11,
형제주차장,0.0,서울 동작구 노량진동 147,
중앙대학교 310관 주차장,0.0,서울 동작구 흑석로 84 지하2층,
등나무집 주차장,0.0,서울 동작구 대림로 52,
동해주차장,3.0,서울 동작구 서달로14가길 1,
하이파킹 노량진리더스타워 주차장,0.0,서울 동작구 노량진로 104,1688-1054
원불교소태산기념관 민영주차장,0.0,서울 동작구 현충로 75,
현대주차장,0.0,서울 동작구 흑석로10길 10,02-822-6321
이데아빌딩 주차장,0.0,서울 동작구 노량진로 146,
동작구민체육센터 주차장,0.0,서울 동작구 여의대방로16길 53,
종점주차장,0.0,서울 동작구 사당로 240,
매실 거주자우선주차장,0.0,서울 동작구 상도동 335-7,
청화여성병원 주차장,0.0,서울 동작구 장승배기로 108 2층,02-815-3788
자매빌딩 유료주차장,0.0,서울 동작구 동작대로13길 12,
화민빌딩 주차장,0.0,서울 동작구 사당동 1031-33,
RAK사당빌딩 주차장,0.0,서울 동작구 동작대로 59,
삼립주차장,0.0,서울 동작구 신대방16다길 14,
아카데미타워 주차장,0.0,서울 동작구 보라매로5가길 16,
나이스파크 VIPS 대방점 주차장,0.0,서울 동작구 노량진로 2,
삼선이엔티주차장,0.0,서울 동작구 양녕로23길 12,02-823-1234
대림주차장,0.0,서울 동작구 신대방1가길 38,
일미일주차장,0.0,서울 동작구 노량진로 171,
아크로리버하임아파트 상가 주차장,0.0,서울 동작구 현충로 52,
남부수도사업소 주차장,5.0,서울 동작구 여의대방로10길 97,
국립서울현충원 주차장1,0.0,서울 동작구 현충로 210,
해가든아파트상가 주차장,0.0,서울 동작구 서달로 150,
국립서울현충원 주차장6,0.0,서울 동작구 동작동 201-5,
정석빌딩 주차장,0.0,서울 동작구 사당동 1044-4,
KCC거주자노외주차장,0.0,서울 동작구 사당동 316-23,
백명트랜디타워 주차장,0.0,서울 동작구 노량진로 206,
국립서울현충원 주차장2,0.0,서울 동작구 현충로 210,
사당종합체육관 주차장,0.0,서울 동작구 사당로27길 232 지하1층,
맑은숲한의원 동작사당점 주차장,0.0,서울 동작구 사당동 1031-28,
성대거주자우선주차장,0.0,서울 동작구 성대로6가길 41-2,
대방동 410번지일대 거주자우선 주차장,0.0,서울 동작구 대방동 410-2,
용덕유료주차장,0.0,서울 동작구 노량진동 225-165,
골든시네마타워 주차장,0.0,서울 동작구 동작대로 89,
덕봉주차장,0.0,서울 동작구 서달로 158,02-824-7326
사당동318-99,0.0,서울 동작구 사당동 318-12,
파크스퀘어빌딩 주차장,0.0,서울 동작구 보라매로5길 35,
흑석체육센터 주차장,0.0,서울 동작구 흑석동 116-4,
유진주차장,0.0,서울 동작구 성대로2길 5-7,02-823-5663
대방빌딩 주차장,0.0,서울 동작구 노량진로 4,
국립서울현충원 주차장5,0.0,서울 동작구 동작동 30-9,
명수대주차장,0.0,서울 동작구 흑석로 126,
보라매삼성쉐르빌아파트 주차장,0.0,서울 동작구 보라매로5길 43,
동작대교 노상주차장,0.0,서울 동작구 동작동 316-3,031-903-3345
삼하주차장,0.0,서울 동작구 등용로4길 142,
동작상떼빌오피스텔 주차장,0.0,서울 동작구 신대방1가길 38,
나이스파크 해태보라매타워 주차장,0.0,서울 동작구 보라매로3길 29,
보라매우성아파트 주차장,0.0,서울 관악구 보라매로5길 5,
신협전용주차장,0.0,서울 동작구 상도로15길 111-6,
사당롯데캐슬골든포레 주차장,5.0,서울 동작구 사당로 90,
JH빌딩,0.0,서울 동작구 동작대로13길 3,
총신대학교 주차장1,1.0,서울 동작구 사당로 143,
노량진큐브스테이트 주차장,0.0,서울 동작구 노량진로 80,
천보빌딩 주차장,0.0,서울 동작구 대림로 22,
금성빌딩 주차장,0.0,서울 동작구 상도로 65,
총신대학교 주차장,1.0,서울 동작구 사당로 143,
더클래식동작 주차장,0.0,서울 동작구 노량진로8길 55,
남전빌딩 주차장,0.0,서울 동작구 사당동 1007-42,
엘리지움빌딩 주차장,0.0,서울 동작구 동작대로23길 7,
상도효성해링턴플레이스아파트 지하주차장,0.0,서울 동작구 상도로 207,
연세주차장,0.0,서울 동작구 등용로4길 132,
나이스파크 노량진 메가스터디타워 주차장,0.0,서울 동작구 노량진로 140,
나이스파크 상도동 상진주상복합 아파트상가 주차장,0.0,서울 동작구 국사봉1길 18,
차바다주차관리,0.0,서울 동작구 상도로 77,
장성빌딩 주차장,0.0,서울 동작구 장승배기로 113,
남지빌딩 주차장,0.0,서울 동작구 국사봉1길 3,
태농주차장,0.0,서울 동작구 사당동 1007-50,
남명,0.0,서울 동작구 사당로 305,02-596-9363
상진주차장,0.0,서울 동작구 국사봉1길 18,
솔표빌딩 주차장,0.0,서울 동작구 대방동 339-1,
포아이즈안경원 주차장,0.0,서울 동작구 장승배기로11가길 11,
조선일보 뉴지엄 주차장,1.0,서울 동작구 흑석동 26-214,
상진빌딩 주차장,0.0,서울 동작구 국사봉1길 18,
상도현대아파트 후문주차장,0.0,서울 동작구 사당로2길 2-32,
홍익공인중개사사무소 주차장,0.0,서울 동작구 현충로 52,
케이관리,0.0,서울 동작구 노량진로 80,02-304-5595
나이스파크 관악해태보라매타워 주차장,0.0,서울 동작구 보라매로3길 29,
아마노 더클래식동작 주차장,0.0,서울 동작구 노량진로8길 55,
국사봉거주자우선주차장,0.0,서울 동작구 상도동 301-176,
백산개발,0.0,서울 동작구 동작대로 83,02-585-3020
헤라피스빌딩 주차장,0.0,서울 동작구 동작대로 83,
아마노 총신대학교 주차장,0.0,서울 동작구 사당로 143,
노들섬복합문화공간 서측 주차장,0.0,서울 용산구 이촌동 302-146,
63빌딩 주차장,3.0,서울 영등포구 63로 50,
노들섬복합문화공간 동측 주차장,2.0,서울 용산구 양녕로 446,
이촌한강공원 4주차장,5.0,서울 용산구 양녕로 495,
63빌딩 주차장2,5.0,서울 영등포구 63로 50,
가톨릭대학교 여의도성모병원 주차장,3.5,서울 영등포구 63로 10,02-3779-1495
국사봉체육관 주차장,0.0,서울 관악구 국회단지길 142,
여의도한강공원 제1주차장,3.3,서울 영등포구 한강남자전거길 1593,02-747-5645
여의도한강공원 5주차장,3.0,서울 영등포구 여의도동 63,
샛강생태공원 주차장,0.0,서울 영등포구 여의도동 63,
여의도성모병원 주차타워,0.0,서울 영등포구 여의도동 61-2,02-3779-1495
이촌한강공원 주차장2,5.0,서울 용산구 양녕로 496,
하이파킹 여의도리버타워 주차장,3.0,서울 영등포구 63로 36,1688-1054
보라매 제1공영주차장,0.0,서울 관악구 봉천로21길 38,
여의도동03구역 주차장,0.0,서울 영등포구 여의도동 61-1,
당곡중학교공영주차장,5.0,서울 관악구 봉천로13길 101,02-2081-2675
노외주차장,0.0,서울 관악구 은천로15길 25,
메카플러스 주차장,0.0,서울 관악구 양녕로 46,
강남고려병원 주차장,0.0,서울 관악구 관악로 242,
한솔주차장,1.0,서울 관악구 양녕로 60,
봉천중앙시장 전용주차장,0.0,서울 관악구 봉천동 48-2,
벽산상가 관리사무소,0.0,서울 관악구 은천로 95,02-3285-0522
한화생명 본사 주차장,0.0,서울 영등포구 63로 50,02-789-8552
봉천10동주차장,0.0,서울 관악구 봉천동 465-8,
우성타운상가 지하주차장,0.0,서울 관악구 관악로30길 12,
라이프오피스텔 주차장,0.0,서울 영등포구 63로 40,
이촌한강공원 주차장,1.0,서울 용산구 이촌동 302-183,
이루는교회 유료 주차타워,0.0,서울 관악구 봉천동 36-14,02-887-8841
은호빌딩 주차장,0.0,서울 관악구 은천로 51,
봉일스파랜드 주차장,0.0,서울 관악구 은천로 28,
이촌한강공원 3주차장,0.0,서울 용산구 이촌동 302-17,
충신교회주차장,0.0,서울 용산구 이촌동 302-87,02-793-7740
나이스파크 행복상가 주차장,0.0,서울 관악구 관악로 285,
하이파킹 여의도63빌딩앞 주차장,0.0,서울 영등포구 여의도동 86-5,
나이스파크 봉천우성타운상가 주차장,0.0,서울 관악구 관악로30길 12,
관악한일유앤아이아파트 주차장,0.0,서울 관악구 봉천동 1727,
정암빌딩 주차장,0.0,서울 관악구 은천로 27,
관악프라자쇼핑센타 주차장,0.0,서울 관악구 봉천동 31-1,
동진빌딩 주차장,0.0,서울 관악구 관악로 217,
원효대교남단 노상주차장,4.0,서울 영등포구 여의도동 5,
유료민영주차장,0.0,서울 영등포구 여의도동 53-12,
아마노 메카플러스 주차장,0.0,서울 관악구 양녕로 46,
이촌로54길 노상공영주차장,0.0,서울 용산구 이촌동 302-31,
63스퀘어 주차장,0.0,서울 영등포구 63로 50,
관악프라자 주차장,0.0,서울 관악구 관악로 212,
"이촌한강공원 3,4주차장",2.0,서울 용산구 이촌동 302-17,
진주아파트옆1 공영주차장,0.0,서울 영등포구 국제금융로 108-6,
아마노 봉천동이레타워 주차장,0.0,서울 관악구 봉천로 410,
