name,degree,address,tel
북한산국립공원 북한산성제1주차장,1.5,서울 은평구 진관동 280,02-357-9698
응암3동공영주차장,0.0,서울 은평구 불광천길 436,
은평권역공영차고지,4.5,서울 은평구 수색로24길 19,
구파발역 광역환승센터 주차장,0.0,서울 은평구 진관2로 15-40,02-2290-6088
진관사 주차장,5.0,서울 은평구 진관동 산 35-2,
대영주차장,5.0,서울 은평구 통일로 863-12,02-353-1008
한문화공영주차장,4.0,서울 은평구 진관동 125-12,
구산동공동주차장,0.0,서울 은평구 구산동 199-11,
신사1동 공영주차장,3.0,서울 은평구 신사동 25-24,
역말공동주차장,0.0,서울 은평구 역촌동 12-43,
매바위공영주차장,0.0,서울 은평구 가좌로5길 16,
DMC역주차장,5.0,서울 은평구 증산동 223-42,
한옥마을 주차장,1.0,서울 은평구 진관동 205,
은평평화공원 공영주차장,4.0,서울 은평구 녹번동 153-36 지하,
연신중학교 지하공영주차장,3.4,"서울 은평구 연서로33길 16-32 연신중학교 지하1,2층",
은평요양병원 장례식장 주차장,0.0,서울 은평구 갈현동 390-19,02-351-4444
메트로타워 주차장,1.7,서울 은평구 통일로 856,
구산동마을공원 공영주차장,0.0,서울 은평구 구산동 340-1,
연광초등학교 지하 공영주차장,4.0,서울 은평구 연서로35길 37,
진흥로 노상공영주차장,1.0,서울 은평구 역촌동 41-8,031-903-3345
양지주차장,0.0,서울 은평구 연서로28길 8,
노외주차장,3.0,서울 은평구 갈현동 453-5,
세종빌딩 유료주차장,0.0,서울 은평구 연서로 252,
봉산도시자연공원 공영주차장,5.0,서울 은평구 가좌로11가길 지하 38-11,
범서쇼핑센터 주차장,3.0,서울 은평구 연서로 244,
대조주차장,0.0,서울 은평구 연서로 214,
은평문화주차장,1.0,서울 은평구 연서로 247,
수색역 주차장,5.0,서울 은평구 수색동 100-1,
새장골공영주차장,0.0,서울 은평구 불광동 480-352,
청구성심병원 주차장,,서울 은평구 통일로83길 10,02-350-3300
수색동공영주차장,0.0,서울 은평구 수색동 78-2,
은평성모병원 주차장,0.0,서울 은평구 진관동 55,
백년가게만포면옥 본점 주차장,0.0,서울 은평구 갈현동 463-1,
디지털미디어시티역 주차장,3.4,서울 은평구 증산동 223-42,02-707-5422
한옥마을 상가공용 주차장,0.0,서울 은평구 진관동 198-8,
남영주차장,0.0,서울 은평구 가좌로 215,
롯데몰 은평점 주차장,0.0,서울 은평구 통일로 1050,
연송주차장,0.0,"서울 은평구 응암로 156 , 603-102",02-2187-1570
삼일민영주차장,0.0,서울 은평구 응암로 217,
선진주차장,0.0,서울 은평구 역촌동 14-7,
신흥주차장,0.0,서울 은평구 은평로 42,02-303-5080
은평구청 주차장,0.0,서울 은평구 은평로 195,
녹번유료주차장,0.0,서울 은평구 은평로 203,
NC백화점불광점 주차장,5.0,서울 은평구 불광로 20,
노외주차장,1.0,서울 은평구 구산동 1-28,
1인1잔 주차장,0.0,서울 은평구 연서로 534,
본서부병원 주차장,0.0,서울 은평구 은평로 133,
서신초등학교 지하공영주차장,0.0,서울 은평구 은평터널로 150,02-375-3822
WB은평타워 주차장,0.0,서울 은평구 통일로 715,
북한산국립공원 주차장,0.0,서울 은평구 진관동 278,
하이파킹 불광역 오산상가 주차장,0.0,서울 은평구 통일로 739,
불광주차장,0.0,서울 은평구 통일로 725,
역전주차장,0.0,서울 은평구 통일로 708-5,02-359-2839
다보네안경콘택트 주차장,0.0,서울 은평구 갈현동 460-8,
서울 기독대학교 주차장,0.0,서울 은평구 갈현로4길 26-2,
은평구립도서관 주차장,0.0,서울 은평구 불광동 산 59-32,
Y타운 주차장,0.0,서울 은평구 갈현동 396-12,
은평역사한옥박물관 주차장,0.0,서울 은평구 연서로50길 8,
연신주차장,0.0,서울 은평구 통일로 833-5,
롱브레드 은평한옥마을점 주차장,0.0,서울 은평구 진관동 219-2,
역촌2동주차장,1.0,서울 은평구 역촌동 62-28,02-350-5114
응암3동주민센터 주차장,0.0,서울 은평구 응암동 583-22,
은평평생학습관주차장,0.0,서울 은평구 서오릉로 87,
응암2동임시주차장,0.0,서울 은평구 응암동 427-76,
수색역광장 민영주차장,1.0,서울 은평구 수색로 261,
지엠하우스 주차장,0.0,서울 은평구 서오릉로 134-30,
서울특별시서북병원 주차장,0.0,서울 은평구 갈현로7길 49,
대조주차장,5.0,서울 은평구 대조동 14-8,
은평문화예술회관 주차장,0.0,서울 은평구 녹번동 85-4,
동원F&B빌딩 주차장,0.0,서울 은평구 연서로 165,
해태드림타운 아파트 주차장,0.0,서울 은평구 은평로 82,
인정병원 주차장,0.0,서울 은평구 응암로 156,
엔젤스헤이븐 주차장,0.0,서울 은평구 갈현로11길 30,070-4896-0940
