name,degree,address,tel
서울숲 공영주차장,2.8,서울 성동구 성수동1가 643,070-4414-1799
성수역3번출구앞 노상공영주차장,1.0,서울 성동구 성수동2가 276-5,
뚝섬유수지 공영주차장,5.0,서울 성동구 성수동1가 685-63,
성수2가3동 공영주차장,4.2,서울 성동구 광나루로4가길 23,
성수2가1동 공영주차장,4.0,서울 성동구 성덕정길 115,
뚝도시장 노상공영주차장,0.0,서울 성동구 성수동2가 335-166,
마장축산물시장 공영주차장,0.0,서울 성동구 살곶이길 18,
응봉산 암벽공원 주차장,0.0,서울 성동구 응봉동 269-4,
성수문화예술마당 임시공영주차장,3.0,서울 성동구 성수동1가 683,02-2204-7970
옥수역 공영주차장,3.0,서울 성동구 옥수동 401-1,02-2648-8292
05-05구간 공영주차장,3.0,서울 성동구 행당동 4-23,
동남주차장,2.0,서울 성동구 고산자로 219,
마장축산물시장 북문 노상공영주차장,0.0,서울 성동구 마장동 804,
도선동지하 노외공영주차장,5.0,서울 성동구 무학로8길 8,02-2204-7970
용답동공영주차장,3.0,서울 성동구 용답29길 22,
살곶이체육공원 공영주차장,4.7,서울 성동구 사근동 104,02-2204-7982
신성민영주차장,1.7,서울 성동구 성수동2가 314-6,
응봉역 공영주차장,5.0,서울 성동구 응봉동 3-11,
옥수유수지 공영주차장,0.0,서울 성동구 옥수동 77-3,
송정동 공영주차장,0.0,서울 성동구 동일로 199,
마장축산물시장 남문공영주차장,5.0,서울 성동구 마장동 805,02-2204-7970
한양대학교병원 장례식장 주차장,0.0,서울 성동구 사근동 110,
소문난성수감자탕 주차장,0.0,서울 성동구 연무장7길 4,
성동구청 주차장,0.0,서울 성동구 행당동 7,
갤러리아포레 주차장,1.0,서울 성동구 서울숲2길 32-14,
용답제2공영주차장,5.0,서울 성동구 천호대로78길 9,
홍익동 공영주차장,1.0,서울 성동구 무학로10길 28,
강변건물공영주차장,4.0,서울 성동구 둘레길 47-5,
서울숲 디타워 주차장,4.3,서울 성동구 왕십리로 83-21,
JK타워 주차장,0.0,서울 성동구 성수이로20길 16,
금호초등학교 공영주차장,4.5,서울 성동구 무수막길 69,
현대테라스타워 주차장,0.0,서울 성동구 연무장5가길 7,
한양대학교 동문회관 주차장,1.0,서울 성동구 왕십리로 222,
메가박스성수점 주차장,0.0,서울 성동구 왕십리로 50,
누디트 서울숲 주차장,0.0,서울 성동구 아차산로 6,
에스팩토리 주차장,0.0,서울 성동구 연무장15길 11,
사근동무인공영주차장,0.0,서울 성동구 사근동12길 5-11,
대현산배수지 공영주차장,2.0,서울 성동구 금호동1가 103,
D타워 서울포레스트 주차장,0.0,서울 성동구 왕십리로 83-21,
응봉동공영주차장,0.0,서울 성동구 독서당로63길 40,
성수역SKV1타워 주차장,2.5,서울 성동구 연무장5가길 25,
장한동자동차시장 가동 노상공영주차장,0.0,서울 성동구 용답동 239-3,
래미안옥수리버젠아파트상가 주차장,0.0,서울 성동구 독서당로 223,
진모빌리티성수동 주차장,1.0,서울 성동구 서울숲길 41,
마장동공영주차장,1.5,서울 성동구 청계천로10나길 38,
하왕십리 공영주차장,3.0,서울 성동구 무학봉길 48,02-2204-7970
노상공영주차장,0.0,서울 성동구 마장로35길 76,
성동유료주차장,1.0,서울 성동구 도선동 39-2,
헤이그라운드 서울숲 주차장,0.0,서울 성동구 성수동1가 656-75,
LCDC SEOUL 주차장,0.0,서울 성동구 연무장17길 10,
아크밸리 지식산업센터 주차장,0.0,서울 성동구 성수이로22길 37,
서울숲비즈포레주차장,0.0,서울 성동구 왕십리로10길 6,
이마트 왕십리점 주차장,0.0,서울 성동구 왕십리광장로 17,
장한평자동차시장 나동 노상공영주차장,0.0,서울 성동구 용답동 239-6,
아마노 무신사E1 주차장,0.0,서울 성동구 연무장길 83,
행당제1동주민센터 주차장,0.0,서울 성동구 고산자로10길 18,
대도주차장,0.0,서울 성동구 독서당로 302,
cgv 왕십리 주차장,0.0,서울 성동구 행당동 168-151,
성수대교참사희생자위령탑 주차장,5.0,서울 성동구 성수동1가 685-718,
용답어울림공영주차장,0.0,서울 성동구 용답동 53-5,
레노스블랑쉬 주차장,0.0,서울 성동구 행당동 319-38,
서울숲드림타워 주차장,1.0,서울 성동구 성수이로 66,
금호스타 주차장 24시,0.0,서울 성동구 금호동4가 1551,02-795-4300
에이스하이엔드 성수타워 주차장,0.0,서울 성동구 성수이로10길 14,
성수생각공장데시앙플렉스 주차장,0.0,서울 성동구 아차산로17길 49,
정암빌딩 주차장,0.0,서울 성동구 광나루로 232,
블루스톤타워 주차장,0.0,서울 성동구 연무장5길 9-16,
서울교통공사 신답별관 주차장,0.0,서울 성동구 천호대로 232,
금호두산종합상가 주차장,0.0,서울 성동구 금호동3가 1331,
노벨빌딩 주차장,0.0,서울 성동구 왕십리로 88,
마산축산물시장 서문 공영주차장,0.0,서울 성동구 마장로31길 43,02-2204-7989
마장동축산물 공영주차장,0.0,서울 성동구 마장로33길 73,
아크로서울포레스트아파트 주차장,0.0,서울 성동구 왕십리로 83-21,
센트라스153타워 주차장,0.0,서울 성동구 왕십리로 410,
성동구공영주차장,0.0,서울 성동구 사근동 282-2,
경동빌딩,0.0,서울 성동구 성수일로 39,02-2205-3888
영동테크노타워 주차장,0.0,서울 성동구 아차산로 103,
영동대교북단주차장,0.0,서울 성동구 성수동2가 204-16,
성수 유료주차장,5.0,서울 성동구 뚝섬로15길 15 성수 주차장,010-5379-5617
Tmap주차 갤러리아포레더몰 주차장,0.0,서울 성동구 서울숲2길 32-14,
서울숲코오롱디지털타워1차 주차장,0.0,서울 성동구 성수일로4길 25,
하이파킹 비트플렉스몰,0.0,서울 성동구 왕십리광장로 17,
한양대학교병원 주차장,0.0,서울 성동구 왕십리로 222-1,
서울숲IT밸리 주차장,0.0,서울 성동구 성수일로 77,
스탈릿성수 주차장,1.0,서울 성동구 아차산로 104,
한양주차장,0.0,서울 성동구 둘레9길 20-5,
롯데마트 행당역점 주차장,0.0,서울 성동구 행당로 84,
아마노 무신사 E2 주차장,0.0,서울 성동구 성수이로18길 43,
서울시설공단 수서노외남측공영주차장,0.0,서울 성동구 청계천로 540,
