name,degree,address,tel
삼선동 공영주차장,3.0,서울 성북구 삼선교로4길 71,
정릉시장 공영주차장,3.0,서울 성북구 정릉로23길 56,
동방고개 공영주차장,0.0,서울 성북구 장위로13길 9,
삼선교민영주차장,1.0,서울 성북구 동소문로8길 29,
길상사 주차장,4.5,서울 성북구 선잠로5길 68,
길음환승주차장,0.0,서울 성북구 동소문로 260,
경동고 공영주차장,0.0,서울 성북구 보문로29길 49,
성북주차장,3.0,서울 성북구 창경궁로 315,
성북구청 부설주차장,4.5,서울 성북구 보문로 168,02-6925-0023
성북동길 공영주차장,0.0,서울 성북구 성북동 237-3,
성신주차장,3.0,서울 성북구 보문로34길 62,
벤처빌딩 공영주차장,5.0,서울 성북구 장위동 65-154,
시네마빌딩 공영주차장,5.0,서울 성북구 아리랑로12길 4,
삼청각 주차장,0.0,서울 성북구 성북동 330-320,
서경대학교 주차장,0.0,서울 성북구 서경로 124,
현대백화점 미아점 별관주차장,0.0,서울 성북구 동소문로 316,
의릉주차장,0.0,서울 성북구 석관동 산 1-5,
고려대학교 인문사회계 주차장,0.0,서울 성북구 안암로 145,02-3290-1866
세학주차장,5.0,서울 성북구 보문로34길 43,02-927-2210
마을공원 공영주차장,0.0,서울 성북구 장위동 77-79,
성북구공용주차장,0.0,서울 성북구 솔샘로16길 19,
정릉주차장,0.0,서울 성북구 정릉동 260-24,
북한산국립공원 정릉주차장,4.0,서울 성북구 정릉동 966-211,
고려대학교병원 주차장,5.0,서울 성북구 고려대로 73,
국민대앞 유료주차장,1.3,서울 성북구 정릉동 865-7,
돈암골주차장,5.0,서울 성북구 동소문동5가 118,
제2월곡인조잔디구장 주차장,0.0,서울 성북구 상월곡동 산 1-1,
고려대학교안암병원 장례식장 주차장,0.0,서울 성북구 안암로 145,
성북동메밀수제비누룽지백숙 주차장,0.0,서울 성북구 성북동 281-3,
르한스 주차장,0.0,서울 성북구 정릉로10길 127,
신한은행 성북점 주차장,0.0,서울 성북구 성북로 71,
한국국토정보공사 서울중부지사 주차장,0.0,서울 성북구 안암동1가 227-1,
성북구청 주차장,3.0,서울 성북구 보문로 168,
유타몰 주차장,1.0,서울 성북구 동소문로 106,
안암생활 주차장,0.0,서울 성북구 안암로 25,
국민대학교 주차장,1.2,서울 성북구 정릉로 77,
카카오T 안암랜드 주차장,0.0,서울 성북구 고려대로28길 16,
창천프라자 주차장,4.0,서울 성북구 보문로34길 69,
청암빌딩 주차장,0.0,서울 성북구 동소문로 12,
거주자우선주차장,0.0,서울 성북구 하월곡동 226-4,
성북정보도서관 주차장,0.0,서울 성북구 상월곡동 24-348,
블랑제메종북악 주차장,0.0,서울 성북구 성북로 156,
동덕여자대학교 주차장,0.0,서울 성북구 화랑로13길 60,
청우빌딩 주차장,0.0,서울 성북구 성북로 11,
우신향병원 주차장,0.0,서울 성북구 안암동5가 86-59,
장위뉴타워 주차장,0.0,서울 성북구 화랑로 248,
개운사 주차장,1.0,서울 성북구 개운사길 59,
태극당빌딩 주차장,1.0,서울 성북구 동선동1가 119-10,
돈암주차장,1.0,서울 성북구 동선동1가 113,
동선 노외주차장,0.0,서울 성북구 동선동1가 107,
성북유료주차장,1.0,서울 성북구 성북동 46-46,
아리랑힐호텔 주차장,0.0,서울 성북구 동선동4가 26,
길음시장주차장,0.0,서울 성북구 동소문로 229,02-942-2114
종암주차장,2.0,서울 성북구 종암동 133-8,
신한은행 정릉점 주차장,0.0,서울 성북구 보국문로 37,
KB국민은행 돈암동지점 주차장,1.0,서울 성북구 동선동1가 107,
갈비명가이상 돈암본관 주차장,0.0,서울 성북구 정릉로 364,
종암주민센터 주차장,0.0,서울 성북구 종암로 98-8,
더서울병원 주차장,0.0,서울 성북구 아리랑로 16,
고려대학교 주차장,0.0,서울 성북구 안암로 145,
한성대학교 주차장,0.0,서울 성북구 삼선교로16길 116,
성신여자대학교 주차장,0.0,서울 성북구 보문로34다길 2,
고려대학교 교우회관 주차장,0.0,서울 성북구 종암로 13,
장위3동 공영주차장,1.0,서울 성북구 장위동 77-79,
쌍다리돼지불백 본점 주차장,0.0,서울 성북구 성북동 110-1,
정릉4동공동주차장,0.0,서울 성북구 보국문로16가길 53,
