name,degree,address,tel
잠실역공영주차장,2.6,서울 송파구 신천동 27,
송파근린공원 공영주차장,5.0,서울 송파구 송파동 113,
새마을시장 공영주차장,0.0,서울 송파구 잠실동 279,
아시아공원 공영주차장,3.7,서울 송파구 올림픽로 44,02-415-7734
복정역 환승공영주차장,3.0,서울 송파구 장지동 600-2,02-3405-4075
송파나루공원 동호주차장,2.0,서울 송파구 신천동 32,02-424-1199
서호2공영주차장,0.0,서울 송파구 잠실동 47,
삼전동공영주차장,2.4,서울 송파구 백제고분로32길 25-17,02-412-1532
송파구청 주차장3,5.0,서울 송파구 올림픽로 326,
문정근린공원 공영주차장,0.0,서울 송파구 문정로 지하 12,02-431-0166
잠실한강공원 잠실1주차장,3.0,서울 송파구 잠실동 1-1,
롯데호텔월드 어드벤처주차장,1.0,서울 송파구 올림픽로 240,
더컨벤션 송파문정점 주차장입구,0.0,서울 송파구 송파대로 155,
봉상시길A 공영주차장,0.0,서울 송파구 잠실동 178-7,
롯데월드 주차장,4.0,서울 송파구 올림픽로 240,02-411-5574
송파동공영주차장,3.0,서울 송파구 백제고분로44길 13-25,
위례성길 공영주차장,3.0,서울 송파구 방이동 18,
서호1공영주차장,3.0,서울 송파구 잠실동 47,
잠실종합운동장 2주차장,4.8,서울 송파구 올림픽로 25,
롯데타워 주차장,3.8,서울 송파구 올림픽로 300,
비석거리 노상공영주차장,0.0,서울 송파구 가락동 95-6,
잠실야구장 관객임시주차장,0.0,서울 송파구 잠실동 1082-1,
서울놀이마당 공영주차장,0.0,서울 송파구 삼학사로 136,02-2157-1093
서울아산병원 신관주차장,5.0,서울 송파구 올림픽로43길 88,
잠실한강공원 잠실4주차장,5.0,서울 송파구 잠실동 1-1,
위례성길주차장,0.0,서울 송파구 방이동 94-3,
가락몰 주차장,5.0,서울 송파구 양재대로 932,02-3435-0695
방이고분공영주차장,2.3,서울 송파구 오금로 219,
올림픽병원 주차장,0.0,서울 송파구 백제고분로 283,070-4607-8602
잠실종합운동장 1주차장,4.7,서울 송파구 올림픽로 25,
롯데월드몰 주차장,0.0,서울 송파구 올림픽로 300,
소피텔앰베서더 서울 주차장,0.0,서울 송파구 잠실로 209 지하2~지하4층,
석촌역노상공영주차장,1.4,서울 송파구 송파동 68,
광나루한강공원 제3주차장,5.0,서울 송파구 풍납동 49-2,
롯데시네마 월드타워 지하주차장,3.0,서울 송파구 올림픽로 300,
엄마손쇼핑 주차장,0.0,서울 송파구 가락로 103,
신천유수지 공영주차장,0.0,서울 송파구 오금로 1,02-414-6417
잠실한강공원 잠실3주차장,5.0,서울 송파구 잠실동 1-1,070-7119-6356
올림픽공원 P4주차장,1.0,서울 송파구 올림픽로 424,
마천동3공영주차장,1.0,서울 송파구 마천로 301-1,02-430-6790
서울웨딩타워 주차장,0.0,서울 송파구 양재대로 932,
장지공영주차장,0.0,서울 송파구 문정동 2-6,02-407-1500
유료주차장,3.0,서울 송파구 방이동 71-2,
롯데마트잠실점 옥외주차장,0.0,서울 송파구 올림픽로 240,
석촌고분공영주차장,0.0,서울 송파구 가락로7길 21,
오금공원 주차장,0.0,서울 송파구 오금로 363,
올림픽공원 남2문주차장,0.0,서울 송파구 올림픽로 424,
잠실나루역 공영주차장,0.0,서울 송파구 신천동 11-1,
올림픽공원 5주차장,0.0,서울 송파구 올림픽로 424,
에비뉴엘 월드타워점 주차장,1.0,서울 송파구 올림픽로 300,
송파여성문화회관 주차장,0.0,서울 송파구 송파동 113,
올림픽홀 주차장,0.0,서울 송파구 올림픽로 424,
서울올림픽파크텔 주차장,0.0,서울 송파구 방이동 88-8,
뉴스마트파킹 가락동1주차장,1.7,서울 송파구 가락동 80-6,02-2268-8360
위례성길(방이습지)노상주차장,0.0,서울 송파구 방이동 452-12,
로데오길노상공영주차장,0.0,서울 송파구 문정동 3-2,02-400-1633
서울시설공단 송파공영차고지,3.5,서울 송파구 헌릉로 870,
유료 민영 주차장,0.0,서울 송파구 잠실동 186-9,
유성 민영 주차장,3.0,서울 송파구 송파동 30,
서울아산병원 후문주차장,0.0,서울 송파구 올림픽로43길 88,
아이스페이스 잠실2 주차장,0.0,서울 송파구 올림픽로 354,
올림픽공원 SK올림픽핸드볼경기장 주차장,0.0,서울 송파구 올림픽로 424,
한국체육대학교 주차장,0.0,서울 송파구 양재대로 1239,
가락동2주차장,0.0,서울 송파구 가락동 98-1,
풍납유수지 공영주차장,2.0,서울 송파구 풍납동 387,02-474-9906
파킹몬스터 방이점 유료 주차장,0.0,서울 송파구 방이동 59-9,
거여동공영주차장,0.0,서울 송파구 오금로68길 8,
성내역 노상 공영 주차장,0.0,서울 송파구 신천동 11-1,
풍납1 공영주차장,0.0,서울 송파구 풍성로25나길 6,
거여고가교 공용주차장 1,0.0,서울 송파구 마천동 27,
은성주차장,1.3,서울 송파구 잠실동 184-14,
송파나루 주차장,0.0,서울 송파구 방이동 108-4,
이마트 가든파이브점 동측주차장,0.0,서울 송파구 충민로 10,02-430-3366
교통공원길 노상 공영주차장,0.0,서울 송파구 신천동 11-9,
마천동2공영주차장,5.0,서울 송파구 성내천로 299-7,
올림픽공원 남4문주차장,1.0,서울 송파구 올림픽로 424,
투루파킹 송파연세빌딩점,1.0,서울 송파구 오금로 152,1688-1054
롯데월드 지하주차장,0.0,서울 송파구 올림픽로 240,
송파구민회관 주차장,0.0,서울 송파구 백제고분로 242,
잠실종합운동장 남문 주차장,0.0,서울 송파구 올림픽로 25,
파크존 송파나루 민영 주차장,0.0,서울 송파구 방이동 108-16,
시그마타워 주차장,1.0,서울 송파구 신천동 7-19,
잠실7동주민센터 주차장,0.0,서울 송파구 올림픽로4길 17,
성남주차장,1.0,서울 송파구 방이동 59-3,
이스턴베니비스 주차장,0.0,서울 송파구 천호대로 996,
롯데백화점 잠실점 주차장,1.0,서울 송파구 올림픽로 240,
서울아산병원 중앙주차장,4.6,서울 송파구 올림픽로43길 88,
카카오T 아펙스 주차장,0.0,서울 송파구 올림픽로32길 18-11,
마천중앙시장 주차장,1.0,서울 송파구 마천동 128-88,
문정현대지식산업센터1 B동 주차장,0.0,서울 송파구 법원로11길 11,
신송파민영주차장,0.0,서울 송파구 백제고분로42길 4-21,02-419-5586
잠실더플레이스 주차장,0.0,서울 송파구 백제고분로20길 1-5,
잠실파크리오A상가 주차장,0.0,서울 송파구 신천동 17-4,
롯데호텔월드 주차장,0.0,서울 송파구 올림픽로 240,
롯데월드 옥외지상주차장,0.0,서울 송파구 올림픽로 240,
놀부유황오리진흙구이 잠실점 주차장,0.0,서울 송파구 방이동 109-10,
올림픽공원 동2문주차장,0.0,서울 송파구 올림픽로 424,
천마공영주차장,0.0,서울 송파구 성내천로33가길 20,
타워730 주차장-아마노코리아,5.0,서울 송파구 송파대로 570 지하 2층~4층,02-412-8730
버거킹 위례신도시GS점 주차장,0.0,서울 송파구 위례중앙로 43,
잠실한강공원 제2주차장,0.0,서울 송파구 잠실동 1-1,
잠실종합운동장 동문주차장,4.0,서울 송파구 올림픽로 25,
거여동 거주자 상생주차장,0.0,서울 송파구 거여동 41-4,
유료주차장,0.0,서울 송파구 가락로 248,
NC백화점 송파점 주차장,5.0,서울 송파구 충민로 66,
돈블랑 석촌호수점 주차장,0.0,서울 송파구 석촌호수로 296,
가락 농수산물종합도매시장 19주차장,0.0,서울 송파구 양재대로 932,
가든파이브 툴동 서측주차장,0.0,서울 송파구 문정동 628,
제2롯데월드 주차장,0.0,서울 송파구 올림픽로 300,
문정프라자 주차장,0.0,서울 송파구 중대로 80,
송파나루공원 1주차장,0.0,서울 송파구 잠실동 42,
국립경찰병원 주차장1,3.0,서울 송파구 송이로 123,
롯데캐슬플라자주차장,0.0,서울 송파구 올림픽로 269,
잠실엘타워 주차장,0.0,서울 송파구 석촌호수로 74,
잠실종합운동장 4주차장,4.0,서울 송파구 올림픽로 25,02-2240-8876
올림픽공원 남3문 주차장,0.0,서울 송파구 방이동 88-21,
신원빌딩 유료주차장,0.0,서울 송파구 삼전동 1-1,
센틀민영주차장,0.0,서울 송파구 송파동 99-1,010-3232-1340
서울세계로병원 주차장,0.0,서울 송파구 거여동 604,1670-9111
송파책박물관 주차장,0.0,서울 송파구 가락동 910,
테라타워2 A동 지하주차장,0.0,서울 송파구 송파대로 201,
파인애플상가 주차장,0.0,서울 송파구 올림픽로 119,
아펙스 주차장,0.0,서울 송파구 방이동 63-1,
잠수교집 3호점 주차장,1.0,서울 송파구 송파대로49길 51,
문정역테라타워 주차장,4.0,서울 송파구 송파대로 167,
한솔병원 신관주차장,5.0,서울 송파구 백제고분로39길 14-20,
풍납시장 주차장,0.0,서울 송파구 풍납동 152-81,
엠스테이트 주차장,0.0,서울 송파구 법원로 114,
송파체육문화회관 주차장,0.0,서울 송파구 양산로 15,
잠실리센츠상가 주차장,0.0,서울 송파구 올림픽로 145,
노외공영주차장,0.0,서울 송파구 풍납동 49-2,
잠실나루역 거주자전용주차장,2.0,서울 송파구 오금로 20,
송파구청 지하주차장,5.0,서울 송파구 올림픽로 326,
아비쥬의원 신천점 주차장,1.0,서울 송파구 올림픽로 96,1544-0377
성내유수지체육공원 주차장,0.0,서울 송파구 방이동 88-13,
가든파이브툴 주차장,1.0,서울 송파구 충민로 10,
시립서울곰두리체육센터 주차장,0.0,서울 송파구 오금동 51,
아마노 잠실L타워 주차장,0.0,서울 송파구 석촌호수로 74,
이경진우렁쌈밥정식 오금점 주차장,5.0,서울 송파구 중대로 310,
롯데호텔월드 발렛전용주차장,5.0,서울 송파구 올림픽로 240,
