name,degree,address,tel
목동공영주차장,2.0,서울 양천구 목동동로 298,02-2644-1384
신정교 공영주차장,0.0,서울 양천구 신정동 871-3,
목동깨비시장 공동주차장,4.3,서울 양천구 목동 614-3,
목2동월촌공영주차장,0.0,서울 양천구 목동 525,
안양천 주차장,5.0,서울 양천구 신정동 871-23,
신영시장 고객주차장,3.0,서울 양천구 신월동 114-16,
한마음공영주차장,5.0,서울 양천구 목동 914-5,070-7119-2575
신정4동길 노상공영주차장,0.0,서울 양천구 신정동 1065,
곰달래공영주차장,0.0,서울 양천구 곰달래로10길 4,
바람개비공영주차장,0.0,서울 양천구 목동 919-8,02-2644-1386
법마을 공영주차장,3.0,서울 양천구 신정동 1018-3,
어울림 공영주차장,4.0,서울 양천구 신정동 318-2,
신정4동로데오노상공영주차장,0.0,서울 양천구 신정동 1068,
신정4동 로데오길 주차장,0.0,서울 양천구 목동로25길 19,
락희안 목동직영점 주차장,0.0,서울 양천구 오목로 330,
안양천시민체육공원 주차장,5.0,서울 양천구 신정동 871-3,
가로공원 공영주차장,0.0,서울 양천구 가로공원로 지하 133,
목동센트럴아이파크위브 1단지상가 주차장,5.0,서울 양천구 남부순환로83길 17,
목동센트럴아이파크위브3단지 정문주차장,5.0,서울 양천구 신월로20길 33,
신월3동 구립신우공영주차장,1.0,서울 양천구 신월동 166-23,
이대목동병원 주차장,1.0,서울 양천구 안양천로 1071,
목동체비지 공영주차장,0.0,서울 양천구 목동 908-27,02-2290-6449
해맞이공영주차장,0.0,서울 양천구 신월동 987,
"신정1,3동복개주차장",0.0,서울 양천구 신정동 1146,
현대41타워옆 노상공영주차장,0.0,서울 양천구 목동 917-2,
양평고가밑 노상주차장,0.0,서울 양천구 목동 900-8,
웃우물 공영주차장,1.0,서울 양천구 중앙로 310,02-2290-6311
맥도날드 양천구청DT점 주차장,0.0,서울 양천구 목동동로 71,
양천공원옆 노상공영주차장,0.0,서울 양천구 신정동 320-3,
이마트 목동점 주차장,0.0,서울 양천구 오목로 299,
목동타운공용주차장,0.0,서울 양천구 목동로 210,
다락골공영주차장,5.0,서울 양천구 중앙로29길 41,
갈산공원 주차장,4.0,서울 양천구 신정동 163-52,
현대하이페리온2차 상가주차장,0.0,서울 양천구 오목로 300,
경창시장 고객주차장,0.0,서울 양천구 신월동 446-3,
CBS기독교방송빌딩 주차장,0.0,서울 양천구 목동서로 159-1,
양천구청 노상공영주차장,0.0,서울 양천구 신정동 321-3,
서울남부지방법원 주차장2,0.0,서울 양천구 신월로 393,
현대백화점 목동점 주차장,0.0,서울 양천구 목동동로 257,
신월바다주차장,1.0,서울 양천구 신월로 157,02-2065-1610
삼성유료주차장,1.0,서울 양천구 신정동 1007-1,016-703-5617
스타벅스 신정DT점 주차장,0.0,서울 양천구 신월로 341,
당곡공영주차장,0.0,서울 양천구 신월동 482-11,
한전뒷길 노상주차장,0.0,서울 양천구 신정동 319-25,
양천문화회관 동측공영주차장,0.0,서울 양천구 신정동 322-5,
건양유료주차장,0.0,서울 양천구 신정동 1183-15,070-4351-0611
목3동해운공영주차장,3.0,서울 양천구 목동중앙남로14가길 39,
마을마당공영주차장,0.0,서울 양천구 곰달래로3길 13,
목동유료주차장,1.0,서울 양천구 목동로 183,02-2601-5617
신월4동 공영주차장,1.0,서울 양천구 국회대로 28,02-3405-4048
도국빌딩 민영 주차장,0.0,서울 양천구 공항대로 612,
정목주차장,0.0,서울 양천구 목동중앙로3길 30-10,
홍익병원별관 주차장,3.0,서울 양천구 국회대로 248,
부영그린 공영노상주차장,5.0,서울 양천구 목동 908-35,
우리 공영주차장,0.0,서울 양천구 목동 907-8,
신곡 주차장,5.0,서울 양천구 신월동 549-18,
청학빌딩 주차장,0.0,서울 양천구 오목로 344,
신정1동주민센터 주차장,5.0,서울 양천구 신정동 1051-11,
신정7동한사랑교회앞공영주차장,0.0,서울 양천구 신정동 324-11,
광장공영주차장,0.0,서울 양천구 목동 907-19,
신정주차빌딩,0.0,서울 양천구 남부순환로88길 5-3,
능골공영주차장,0.0,서울 양천구 신월동 152-38,02-2699-0742
법안정사 공영주차장,0.0,서울 양천구 목동 907-1,
맥도날드 신월DT점 주차장,0.0,서울 양천구 남부순환로 404,
서울시설공단 양천공영차고지,0.0,서울 양천구 신정로 167,
협성빌딩 주차장,0.0,서울 양천구 오목로 336,
청기와모텔 주차장,0.0,서울 양천구 신월로20길 3,
스타벅스 신월동DT 주차장,0.0,서울 양천구 남부순환로 319,
목동신시가지아파트4단지 상가동 주차장,0.0,서울 양천구 목동서로 130,
홈플러스목동점 주차장,0.0,서울 양천구 목동서로 170,
스타벅스 신월ICDT점 주차장,0.0,서울 양천구 신월동 205-48,
목운중학교 주차장,0.0,서울 양천구 목동동로 235,
양천도서관 공영주차장,0.0,서울 양천구 목동 905-32,
신월3동 공영주차장,4.0,서울 양천구 남부순환로 380-1,
계남다목적체육관 주차장,0.0,서울 양천구 신정동 521,
신정동빌딩 주차장,0.0,서울 양천구 목동로 203,
신월1동저지1구역 주차장,0.0,서울 양천구 곰달래로 46,
서울특별시서남병원 주차장,1.0,서울 양천구 신정이펜1로 20,
오솔길공영주차장,0.0,서울 양천구 남부순환로70길 16-8,
신정빌딩 신용카드전용주차장,0.0,서울 양천구 목동로 189,1899-7275
목동운동장 주차장1,0.0,서울 양천구 목동 914-2,
화창,0.0,서울 양천구 목동로 216,
목동신시가지아파트3단지 상가 주차장,0.0,서울 양천구 목동서로 100,
신월6동 마을사랑주차장,0.0,서울 양천구 신월동 1002-18,
신월주차장,0.0,서울 양천구 신월동 21-1,
보성주차장,0.0,서울 양천구 목동 615-1,
항아리보쌈 주차장,0.0,서울 양천구 신정동 296-69,
신월7동 주차장,0.0,서울 양천구 신월동 964-11,
한국통신공영 노상주차장,0.0,서울 양천구 목동 924-1,
문화회관서측 공영주차장,0.0,서울 양천구 신정동 323-25,
오목주차장,0.0,서울 양천구 오목로 322,
행복한백화점 주차장,0.0,서울 양천구 목동동로 309,
이마트신월점 주차장,0.0,서울 양천구 화곡로 59,
신목동역자전거주차장,0.0,서울 양천구 안양천로 1156,
국제유료주차장,0.0,서울 양천구 목동 515-29,
아이파킹 신월 주차장,0.0,서울 양천구 월정로 257,1588-5783
남영빌딩주차장,0.0,서울 양천구 공항대로 558,
뉴본정형외과 주차장,0.0,서울 양천구 중앙로 303,
광장유료주차장,0.0,서울 양천구 목동중앙남로3가길 7,
누리공영주차장,0.0,서울 양천구 신정동 323-13,
목동운동장 주차장2,0.0,서울 양천구 안양천로 939,
양천해누리체육공원 주차장1,0.0,서울 양천구 신정동 330-5,
신월2동 복개 주차장,0.0,서울 양천구 중앙로49길 7-1,
진명유료주차장,0.0,서울 양천구 목동로 171,
한생연 생명과학박물관 목동점 주차장,0.0,서울 양천구 목동 405-207,
태영프라자 주차장,0.0,서울 양천구 등촌로 32,
센트럴프라자 주차장,0.0,서울 양천구 목동서로 349,
착한낙지 목동점 주차장,0.0,서울 양천구 목동 802-9,
양천경찰서 노상공영주차장,0.0,서울 양천구 신정동 322-3,
신월3동 여울공영주차장,0.0,서울 양천구 가로공원로 72,
KM파크 KB국민은행 목동역지점 주차장,0.0,서울 양천구 신정동 991-4,
목동센트럴아이파크위브3단지 후문주차장,0.0,서울 양천구 신월동 1077-2,
먹자대게 주차장,0.0,서울 양천구 목동서로 213,
양천해누리체육공원 주차장2,0.0,서울 양천구 안양천로 711,
메디힐병원 주차장,0.0,서울 양천구 신월동 51-10,
노상공영주차장,0.0,서울 양천구 신월동 827,
밝은빛공영주차장,0.0,서울 양천구 신정동 323-18,
로프트가든 공영주차장,0.0,서울 양천구 목동동로 298,
곰달래로5길 주차장,0.0,서울 양천구 신월동 126-36,
만남의광장,0.0,서울 양천구 신정동 871-23,
목동파라곤오피스텔 주차장,0.0,서울 양천구 목동서로 155,
서울문화예술교육센터 양천 주차장,2.0,서울 양천구 신월동 267,02-2697-0027
목동5단지C상가 주차장,0.0,서울 양천구 목동동로 350,
목동로데오빌딩 주차장,0.0,서울 양천구 목동로 203,
공단본부 공영주차장,0.0,서울 양천구 목동서로 190,
유창빌딩 주차장,0.0,서울 양천구 공항대로 556,
새마을주차장,0.0,서울 양천구 목동중앙본로30길 45,
문화회관지하 공영주차장,0.0,서울 양천구 목동서로 367,
유료주차장,0.0,서울 양천구 목동중앙로 71,
오복주차장,0.0,서울 양천구 오목로 354,
신월1동저지2구역 주차장,5.0,서울 양천구 가로공원로 162,
목동12단지아파트상가 주차장,0.0,서울 양천구 목동동로 50,
양천구청 공영주차장,0.0,서울 양천구 신정동 321-4,
제성료주차장,0.0,서울 양천구 목동 794-16,
신월1동저지1구역 노상공영주차장,0.0,서울 양천구 신월동 289,
양천경찰서 주차장,0.0,서울 양천구 목동동로 99,
목동로데오유료주차장,0.0,서울 양천구 신정동 900-8,
목동드림네스트 주차장,0.0,서울 양천구 목동동로 437,
미진빌딩 주차장,0.0,서울 양천구 신목로 53,
우성상가 주차장,0.0,서울 양천구 지양로 78,
한청상가번영회,0.0,서울 양천구 목동서로2길 22,02-2643-2033
경서농협주차장,0.0,서울 양천구 신월로 313,
하늘주차장,0.0,서울 양천구 신정동 323-33,
참사랑복지회 주차장,0.0,서울 양천구 목동중앙서로7길 42,
양천사회단체봉사센터 공영주차장,0.0,서울 양천구 목동서로 131,02-2646-9055
삼성화재서비스빌딩 주차장,0.0,서울 양천구 목동동로 233-3,
SBS 목동방송센터 주차장,0.0,서울 양천구 목동 920,
열방교회 주차장,5.0,서울 양천구 신정로 167,02-2607-0192
서울특별시강서양천교육지원청 주차장 (휴장중),5.0,서울 양천구 월정로 269,
예술인센터 주차장,0.0,서울 양천구 목동서로 225,
양천구민체육센터 주차장,0.0,서울 양천구 목동동로 87,
