name,degree,address,tel
여의도한강공원 제1주차장,3.3,서울 영등포구 한강남자전거길 1593,02-747-5645
여의도한강공원 제2주차장,1.5,서울 영등포구 여의도동 84-4,
영등포 영남공영주차장,1.0,서울 영등포구 영등포로34길 9,
여의도백화점 주차장,0.0,서울 영등포구 여의도동 36-2,
여의도한강공원 3주차장,4.2,서울 영등포구 여의서로 62,
영등포동 제3공영주차장,4.0,서울 영등포구 영중로 15,
더컨벤션 영등포점 주차장,1.0,서울 영등포구 국회대로38길 2,
MBC방송국뒤노상공영주차장,0.0,서울 영등포구 여의도동 3-1,
전경련회관 주차장,0.0,서울 영등포구 여의대로 24,
구로디지털단지역 환승공영주차장,5.0,서울 영등포구 대림동 1064-3,02-2290-6034
영등포본동 제1공영주차장,5.0,서울 영등포구 영신로10길 15,
당산고가밑 노상공영주차장,3.0,서울 영등포구 당산동5가 11-39,032-872-7078
문래근린공원 공영주차장,1.8,서울 영등포구 문래동3가 60-2,
영등포구청역 공영주차장,5.0,서울 영등포구 양산로 111,
국회둔치주차장,3.4,서울 영등포구 여의도동 81-8,
63빌딩 주차장,3.0,서울 영등포구 63로 50,
대림2동 공영주차장,0.0,서울 영등포구 디지털로37나길 21,02-2650-1435
대림역 노상공영주차장,0.0,서울 영등포구 대림동 808-24,032-872-7078
영등포동제1공영주차장,0.0,서울 영등포구 영등포동2가 230,02-2671-1787
KBS방송국 방문객주차장,2.0,서울 영등포구 여의공원로 13,
영등포역 주차장,0.0,서울 영등포구 경인로 846,
당산2동공영주차장,0.0,서울 영등포구 당산동 121-105,
영등포구청별관 공영주차장,0.0,서울 영등포구 선유동1로 80,
IFC몰 주차장,1.2,서울 영등포구 국제금융로 10,
신길환승5호선 공영주차장,0.0,서울 영등포구 영등포동1가 35,
도림동공영주차장,0.0,서울 영등포구 도신로15길 36,
문래1동 공영주차장,0.0,서울 영등포구 문래동3가 54-12,032-872-7078
해군본부앞 공영주차장,0.0,서울 영등포구 신길동 812,031-903-3345
양평2동청사 공영주차장,0.0,서울 영등포구 선유로47길 30,
여의도공원 공영주차장 샛강방면,5.0,서울 영등포구 여의도동 2-11,
노상공영주차장,0.0,서울 영등포구 영등포동3가 36,
타임스퀘어 주차장,2.0,서울 영등포구 영중로 15 지하3~5층,02-2638-2300
이랜드크루즈 여의도 제1주차장,0.0,서울 영등포구 여의도동 86-6,
영보주차장,1.0,서울 영등포구 영등포로 233,02-2637-2884
당산근린공원공영주차장,0.0,서울 영등포구 당산로 123,
경부제3녹지 공영주차장,0.0,서울 영등포구 영등포로 지하 405,
더현대서울 파크원 P3 주차장,1.0,서울 영등포구 여의대로 108,
양화한강공원 제1주차장,0.0,서울 영등포구 당산동 95-1,
대림1동공영주차장,4.0,서울 영등포구 대림로22길 2,
여의도공원 공영주차장,0.0,서울 영등포구 여의도동 2,
63빌딩 주차장2,5.0,서울 영등포구 63로 50,
당산노외공영주차장,3.8,서울 영등포구 당산동3가 2-1,
원효대교남단 노상주차장,4.0,서울 영등포구 여의도동 5,
영등포동 제2공영주차장,0.0,서울 영등포구 영등포동7가 29-122,02-831-4938
KBS 별관옆공영주차장,5.0,서울 영등포구 여의도동 4-4,
한강고수부지공원 주차장2,0.0,서울 영등포구 여의도동 81-8,
중마루공원앞 공영주차장,0.0,서울 영등포구 영등포로53길 22,
한진해운앞노상주차장,0.0,서울 영등포구 여의도동 2-3,02-2650-1436
여의도공원앞1주차장,0.0,서울 영등포구 여의도동 2,
국회의사당 국회소통관 주차장,1.7,서울 영등포구 의사당대로 1,
경호빌딩앞 공영주차장,5.0,서울 영등포구 여의도동 2-5,
콘래드서울 주차장,0.0,서울 영등포구 국제금융로 10,02-6137-7000
롯데백화점 영등포점 주차장,5.0,서울 영등포구 경인로 846,
김안과병원 주차장,0.0,서울 영등포구 영등포동4가 160-1,
영등포구청 환승공영주차장,0.0,서울 영등포구 양산로 111,02-2290-6089
가톨릭대학교 여의도성모병원 주차장,3.5,서울 영등포구 63로 10,02-3779-1495
문래동공영주차장,0.0,서울 영등포구 문래동5가 3,02-2677-1401
여의도한강공원 5주차장,3.0,서울 영등포구 여의도동 63,
여의서로노상공영주차장,5.0,서울 영등포구 여의도동 8-1,
도림고가노상공영주차장,0.0,서울 영등포구 문래동1가 39-1,02-2650-1436
선유도공원 주차장,0.0,서울 영등포구 노들로 113,
주차장,0.0,서울 영등포구 당산동5가 14-4,
토요코인서울영등포호텔주차장,0.0,서울 영등포구 신길로 293,
국민일보사옥앞 노상주차장,0.0,서울 영등포구 여의도동 1-2,02-2650-1436
양화당산철교밑 공영주차장,0.0,서울 영등포구 당산동 95-1,
YP센터 주차장,0.0,서울 영등포구 선유로 165,
영등포마사회주차장,0.0,서울 영등포구 영등포동3가 17-7,
대림운동장 공영주차장,0.0,서울 영등포구 가마산로31길 16,
국민은행앞1 공영노상주차장,0.0,서울 영등포구 여의도동 1-5,
영등포로터리공영주차장,0.0,서울 영등포구 영등포로 272,
KBS 본관앞노상공영주차장,0.0,서울 영등포구 여의도동 1-7,
양평2동 공영주차장,0.0,서울 영등포구 선유로47길 30,
그랜드컨벤션센터 제2주차장,2.3,서울 영등포구 당산동6가 337-21,
신길4동1동1마을공원 지하공영주차장,5.0,서울 영등포구 신길로40길 5,
당산1동 공영주차장,5.0,서울 영등포구 양산로 147,02-2635-2388
여의도백화점앞 노상공영주차장,0.0,서울 영등포구 여의도동 3-5,
복지장례문화원 주차장,0.0,서울 영등포구 도림로 142,
코스트코양평점 주차장,0.0,서울 영등포구 선유로 156,
양화3주차장,0.0,서울 영등포구 양화동 26-8,
대림어린이공원 지하공영주차장,0.0,서울 영등포구 대림로 106,
유니온타워 주차장,0.0,서울 영등포구 여의대방로65길 10,
샛강생태공원 주차장,0.0,서울 영등포구 여의도동 63,
롯데시네마 영등포 주차장,0.0,서울 영등포구 경인로 846 민자역사 시네마동 3층,
대림3동 공영주차장,0.0,서울 영등포구 대림동 745-1,
주차장,0.0,서울 영등포구 당산로 229,
타임스퀘어 P3주차장,0.0,서울 영등포구 영등포동4가 442,
신길7동공영주차장,0.0,서울 영등포구 여의대방로45길 18,
KBS 별관뒤공영주차장,0.0,서울 영등포구 여의도동 4-5,
에이스하이테크시티2차 주차장,4.0,서울 영등포구 선유로13길 25,
신길6동 공영주차장,0.0,서울 영등포구 신길동 3203,
도림초교공영주차장,0.0,서울 영등포구 가마산로65길 22,
경도상가앞 공영노상주차장,0.0,서울 영등포구 여의도동 44-16,
홈플러스 영등포점 주차장,0.0,서울 영등포구 당산로 42,1588-5783
파천교주차장,0.0,서울 영등포구 여의도동 19,
노브랜드 영등포양평점 주차장,0.0,서울 영등포구 양평로 135,
영등포유통상가1주차장,0.0,서울 영등포구 영등포로 115,
여의도공원앞1노상주차장,0.0,서울 영등포구 의사당대로 38,02-2650-1436
한국거래소앞 노상공영주차장,0.0,서울 영등포구 여의나루로 76,
성애병원앞 노상공영주차장,0.0,서울 영등포구 신길동 470-3,
노상공영주차장,1.0,서울 영등포구 영등포동7가 56-2,
노상공영주차장,0.0,서울 영등포구 문래동5가 12-1,02-2650-1436
영등포여고 공영주차장,0.0,서울 영등포구 영등포로62길 13,
양평동 공영주차장,0.0,서울 영등포구 양평동5가 44-1,
KBS홀 주차장,0.0,서울 영등포구 여의공원로 13,
KM파크 그랜드컨벤션센터 제1주차장,0.0,서울 영등포구 양평로 58,
