name,degree,address,tel
서울역KTX 고객주차장,3.5,서울 용산구 청파로 378,070-4325-5501
한남동공영주차장,3.3,서울 용산구 이태원로 224-19,02-749-3633
아이파크몰 용산점 달주차장,2.3,"서울 용산구 한강대로23길 55 4, 5.5층",
삼각지역공영주차장,1.0,서울 용산구 한강대로 182,
이태원2동공영주차장,0.0,서울 용산구 회나무로 55,02-796-3472
한강진역 공영주차장,1.3,서울 용산구 한남동 728-27,02-795-6406
롯데아울렛서울역점 주차장,0.0,서울 용산구 청파로 378,
아이파크몰 해주차장,3.3,서울 용산구 한강대로23길 55,
서울역공항철도 고객주차장,0.0,서울 용산구 청파로 378,
이촌한강공원 4주차장,5.0,서울 용산구 양녕로 495,
용산전자상가 제1공영주차장,3.0,서울 용산구 한강로3가 23-1,02-707-3105
노상공영주차장,0.0,서울 용산구 한강로2가 412,
하이파킹 서울역 공항철도 고객주차장,0.0,서울 용산구 청파로 378,
한강로2가동 노상공영주차장,0.0,서울 용산구 용산동5가 2-68,
한남유수지 공영주차장,4.0,"서울 용산구 독서당로 18 1,2층",02-749-9631
노들섬복합문화공간 서측 주차장,0.0,서울 용산구 이촌동 302-146,
하이파킹 서울역 주차장,3.0,서울 중구 한강대로 405,1688-1054
남산도서관 주차장,3.0,서울 용산구 소월로 109,
용산구청 주차장,5.0,서울 용산구 녹사평대로 150,
이태원1동 노상공영주차장,5.0,서울 용산구 이태원동 22-36,
청파동청사 공영주차장,2.3,서울 용산구 청파로49길 6 청파동주민센터 지하,02-749-5314
청파동1마을공원공영주차장,3.8,서울 용산구 원효로97길 50,
국립중앙박물관 주차장,4.0,서울 용산구 서빙고로 137,
후암동공영주차장,3.7,서울 용산구 후암로35길 23,
용산2가동 기계식공영주차장,4.0,서울 용산구 신흥로2길 74,
용산아이파크몰 별주차장,2.0,서울 용산구 한강대로23길 55,02-2012-0101
효창공원앞역 주차장,3.0,서울 용산구 용문동 5-46,
용산센트럴파크해링턴스퀘어아파트 비주거전용 주차장,0.0,서울 용산구 서빙고로 17,02-792-3679
