name,degree,address,tel
청와대 사랑채 공영주차장,3.2,서울 종로구 효자동 196,
세종로공영주차장,2.3,서울 종로구 세종대로 지하 189,02-2290-6566
경복궁 주차장,3.9,서울 종로구 사직로 161,02-736-9536
종묘공영주차장,4.6,서울 종로구 종로 157,02-2290-6166
국일관 주차장,0.0,서울 종로구 수표로 96 국일관드림팰리스 지하 3~6층,02-2269-0049
낙원상가밑 공영주차장,5.0,서울 종로구 삼일대로 428,
청운효자동주민센터 주차장,0.0,서울 종로구 궁정동 12-1,
서인사마당 공영주차장,3.3,서울 종로구 인사동11길 19,02-2236-0052
대학로8가길 노상공영주차장,0.0,서울 종로구 동숭동 1-151,
원서공원앞 공영주차장,4.0,서울 종로구 원서동 181,
효자주차장,1.8,서울 종로구 효자동 68-1,
노상공영주차장,5.0,서울 종로구 예지동 293-1,
세종마을 신교공영주차장,2.6,서울 종로구 신교동 66,
춘추문공영주차장,0.0,서울 종로구 삼청동 157-69,
하나로빌딩옆 공영주차장,4.0,서울 종로구 인사동 277,
한국방송통신대학교 공공주차장,2.9,서울 종로구 대학로 86,070-4649-5252
적선노외관광버스전용주차장,3.0,서울 종로구 적선동 150,02-2264-4895
창경궁 주차장,2.1,서울 종로구 와룡동 2-1,
종각뒤 공영주차장,0.0,서울 종로구 관철동 45-6,
현대계동사옥 주차장,5.0,서울 종로구 율곡로 75,
안국역4번출구 주차장,4.5,서울 종로구 율곡로 78,
동묘공영주차장,1.0,서울 종로구 숭인동 227-8,02-2236-0052
낙산공원 주차장,3.0,서울 종로구 동숭동 50-129,
대학로주차장,0.0,서울 종로구 혜화동 179-1,
명광교회옆 공영주차장,0.0,서울 종로구 성균관로 45,
무계원 공영주차장,0.0,서울 종로구 창의문로5가길 4,02-2236-0052
광장시장노상주차장,2.0,서울 종로구 청계천로 191-4,
청계3가노상공영주차장,0.0,서울 종로구 창경궁로 지하 81,
서울특별시교육청 정독도서관 주차장,2.6,서울 종로구 북촌로5길 48,02-2011-5799
수운회관 주차장,5.0,서울 종로구 삼일대로 457,02-734-4114
공용주차장,0.0,서울 종로구 율곡로8길 101,
건국빌딩 주차장,4.0,서울 종로구 인사동4길 17,
한일주차장,1.0,서울 종로구 종로 199,
시민열린마당뒤 공영주차장,3.5,서울 종로구 세종로 11,
서울역사박물관 주차장,0.0,서울 종로구 새문안로 55,02-724-0234
서울대학교병원 장례식장 주차장,4.0,서울 종로구 대학로 101,
동대문종합시장 신관 주차장,5.0,서울 종로구 종로 272,
안녕인사동 주차장,0.0,서울 종로구 인사동길 49,
국립현대미술관 서울 주차장,0.0,서울 종로구 삼청로 30,02-3701-9500
황금주차장,1.4,서울 종로구 명륜4가 105-1,02-744-9882
경복궁 지하주차장1,4.3,서울 종로구 사직로 161,
하이파킹 안국역해영회관점 주차장,5.0,서울 종로구 율곡로 53,1688-1054
관철동노상공영주차장,0.0,서울 종로구 관철동 13-14,
마로니에공원 주차장,0.0,서울 종로구 동숭길 3,
서울YMCA 주차장,0.0,서울 종로구 종로 69,
열린마당앞 주차장,3.0,서울 종로구 세종로 11,
종로5가역하이뷰더광장오피스텔 주차장,0.0,서울 종로구 종로 210,
현대계동사옥 공유주차장,5.0,서울 종로구 창덕궁길 19,
KM파크 그랑서울 주차장,4.6,서울 종로구 종로 33,
세운상가 공영주차장,5.0,서울 종로구 청계천로 159,
피카디리플러스 주차장,4.0,서울 종로구 돈화문로5가길 1,
토속촌삼계탕 주차장,3.0,서울 종로구 체부동 95-2,
서울대학교병원 1주차장,4.0,서울 종로구 대학로 101,
신문로공영주차장,1.0,서울 종로구 신문로1가 58-36,02-2236-0052
나이스파크 우리은행 (구)종로5가지점 주차장,1.0,서울 종로구 동호로 399,
