name,degree,address,tel
남산케이블카 공영주차장,1.5,서울 중구 회현동1가 산 1-2,
남산동공영주차장,3.2,서울 중구 퇴계로20길 24,02-755-7004
남산한옥마을 공영주차장,5.0,서울 중구 필동2가 83-1,02-2275-6122
국제화재빌딩 옆 노상공영주차장,1.0,서울 중구 남대문로5가 145,02-3789-7756
남대문시장 주차장,0.0,서울 중구 남창동 189-2,
성동공고공영주차장,3.0,서울 중구 다산로 290,
서울특별시청 서소문청사 주차장,3.0,서울 중구 덕수궁길 15,
동대문DDP주차장,0.0,서울 중구 을지로7가 2-36,
동대문공영주차장,4.5,서울 중구 마장로 22,02-2254-4901
장충공영주차장,2.0,서울 중구 퇴계로50길 59,02-2280-8360
중구공영주차장,4.5,서울 중구 태평로1가 82,
서소문삼성생명 뒤 공영주차장,5.0,서울 중구 서소문동 122,
남산공원 주차장,2.1,서울 중구 회현동1가 100-266,
서울특별시청 주차장,2.4,서울 중구 세종대로 110,02-2133-5981
남산케이블카 주차장,1.0,서울 중구 회현동1가 산 1-2,
신당역공영주차장,0.0,서울 중구 다산로44길 67,
신당사거리 공영주차장,1.0,서울 중구 퇴계로 408,
을지트윈타워 주차장,5.0,서울 중구 을지로 170,
하이파킹 서울역 주차장,3.0,서울 중구 한강대로 405,1688-1054
노보텔앰배서더동대문 주차장,0.0,서울 중구 을지로 238,
조선호텔 앞 공영주차장,0.0,서울 중구 소공동 87-3,
남산예장버스주차장,4.3,서울 중구 퇴계로26길 36,02-2290-7227
문화공영주차장,3.7,서울 중구 동호로12길 29,02-2252-5314
돈화문로공영주차장,4.3,서울 중구 충무로3가 39-2,
하이파킹 대한성공회 서울주교좌성당점 주차장,0.0,서울 중구 세종대로19길 16,1522-0000
뉴국제호텔앞 노상공영주차장,5.0,서울 중구 태평로1가 18-3,
한진면세점앞 노상공영주차장,0.0,서울 중구 남대문로5가 533,
방산종합시장 주차장,3.0,서울 중구 주교동 19-1,
가톨릭회관 주차장,5.0,서울 중구 명동길 80,
서소문성지역사박물관 공영주차장,4.0,서울 중구 칠패로 5,
중구공영주차장,5.0,서울 중구 다동 39-2,
해운센터빌딩앞 노상공영주차장,0.0,서울 중구 소공동 59,
청소년회관뒤노상공영주차장,0.0,서울 중구 수표동 50-1,
훈련원공원 공영주차장,0.0,서울 중구 을지로 227,02-3405-4597
다산동공영주차장,0.0,서울 중구 동호로15길 60,
1898유료주차장,0.0,서울 중구 명동길 66,
동국제강공영주차장,0.0,서울 중구 삼각동 111-1,
황학어린이공원 공영주차장,0.0,서울 중구 다산로48길 33,
청구공영주차장,0.0,서울 중구 다산로 174,02-2280-8360
청계5가 노상 공영 주차장,0.0,서울 중구 을지로6가 17-442,
이화여고앞공영주차장,5.0,서울 중구 통일로4길 30,02-2280-8360
을지로 공영주차장,0.0,서울 중구 을지로3가 282-8,
