name,degree,address,tel
망우역 부설주차장,3.0,서울 중랑구 망우로55길 11-10,
까치공원공영주차장,2.3,서울 중랑구 사가정로49길 56,
중랑역 제1공영주차장,0.0,서울 중랑구 중화동 73-6,
용마폭포 공영주차장,0.0,서울 중랑구 면목동 산 1-4,
묵2동공영주차장,0.0,서울 중랑구 묵동 236-16,
중랑동부시장공영주차장,0.0,서울 중랑구 동일로109길 35,
봉화산역 공영주차장,1.0,서울 중랑구 신내로 208,
중화 제1공영주차장,0.0,서울 중랑구 중화동 73-5,
망우본동공영주차장,0.0,서울 중랑구 망우동 463-8,
동원시장공영주차장,2.3,서울 중랑구 면목동 74-33,
매화노상공영주차장,0.0,서울 중랑구 상봉동 402-4,02-438-7210
아웃백스테이크하우스 상봉점 주차장,0.0,서울 중랑구 상봉동 100-15,
중화1동공영주차장,0.0,서울 중랑구 동일로136나길 14,
면목1동공영주차장,0.0,서울 중랑구 면목동 1262-1,
면목2동공영주차장,5.0,서울 중랑구 겸재로23길 27,080-490-3894
중랑역 제2공영주차장,0.0,서울 중랑구 중화동 73-8,
늘봄공영주차장,0.0,서울 중랑구 겸재로64길 9,02-437-1987
묵1동공영주차장,0.0,서울 중랑구 묵동 122-178,
봉화산역남공영주차장,2.8,서울 중랑구 신내동 647,
중화 제3공영주차장,0.0,서울 중랑구 중화동 73-3,
노상공영주차장,0.0,서울 중랑구 중화동 65-3,
우림시장노상공영주차장,0.0,서울 중랑구 망우동 542-9,
면목5동공영주차장,1.0,서울 중랑구 면목동 173-99,
면목시장 주차장,0.0,서울 중랑구 면목동 666-17,
롯데시네마 중랑 주차장,0.0,서울 중랑구 동일로 951,
싸다주차장,5.0,서울 중랑구 중랑역로 137 (구 경찰서 자리),070-8095-1246
묵중안공영주차장,0.0,서울 중랑구 동일로143길 24,
망우제2공영주차장,0.0,서울 중랑구 망우동 353-1,
중곡초등학교 공영주차장,0.0,서울 중랑구 면목로23길 20,
신한은행 상봉역지점 주차장,0.0,서울 중랑구 상봉동 107-10,
중화제4주차장,4.0,서울 중랑구 중화동 73-10,
나들목공영주차장,0.0,서울 중랑구 동일로129길 22,
면목4동주민센터 주차장,5.0,서울 중랑구 면목동 378-13,
서울의료원 주차장,0.0,서울 중랑구 신내로 156,
망우역사문화공원 제1주차장,4.0,서울 중랑구 망우로91길 2,02-1577-3325
노외주차장,0.0,서울 중랑구 면목동 612-15,
봉수대공원 주차장,0.0,서울 중랑구 상봉동 12-2,
묵중안 노상공영주차장,0.0,서울 중랑구 묵동 195-11,
동서울농협 본점 주차장,0.0,서울 중랑구 상봉동 115-63,
다이소 망우2호점 주차장,0.0,서울 중랑구 망우로 416,
금란교회 제2주차장,0.0,서울 중랑구 용마산로118길 43-3,02-490-7000
망우역사문화공원 제3주차장,0.0,서울 중랑구 망우동 94-1,1522-0659
면목유수지공영주차장,5.0,서울 중랑구 면목동 168-2,
로프트원태릉입구역오피스텔 주차장,0.0,서울 중랑구 동일로 952,
은행나무주차장,0.0,서울 중랑구 겸재로54가길 4,
망우역사문화공원 제2주차장,0.0,서울 중랑구 망우동 산 52-2,02-2094-6800
상록이지펠리스 주차장,2.0,서울 중랑구 망우로 316,
중랑초교 공영주차장,5.0,서울 중랑구 봉우재로6길 26,1577-3325
신내차량기지야구장 주차장,0.0,서울 중랑구 망우동 3-2,
신내역 주차장,5.0,서울 중랑구 용마산로136길 33,
명목그린유료주차장,0.0,서울 중랑구 면목동 115-2,
면목5동 공영주차장,0.0,서울 중랑구 면목동 162-22,
이노시티 주차장,0.0,서울 중랑구 망우로 353,
KTX망우역 주차장,5.0,서울 중랑구 망우로55길 11-10,
망우3동공영주차장,0.0,서울 중랑구 겸재로61길 40,
중랑캠핑숲 주차장,5.0,서울 중랑구 망우로87길 140,
중화동노상공영주차장,0.0,서울 중랑구 중화동 209-10,
맛솜씨노상공영주차장,1.0,서울 중랑구 망우동 536-9,
양원역주차장,5.0,서울 중랑구 송림길 147,
루체하임 주차장,0.0,서울 중랑구 상봉로23길 39,
망우 청소년수련관 주차장,0.0,서울 중랑구 망우동 241-9,
양원로역24 공영주차장,0.0,서울 중랑구 망우동 86-1,
면일초교 공영주차장,0.0,서울 중랑구 용마산로100길 13,
명성주차장,0.0,서울 중랑구 면목로 341,02-433-0005
금강빌딩 주차장,0.0,서울 중랑구 면목동 496-4,
칼튼테라스 주차장,0.0,서울 중랑구 공릉로2길 8-4,
"면목제3,8동주민센터 주차장",0.0,서울 중랑구 사가정로51길 48,
유료주차장,1.0,서울 중랑구 중화동 286-25,
