name,degree,address,tel
노티드 청담,3.8,서울 강남구 도산대로53길 15 1층,1800-6067
꽁티드툴레아 도산점,3.3,서울 강남구 도산대로49길 39 1층,070-8846-8490
알베르,3.1,서울 강남구 강남대로102길 34,02-566-6181
마일스톤커피,4.5,서울 강남구 논현로159길 49 1층,070-4219-1195
테라로사 포스코센터점,4.0,"서울 강남구 테헤란로 440 포스코센터 1,2층",033-648-2760
썸띵어바웃커피,3.6,서울 강남구 강남대로102길 30 1~3층,
카페413프로젝트,4.1,서울 강남구 논현로97길 19-11,070-7798-0544
기욤 청담점,3.4,서울 강남구 선릉로152길 17 1층 101호,02-512-6701
정월,3.4,서울 강남구 강남대로102길 46 1층,02-6013-0926
루프808,4.3,서울 강남구 강남대로 470 808타워 16층,02-3452-8088
가배도 신논현점,3.4,"서울 강남구 강남대로110길 13 2,3층",02-554-4542
카페캠프통,3.4,서울 강남구 압구정로42길 27,02-3445-0369
카페써드,3.9,서울 강남구 선릉로131길 11 1층,070-7773-4559
고센,2.8,서울 강남구 선릉로158길 18,02-515-1863
디올카페,3.9,서울 강남구 압구정로 464 하우스 오브 디올 5층,
테일러커피 신사점,4.3,서울 강남구 강남대로160길 31 1층,02-511-0355
세시셀라 도산공원점,3.8,서울 강남구 도산대로45길 10-4 삼경빌딩 1층,02-3448-7100
맷카페,4.0,서울 강남구 학동로50길 42 1층,070-7599-2212
10꼬르소꼬모카페,3.2,서울 강남구 압구정로 416 더트리니티빌딩 지하1층,
빌리엔젤 강남역점,3.0,서울 강남구 테헤란로1길 48 강남ELS빌딩 1층,070-5051-8135
껠끄쇼즈,4.0,서울 강남구 도곡로70길 5,
트리아농,3.6,서울 강남구 학동로59길 43,070-8129-5955
티하우스 청담,4.7,서울 강남구 삼성로120길 52-1 하랑빌딩 1층,010-2734-4109
미엘,3.3,서울 강남구 도산대로67길 13-12 퍼즐하우스 1층,02-512-2395
식물학,3.5,서울 강남구 강남대로154길 33 신사모던빌딩 1층 101호,02-518-0701
평화다방 강남역점,2.8,서울 강남구 강남대로94길 10 K스퀘어 2층,070-4801-1386
이디야커피랩,3.9,"서울 강남구 논현로 636 1,2층",02-545-6467
