name,degree,address,tel
어니언 미아,4.5,서울 강북구 솔매로50길 55 서울강북우체국 1층,070-7816-2714
무너미,,서울 강북구 노해로8가길 40 1층,02-903-5058
한옥카페 선운각,3.3,서울 강북구 삼양로173길 223,
미즐카페엠,3.3,서울 강북구 4.19로 107 1층,02-999-5055
카페산아래,3.5,서울 강북구 삼양로181길 56,
옥류헌릴렉스,3.4,서울 강북구 삼양로181길 142,02-993-1829
카페멘디,,서울 강북구 4.19로8길 7-2 1층,02-990-7832
백란,4.6,서울 강북구 삼양로181길 201-20,02-993-7745
노르웨이안우드,,"서울 강북구 도봉로87길 32-6 1,2층",02-999-3738
큐브이스케이프 수유점,4.3,서울 강북구 도봉로87길 11 2층,02-903-0706
스타벅스 강북구청사거리점,4.2,서울 강북구 도봉로 365,1522-3232
스타벅스 미아사거리역점,3.6,서울 강북구 도봉로 32,1522-3232
스타벅스 수유역점,3.9,서울 강북구 도봉로 342,1522-3232
다정도병인양,4.1,서울 강북구 4.19로 41-1 2층,02-990-4190
제이제곱,3.9,서울 강북구 도봉로10나길 17 1층,010-4883-4249
전광수커피하우스 북한산점,4.2,서울 강북구 4.19로 97 1층,02-991-0233
카페비르케,3.9,"서울 강북구 4.19로 43 1,2층",02-997-5841
카페 멘덜리,5.0,서울 강북구 수유로 18 1층,02-980-3721
스타벅스 미아뉴타운점,4.0,서울 강북구 삼양로 161 행전빌딩,1522-3232
커피타는고양이,2.2,서울 강북구 도봉로 34-8 10층,02-980-9080
스타벅스 미아역점,3.9,서울 강북구 도봉로 196 1층,1522-3232
투썸플레이스 수유사거리점,4.2,서울 강북구 도봉로 295 스타타워,02-900-2388
스타벅스 파라스파라서울점,4.5,서울 강북구 삼양로 689,1522-3232
할리스 수유사거리점,,서울 강북구 도봉로82길 11 2~4층,070-5226-1999
몽브루,2.4,서울 강북구 4.19로 105,02-904-1003
투썸플레이스 미아테라스파크점,3.1,서울 강북구 삼양로27길 43 테라스파크 2층 208~210호,02-985-2355
엔제리너스 수유역점,2.8,서울 강북구 도봉로 333,02-994-8556
아띠랑스,3.6,서울 강북구 4.19로 42-1 1층,
브라운헤이븐,4.6,서울 강북구 도봉로10라길 20 브라운헤이븐,02-6013-1978
에이머그,4.3,서울 강북구 노해로 21 1층,02-6953-2629
투썸플레이스 강북구청점,3.2,서울 강북구 한천로 1035 1층,02-6953-9227
제이스파크,2.9,서울 강북구 4.19로 93,02-990-3355
투썸플레이스 북서울꿈의숲점,2.1,서울 강북구 월계로 183 1층,02-542-7711
투썸플레이스 북한산우이역점,,서울 강북구 삼양로 685 B동,02-993-9173
구들리,4.0,서울 강북구 4.19로12길 65-7 1층,
벤투라커피로스터스,4.3,서울 강북구 도봉로10다길 7-1,070-8225-8075
엔제리너스 미아삼거리역점,3.4,서울 강북구 도봉로10나길 4,02-987-0047
라라브레드 수유점,4.8,서울 강북구 노해로14길 8 1층,
오동커피,5.0,서울 강북구 오현로21길 132 1층,0507-1352-9372
두눈,3.8,"서울 강북구 솔매로 131 1, 2층",
카페다담,4.4,서울 강북구 덕릉로 64 2층,010-9476-2098
꿈냥꿈냥,,서울 강북구 한천로139길 42 영남빌딩 2층 202호,010-4204-5085
탐앤탐스 덕성여대점,2.3,서울 강북구 삼양로 547 1~3층,02-900-2785
커피빈 강북구청앞점,4.4,"서울 강북구 한천로139길 25 1,2층",02-994-8878
이디야커피 북한산점,2.3,서울 강북구 4.19로 85 1층,02-998-5383
수유342,4.7,서울 강북구 삼양로113길 17 1층,02-908-3422
설빙 서울강북수유역점,3.6,"서울 강북구 오패산로 417 2,3층",02-999-2003
디저트카페낙타,4.8,서울 강북구 4.19로 53 1층,010-2442-6677
카페문나잇,,서울 강북구 솔매로50길 7 1층,070-4046-0915
카페홀리,4.3,서울 강북구 솔매로50길 69 정우빌딩 1층,02-982-7778
메가MGC커피 우이동점,,"서울 강북구 삼양로149길 10 다우에코빌 1, 2층",02-990-2476
탐앤탐스 수유역점,2.8,"서울 강북구 오패산로 416 2,3층",02-999-4565
선데이베이글,3.7,서울 강북구 한천로143길 12 1층,02-905-5666
드롭바이드롭,4.6,서울 강북구 도봉로68길 33,
메가MGC커피 미아역점,3.0,서울 강북구 도봉로 201-2 1층,02-988-9729
카페두두,3.3,서울 강북구 도봉로98길 56,02-900-2480
칩멍크,4.7,서울 강북구 삼양로98길 7 1층,010-7977-9289
메가MGC커피 수유역점,3.8,서울 강북구 오패산로 413 1층,02-992-2089
수유리조트,,"서울 강북구 노해로8가길 45 1, 2층",02-990-9882
투썸플레이스 4.19사거리점,4.5,서울 강북구 삼양로 513 1층,02-991-7053
빽다방 강북구청점,2.4,서울 강북구 도봉로87길 48 1층,02-991-9599
메가MGC커피 수유사거리점,3.0,서울 강북구 도봉로 289 1층,02-989-7748
공차 미아사거리점,2.7,서울 강북구 도봉로 52,02-6312-6213
이디야커피 우이역도선사점,4.5,서울 강북구 삼양로173길 21 1층,02-903-1800
메가MGC커피 수유점,2.1,서울 강북구 도봉로 379 1층,02-996-7103
디저트39 수유역점,4.0,서울 강북구 한천로140길 14,02-991-8551
우이163,4.6,서울 강북구 삼양로163나길 12 1층,02-420-3958
카페베네 미아사거리역점,2.6,서울 강북구 도봉로 67 1층,02-987-3900
유월보름,0.0,서울 강북구 도봉로29길 16 1층,010-9024-2672
모비딕 수유점,4.5,서울 강북구 도봉로 350 삼주빌딩 4층,02-981-4320
메가MGC커피 강북번동점,4.8,서울 강북구 한천로109가길 4 광덕빌딩 1층,02-980-9889
빽다방 가오리역점,4.1,서울 강북구 삼양로 433 1층,02-991-0037
메가MGC커피 미아수유시장점,2.3,서울 강북구 솔매로45길 95 1층,02-946-1238
자원순환 환장 제로웨이스트 샵 &카페,4.7,서울 강북구 인수봉로23길 37,010-9416-7015
메가MGC커피 미아솔샘점,3.3,서울 강북구 솔샘로 315 대오빌딩 1층,02-988-8748
어셈블,4.7,서울 강북구 한천로 1007 1층,010-5299-2813
빈세앙,4.6,서울 강북구 오패산로 405 1층,070-8805-0615
헤미카페,2.4,"서울 강북구 4.19로 70 1,2층",
이디야커피 수유역점,,서울 강북구 도봉로 355,02-995-4576
할리스 미아역점,,"서울 강북구 도봉로 203 1,2층",070-7799-7374
베이스캠프,4.7,서울 강북구 삼양로173길 98,02-999-9943
엔제리너스 북한산D/I점,2.3,서울 강북구 4.19로 64,02-995-0965
공차 수유역점,4.2,서울 강북구 도봉로87길 7 1층,02-6080-7527
팬시베이글 미아점,5.0,서울 강북구 오현로 35 1층 101호,010-9829-3463
블랙다운커피,4.7,서울 강북구 삼양로 528-1 1층,02-6338-0606
댕스데이,5.0,서울 강북구 노해로8길 29 현대크리스탈 3층 301호,0507-1333-9812
마을찻집 마주이야기,4.9,서울 강북구 인수봉로55길 10 2층,070-8615-6011
할아버지카페,5.0,서울 강북구 삼양로173길 40 1층,02-999-0369
칠복상회,4.8,서울 강북구 한천로139가길 15 1층,02-999-4889
일렉트,4.4,서울 강북구 한천로139나길 14-17 2층 카페일렉트,010-7155-7697
봉봉키즈 강북점,0.0,서울 강북구 삼양로27길 80 두산위브트레지움 2단지 상가 112호,0507-1427-0381
파라스파라 델리,4.3,서울 강북구 삼양로 689 파라스파라 서울 라운드동 지하 1층,02-3408-5060
킵,5.0,서울 강북구 삼각산로 76 1층,010-5813-0094
베어링,5.0,서울 강북구 오현로 175 1층,02-6105-0133
미아커피,3.7,서울 강북구 솔매로 91,
포레스트커피앤펍,4.8,서울 강북구 삼양로181길 196,
메가MGC커피 미아영훈초점,4.1,서울 강북구 숭인로 39 송천센트레빌 111호,02-988-2340
이디야커피 미아중앙점,2.2,서울 강북구 도봉로 128 1층,02-986-8959
이디야커피 수유사거리점,2.5,서울 강북구 덕릉로 82 제네스타워 1층,02-984-9640
메가MGC커피 419사거리점,3.9,서울 강북구 삼양로 510 1층,02-900-1288
빽다방 수유시장점,3.8,서울 강북구 도봉로67길 8 1층 101호,02-989-3122
메가MGC커피 강북시장점,4.1,서울 강북구 한천로 1059-1 1층,02-908-2325
카페브러리,4.8,서울 강북구 오패산로77길 8,
메가MGC커피 수유중앙점,4.0,서울 강북구 삼양로 308 진주빌딩 1층,02-983-9080
