name,degree,address,tel
카페우드진,4.0,서울 강서구 마곡중앙6로 45 리더스퀘어마곡 1층 113호,02-6052-0116
고양이정원,2.7,서울 강서구 개화동로19길 18 1층,02-2665-4507
고양이똥 브런치,,서울 강서구 공항대로59가길 13,02-6013-1281
어나더사이드,3.3,서울 강서구 강서로 318 1층,02-3665-9877
브루클린커피,4.0,서울 강서구 강서로52길 16 1층,02-3664-5595
광화문살롱,3.2,"서울 강서구 공항대로45길 63 1층 105,106호",02-2668-3966
헤리스헤이스,,서울 강서구 마곡동로3길 26 1층 103호,010-8962-9532
스타벅스 마곡나루역점,4.0,서울 강서구 마곡중앙로 161-17,1522-3232
스타벅스 화곡DT점,3.8,서울 강서구 등촌로 57,1522-3232
스타벅스 방화DT,3.8,서울 강서구 방화대로 375,1522-3232
구도커피,4.6,"서울 강서구 등촌로35길 121 1,2층",02-6348-2460
스타벅스 마곡사이언스타워R,3.7,서울 강서구 마곡동로 62,1522-3232
고양이똥 3호점,3.8,서울 강서구 공항대로45길 30 1층,02-2694-0285
인라이크,4.5,서울 강서구 양천로30길 103 화성빌딩 1층 103호,070-7789-3344
빌리엔젤 마곡역점,3.6,"서울 강서구 마곡중앙로 56 1,2층",02-2664-3230
스타벅스 김포공항DT점,4.3,서울 강서구 개화동로 517,1522-3232
투썸플레이스 강서구청점,4.5,"서울 강서구 화곡로 347 그랜드아이파크 1,2층 115,116, 209,210호",02-2699-3948
카페움플레이트,4.3,서울 강서구 마곡중앙1로 72 마곡엠밸리10단지 1014동 상가1층 101호,02-2662-5881
스타벅스 발산역점,3.8,서울 강서구 강서로 388 그랜드백화점 3동 1층,1522-3232
밀화당 강서직영점,3.6,서울 강서구 공항대로 236 1층,02-2666-5556
맥켄지커피 까치산역점,4.2,서울 강서구 강서로 47-6 1층,
비엔나커피하우스 마곡나루역점,3.2,서울 강서구 마곡중앙5로1길 20 219호,02-2093-6575
스타벅스 가양역점,3.7,서울 강서구 양천로 476,1522-3232
루트205,4.8,"서울 강서구 남부순환로 205 1,2층",
