name,degree,address,tel
디자이너리카페,3.9,서울 관악구 관천로 71-1 4층,02-868-7112
사생활 신림점,3.6,서울 관악구 신사로14길 19 지하1층,070-5033-7759
폼앤노말,4.1,서울 관악구 신림로67길 25 1층,010-4053-1124
온고지신,3.6,"서울 관악구 관악로14길 101 1, 2층",02-6338-5977
고로커피로스터스,4.3,서울 관악구 남부순환로231길 33 1층,
카페폴,4.0,서울 관악구 남부순환로234길 43 1층,070-8100-9091
황홀경,3.7,서울 관악구 관악로14길 37 지하1층,02-6449-7362
소디스 에스프레소바 샤로수길,4.2,서울 관악구 남부순환로230길 45 1층 101호,02-6084-0061
데이즈앤데이즈,3.0,서울 관악구 시흥대로 578 광안빌딩 2층,02-869-0077
발루토,3.4,서울 관악구 신림로23길 28 1~3층,02-875-1155
비엔나커피하우스 신림점,3.9,서울 관악구 신림로 363 1~3층,02-875-1683
티라노커피,4.3,서울 관악구 남부순환로230길 39,
메이지커피,4.6,서울 관악구 난곡로 363-1 2층,02-6326-5188
스타벅스 사당점,3.4,"서울 관악구 남부순환로 2082-25 1,2층",1522-3232
데일리오아시스 샤로수길점,,서울 관악구 관악로14길 74-3 1층,070-7739-8282
테이블1629,3.6,"서울 관악구 장군봉2길 32 1,2층",02-883-1629
뉴욕택시디저트,4.7,서울 관악구 남부순환로 1870 1층,070-8711-1013
인투커피,4.1,서울 관악구 난곡로 331,02-6083-1170
스타벅스 신림DT점,3.5,서울 관악구 남부순환로 1419,1522-3232
커피볶는여자,4.0,서울 관악구 관악로14가길 2 1층,
카페녹다,4.1,서울 관악구 신림로15길 31 1층,02-6082-8252
투썸플레이스 사당역남현점,2.0,서울 관악구 남부순환로 2082-33 성광빌딩 1층,02-581-7767
스타벅스 낙성대DT점,3.6,서울 관악구 남부순환로 1948,1522-3232
카페프레임,3.8,서울 관악구 관악로14길 94 지하1층,070-8080-1214
궁전다방,4.8,서울 관악구 남부순환로 1500 1층,
스타벅스 관악서울대입구R점,4.0,서울 관악구 관악로 158 BS타워 1층,1522-3232
스타벅스 서울대입구역점,4.3,서울 관악구 남부순환로 1812,1522-3232
스타벅스 신림타임스트림점,4.2,서울 관악구 신림로 330 타임스트림 1층 101호,1522-3232
카페보니또 사당점,3.8,서울 관악구 남부순환로 2032 1층,02-584-0011
스타벅스 신림점,4.0,서울 관악구 신림로 355-1,1522-3232
마티스커피 신림점,4.1,서울 관악구 신림로59길 15-6 2층,02-884-6321
보스커피&브런치,4.4,서울 관악구 봉천로33길 7 1층,02-872-8345
아모르미오,3.9,서울 관악구 행운2길 20 1층,070-4306-5006
나에게오는길,,서울 관악구 관악로14길 82 2층,010-6831-0423
달다어요,4.0,서울 관악구 신림로68길 38 1층,
투썸플레이스 신림역점,2.5,서울 관악구 신림로 350 서원프라자 1층,02-882-7873
책읽는고양이,4.0,서울 관악구 은천로 109 한독빌딩 7층,02-876-5397
카페 아래로,,서울 관악구 난곡로10길 10 1~3층,
옐로우버터드림,4.1,서울 관악구 관악로14나길 10 2층,02-876-5533
설빙 신림점,2.3,서울 관악구 남부순환로 1598 2층,02-879-2080
혼자두면장판뜯어서차린개카페,,서울 관악구 남부순환로 1665 3층,02-887-3058
스타벅스 낙성대역점,4.3,"서울 관악구 남부순환로 1908 대원기업빌딩 1,2층",1522-3232
LOVE낚시카페 본점,4.9,서울 관악구 봉천로 421 지하 1층,02-883-2181
넥스트에디션 신림점,3.2,서울 관악구 남부순환로 1598 지하1층,02-882-3775
팀홀튼 서울대입구역점,3.2,서울 관악구 남부순환로 1805 1층,
서라당,4.7,서울 관악구 신사로 120-1 1층,0507-1323-9638
카페여기,3.3,서울 관악구 호암로22길 31 1층,02-882-5945
도노텀블 보라매점,3.9,서울 관악구 보라매로 15-8,02-885-3377
