name,degree,address,tel
도우터,4.2,서울 광진구 아차산로31길 40 1층,02-464-0559
체리커피,3.7,서울 광진구 능동로 284 1층 체리커피,02-444-7222
뚝방길홍차가게,4.4,서울 광진구 자양강변길 277 1층,02-512-0189
더이퀼리브리엄커피,4.3,서울 광진구 아차산로30길 7 3층,010-5255-6073
아르무아,3.8,"서울 광진구 동일로22길 117-27 1,2층",02-463-9981
헤르츠커피로스팅,4.6,서울 광진구 능동로 334 경남빌딩 1층,010-3312-9952
비에이치테이블,4.6,서울 광진구 아차산로45길 16 1층,
도쿄빙수 건대직영점,4.1,서울 광진구 아차산로31길 45 1층 101호,02-466-2012
시드누아 중곡센터점,3.4,서울 광진구 천호대로127길 44,02-446-8115
카페히릿,3.4,서울 광진구 광나루로 404 3층,070-8870-4442
보난자커피 군자점,3.2,서울 광진구 능동로 239-1 B동 1층,070-4110-3113
넥스트에디션 건대2호점,3.7,"서울 광진구 아차산로 192 별관 2,3층",0507-417-8580
카페호이 자양점,4.1,"서울 광진구 동일로20길 80 1,2층",02-466-8158
옥루몽 어린이대공원점,4.3,서울 광진구 능동로 183 1층,02-466-9700
아오스요거트,4.1,서울 광진구 능동로 153 1층,070-8111-9451
건대커피랩,4.5,서울 광진구 동일로22길 102,02-497-7725
마우스래빗,3.8,서울 광진구 능동로11길 10,02-462-4015
스타벅스 군자역점,3.5,서울 광진구 천호대로 548,1522-3232
스타벅스 구의DT,4.6,서울 광진구 광나루로 519,1522-3232
해피니스디저트 건대점,4.0,서울 광진구 아차산로30길 31 1층,010-4295-2600
꼬메노,4.7,서울 광진구 군자로7길 29,02-468-5177
카페레디언트,3.7,서울 광진구 능동로38길 41 101호,02-2201-0204
라운드브릭,4.6,서울 광진구 광장로 67 1층,
스타벅스 건대입구점,4.4,서울 광진구 능동로 107,1522-3232
랑데자뷰 건대점,2.8,서울 광진구 아차산로31길 3,070-7718-3088
미어캣족장,3.2,서울 광진구 동일로20길 72 3층,
밀피,3.3,"서울 광진구 동일로22길 117-15 1,2층",
엑스케이프,2.8,서울 광진구 동일로 112 지하1층,02-463-9366
설빙 서울건대지점,2.9,서울 광진구 아차산로 225 단산화빌딩 2층,02-499-5385
그리네,,서울 광진구 군자로 139 1층,
커피마켓,2.8,서울 광진구 아차산로33길 60,02-463-8009
스타벅스 어린이대공원역,3.8,서울 광진구 능동로 243,1522-3232
스타벅스 아차산역,3.2,서울 광진구 천호대로 676,1522-3232
플라이팬커피,4.3,서울 광진구 능동로3길 14,
안다미로 팬케이크 건대점,3.6,서울 광진구 아차산로25길 8 2층,02-6405-7773
스타벅스 광나루점,3.8,"서울 광진구 아차산로 607 1,2층",1522-3232
솔버 건대1호점,4.3,서울 광진구 아차산로 201 지하1층,02-498-3737
스타벅스 올림픽대교북단점,4.3,서울 광진구 광나루로 608 1층,1522-3232
투썸플레이스 건대입구점,1.6,"서울 광진구 능동로13길 5 1,2층",02-461-2234
델트,4.5,서울 광진구 광나루로54길 83 1층 102호,0507-1355-4461
케익다방,2.3,서울 광진구 동일로20길 83 2층,02-468-0607
커피베리,3.7,서울 광진구 구의동 3-11,070-5228-1663
천계월,4.4,서울 광진구 자양로42길 20 1층,
스타벅스 구의역,3.1,서울 광진구 아차산로 373,1522-3232
탐앤탐스 탐스커버리건대점,2.6,서울 광진구 아차산로 236 1~4층,02-465-4565
면곡당,4.0,서울 광진구 면목로17길 24 1층,010-3808-1743
따우전드,4.1,서울 광진구 면목로7길 8 1층,070-8807-8307
스타벅스 자양사거리점,3.9,서울 광진구 아차산로 355 타워 더 모스트 아크로텔 1층,1522-3232
최가회관,4.1,서울 광진구 능동로13길 30 지하1층,02-465-7998
