name,degree,address,tel
페니힐스,4.0,"서울 동작구 동작대로1길 10-14 1,2층",
세녹,2.6,서울 동작구 사당로 304,02-597-8001
카페퍼블리코,,"서울 동작구 상도로 47 헬로우빌딩 A동 1,2층",02-815-4000
프레임676,3.8,서울 동작구 시흥대로 676 1층,070-8807-6046
머치커피,4.5,서울 동작구 동작대로9길 43 1층,0507-1320-2726
뚜스뚜스 흑석역점,3.1,서울 동작구 현충로 75 1층,02-3664-9000
도쿄빙수 이수점,3.9,"서울 동작구 동작대로27길 38 1층 103,104호",02-3482-0503
디피스트,4.4,서울 동작구 동작대로27길 31 2층,
터방내,4.4,서울 동작구 흑석로 101-7,02-813-4434
스타벅스 노량진역점,3.6,서울 동작구 노량진로 134,1522-3232
더한강,,"서울 동작구 노량진로32길 29-6 1,2층",0507-179-4144
스타벅스 사당역점,4.4,서울 동작구 동작대로 21 양지빌딩 1~3층,1522-3232
스타벅스 보라매공원R점,4.2,서울 동작구 보라매로5길 35,1522-3232
카멜커피 11호점,3.5,"서울 동작구 양녕로36길 12 1,2층",010-939-1895
미학당,4.7,서울 동작구 사당로 56 2층,02-816-0301
도어이스케이프 이수역점,4.0,서울 동작구 동작대로27가길 14 3층,02-534-9745
카페좋아진다,4.6,서울 동작구 사당로26길 87 1층,02-812-0222
프랑세즈,4.5,서울 동작구 현충로 96,
클라소피,4.1,서울 동작구 여의대방로22길 94 1층 101호,0507-1406-0987
파니모들,,서울 동작구 동작대로 153 1층,070-7607-8252
프로스퍼,3.0,"서울 동작구 여의대방로24길 101 지하1층, 1층",
스타벅스 신대방삼거리역점,3.4,"서울 동작구 상도로 102 성대쇼핑센타 1,2층",1522-3232
커피나무 랩,4.4,서울 동작구 상도로53길 65 커피나무빌딩 1층,02-824-1391
릿잇커피,4.7,서울 동작구 상도로47바길 48 1층,070-8866-4344
37.5 동작이수점,3.3,서울 동작구 동작대로27가길 23 이오빌딩 2층,02-595-3705
갤러리카페오누이,4.3,서울 동작구 시흥대로 676,02-833-6046
더디저트랩,4.5,서울 동작구 장승배기로10길 100 상도더샵 2차 상가1층,010-4495-0890
스타벅스 노량진동점,3.9,서울 동작구 노량진로 190 고려교육타워 어바니엘한강 101~105호,1522-3232
스타벅스 숭실대입구역점,3.9,서울 동작구 상도로 354,1522-3232
스타벅스 이수자이점,3.7,서울 동작구 사당로 300,1522-3232
밍구네다방,3.5,서울 동작구 노량진로 132 2층,02-812-3935
스타벅스 중앙대점,3.8,서울 동작구 흑석로 75-1,1522-3232
스타벅스 숭실대점,4.3,서울 동작구 사당로 4,1522-3232
스타벅스 상도역점,3.7,서울 동작구 상도로37길 1,1522-3232
투썸플레이스 신대방삼거리점,3.8,서울 동작구 국사봉1길 32 1층,02-6959-8888
엔제리너스 이수역점,3.0,"서울 동작구 동작대로25길 16 지하1층, 1,2층",02-595-7619
더빈마켓,4.4,서울 동작구 여의대방로24길 65 1층,02-823-0388
케이크팝,4.0,"서울 동작구 사당로 28 1,2층",02-825-8799
블랙모티브 사당역점,3.7,서울 동작구 동작대로7길 48 새한빌딩 1층,02-6085-0405
투썸플레이스 노량진점,1.4,서울 동작구 노량진로 174 1층,02-821-2388
오후홍콩 중앙대본점,4.2,서울 동작구 흑석로13가길 29,02-6398-6787
핑크핑영화룸카페,3.7,서울 동작구 동작대로27길 5 지안프라자 B동 4층,
도로도로커피숍 노량진점,4.0,서울 동작구 노량진로 145,02-6406-7026
설빙 노량진점,3.6,서울 동작구 노량진로 144 2층,02-825-1844
H플레이스카페,4.2,서울 동작구 여의대방로36길 10 1층,
헤븐리가든,4.2,서울 동작구 상도로34길 11 1층,070-7677-9647
카페알코브,4.6,서울 동작구 대방동1길 12 1층,02-6409-9870
청맥살롱,4.6,서울 동작구 서달로 161-1 2층,02-822-1605
스타벅스 남성역점,4.2,서울 동작구 사당로 219,
달콤쌉싸롱,4.3,서울 동작구 노량진로12길 12-4,
일상다반사,4.2,서울 동작구 동작대로25길 60-1 1층,
설빙 보라매점,3.3,서울 동작구 보라매로3길 29 해태보라매타워 2층,02-831-6117
투썸플레이스 숭실대점,,"서울 동작구 사당로 36-1 1,2층",010-8425-0246
설빙 이수역점,3.5,서울 동작구 동작대로27가길 12 2층,070-4255-7575
케이크무드,4.4,서울 동작구 상도로15길 45 1층,010-3774-3524
파세로,4.6,서울 동작구 여의대방로24나길 10-2 1층,010-2883-2985
두젠틀,3.4,서울 동작구 상도로 217-4 한울빌딩 지하1층,02-6014-2120
할리스 이수역점,,서울 동작구 동작대로 83 헤라피스빌딩 1층,02-588-4845
브루클린커피,3.9,서울 동작구 노량진로 26,
카페하나,4.0,서울 동작구 시흥대로 596,02-833-6521
세라젬웰카페 서울상도점,4.7,서울 동작구 상도로 176 1층,02-6949-4325
떡붕,,서울 동작구 동작대로29길 57 1층,02-534-7427
투썸플레이스 이수역점,2.8,"서울 동작구 동작대로27길 28 2,3층",02-534-1230
코랄밸리,4.8,서울 동작구 국사봉1길 62 1층,010-9447-2282
더머커피,4.8,서울 동작구 보라매로 91 1층,02-3280-1203
뚱보롱,4.9,서울 동작구 사당로17길 9 1층,010-4684-3210
모든것은당근케이크에서시작됐다,3.8,서울 동작구 만양로 65-1 102호,070-8282-3032
24시 무인카페 만월경 상도점,5.0,"서울 동작구 상도로54길 38 1,2층",010-7512-0519
만화카페쉼표,4.4,서울 동작구 사당로 295 지하1층,
투썸플레이스 보라매삼성쉐르빌점,3.1,서울 동작구 보라매로5길 43 보라매삼성쉐르빌 1층 121호,02-832-2388
웰컴,3.8,서울 동작구 성대로29길 50 1층,010-6322-4854
미스터힐링 노량진점,3.7,서울 동작구 만양로 98,02-814-5400
공미학루프 앤테라스 상도점,2.5,서울 동작구 양녕로 274,02-822-1628
커피나무 상도역점,3.5,서울 동작구 상도로 297-1 1층,02-816-1391
리앤홍,4.8,서울 동작구 서달로14길 18 2층,02-815-4132
할리스 중앙대점,3.9,서울 동작구 흑석로 77 1~4층,02-3280-3280
공차 노량진학원가점,3.6,서울 동작구 노량진로16길 16 청암빌딩 1층,02-822-4309
몽소,4.2,서울 동작구 상도로 65 금성빌딩 1층,
상도가든,4.0,서울 동작구 양녕로 220,02-3280-5314
할리스 노량진역점,2.1,서울 동작구 노량진로 157 2~5층,02-827-0280
카페니토,4.9,서울 동작구 상도로15길 105,
메가MGC커피 노량진점,2.5,서울 동작구 노량진로16길 14 1층,02-821-2017
나귀와플라타너스,5.0,서울 동작구 흑석로 101-3 3층,02-815-0915
엔제리너스 노량진점,3.8,서울 동작구 노량진로 154-1,02-812-0829
흑석커피,4.8,서울 동작구 서달로14가길 5 1층,02-3280-9267
메가MGC커피 이수역점,2.3,서울 동작구 동작대로 89 골든시네마타워 1층 104호,02-525-1126
엘에스와이랩,4.9,서울 동작구 노량진로 250 1층,02-814-0916
백미당 서송타워점,3.3,서울 동작구 동작대로 137 1층,02-593-1964
마이트커피,4.5,서울 동작구 사당로 159 1층,0507-1439-0276
초록상어,4.6,서울 동작구 상도로26길 14 1층,
메가MGC커피 상도중앙점,,서울 동작구 만양로 14 1층,02-813-1053
베리굳베이글 이수점,4.0,서울 동작구 동작대로 187 1층,
잔디속에있다고상상을해,,서울 동작구 상도로 265-30 2층,0507-1326-1809
이디야커피 사당점,4.3,서울 동작구 동작대로 45 1층,02-587-9105
이디야커피 총신대입구역점,2.9,서울 동작구 동작대로 119-1 2층,02-533-0274
할리스 대방역점,,"서울 동작구 알마타길 6 파밀리에 하늘마루 101, 102호",02-825-6369
와플러버,5.0,서울 동작구 흑석로 27 2층,070-4325-0216
메가MGC커피 중앙대점,4.0,"서울 동작구 흑석로 103 1,2층",02-815-7770
카페숨,5.0,서울 동작구 상도로 329 지하1층,
카페우야우,5.0,서울 동작구 사당로28길 63 1층 101호,010-5096-7543
단골커피,4.6,서울 동작구 등용로14길 61 1층,
컴포즈커피 노량진점,3.5,서울 동작구 노량진로16길 22 1층,
빽다방 노량진학원점,2.8,서울 동작구 만양로 94-2 1층,02-811-7737
컴포즈커피 동작도서관점,5.0,서울 동작구 장승배기로 98 1층 102호,070-4193-9911
토크넌센스,4.0,서울 동작구 흑석로8길 7 지층,010-9604-9095
젠카페,4.7,서울 동작구 양녕로26길 49 1층,
이디야커피 사당역점,4.4,서울 동작구 동작대로7길 100 1층,02-521-6282
메가MGC커피 상도해링턴플레이스점,2.3,"서울 동작구 상도로 207 근생시설동 지하 2층 B208, B213호",02-3280-3286
커피나무 숭실대점,3.8,서울 동작구 상도로61길 65 1층 1호,02-6958-6850
이디야커피 노들점,3.8,서울 동작구 노량진로 200 1층,02-3280-3777
멜로드,5.0,서울 동작구 상도로49길 7 1층 카페 멜로드,070-8628-3955
썸머스테어,3.8,서울 동작구 사당로 305 3층,010-4822-2265
커피나무 노량진학원점,3.5,서울 동작구 만양로14길 44,02-3280-2225
