name,degree,address,tel
어반플랜트 합정,4.2,서울 마포구 독막로4길 3 1~3층,070-4192-0378
프릳츠 도화점,3.9,서울 마포구 새창로2길 17,02-3275-2045
피오니 홍대점,3.8,서울 마포구 독막로7길 51 1층,02-333-5325
카페공명 연남점,4.0,서울 마포구 연희로 11 한국특허정보원빌딩 1층,070-8869-6304
943킹스크로스,4.1,"서울 마포구 양화로16길 24 지하1층, 1~4층",
비파티세리 공덕점,4.2,서울 마포구 마포대로14길 4 1층,02-702-1220
앤트러사이트 서교점,3.6,서울 마포구 월드컵로12길 11,02-336-7650
앤트러사이트 합정점,3.6,서울 마포구 토정로5길 10,02-336-7850
커피리브레 연남점,3.8,"서울 마포구 성미산로32길 20-5 1,2층",02-334-0615
포비 합정점,3.7,서울 마포구 양화로3길 66 1층,02-566-3861
카페레이어드 연남점,,"서울 마포구 성미산로 161-4 1,2층",116
땡스네이쳐,4.2,서울 마포구 홍익로 10 푸르지오상가 지하1층 121호,02-332-7470
빈브라더스 합정,4.3,서울 마포구 토정로 35-1,02-6012-2001
빌리프커피로스터스,3.5,"서울 마포구 양화로11길 50 해동빌딩 지하1층,1층",02-332-3100
콜린,3.8,"서울 마포구 어울마당로 45 1,2층",02-3141-1119
딥블루레이크,4.0,서울 마포구 포은로6길 11,02-333-8532
디벙크,4.0,서울 마포구 성지1길 30 더보이드빌딩 지하1층,02-6930-5598
작당모의,,"서울 마포구 동교로32길 19 1층 101,102호",070-8838-3815
이미커피,4.3,서울 마포구 동교로25길 7 1층,02-6368-5228
당인리책발전소,3.8,"서울 마포구 월드컵로14길 10-8 지하층 ,1층",
모멘트커피,3.4,서울 마포구 월드컵북로4길 29 1층,070-8860-5287
콩카페 연남점,3.6,서울 마포구 성미산로 161-14 1층,070-4131-0333
땡스오트 연남,4.3,서울 마포구 성미산로23길 68,02-3144-0890
17도씨,4.1,서울 마포구 양화로19길 22-16 유티엘동교빌딩 1층,02-337-1706
테일러커피 연남1호점,3.9,서울 마포구 성미산로 189 1층,02-326-0355
브런치가,2.9,"서울 마포구 월드컵북로4길 39 1,2층",02-735-0263
비포블루밍,4.0,서울 마포구 양화로23길 28,
키쉬미뇽,3.3,서울 마포구 양화로6길 35,02-333-3466
그레이랩,4.0,서울 마포구 토정로3길 16,02-333-5694
아이엠베이글 공덕점,4.4,서울 마포구 백범로 152 공덕파크자이 근린생활시설 101동 1층 15호,070-7718-2881
공상온도,4.0,서울 마포구 동교로23길 40 지하 1층,02-336-0247
얼스어스,3.4,서울 마포구 성미산로 150 지하1층,
제비다방,4.4,서울 마포구 와우산로 24,02-325-1969
1984,3.5,서울 마포구 동교로 194 혜원빌딩 1층,02-325-1984
시루케이크,4.5,서울 마포구 어울마당로1길 18 1층,070-4177-7700
버터밀크,4.0,서울 마포구 와우산로 130 1층,
오랑지,4.5,서울 마포구 동교로38길 13 2층,
미어캣프랜즈,2.5,서울 마포구 와우산로21길 20 2층,010-6250-4683
달콤한거짓말,4.4,서울 마포구 독막로 61-4,02-3141-3338
비로소커피,3.9,서울 마포구 광성로6길 42 1층,02-712-9030
비트포비아 홍대던전점,3.4,서울 마포구 독막로3길 30 지하2층,02-322-4997
스탠스커피,4.2,서울 마포구 와우산로11길 9 1층 101호,02-323-7500
커피폴리,3.5,서울 마포구 양화로11길 14 1층,
82년생김민경X카페르세,3.9,서울 마포구 매봉산로 80 파크엠 1층 15호,0507-1333-1982
퍼셉션 (Perception),4.3,서울 마포구 어울마당로1길 16 1층,0507-1320-1086
무대륙,3.8,서울 마포구 토정로5길 12,02-332-8333
네시사분,4.4,서울 마포구 성미산로 190-8 1층,02-6405-3877
밤부베이커리&브루잉,3.5,서울 마포구 월드컵로5길 33-23,02-3144-0446
라헬의부엌 홍대점,,"서울 마포구 와우산로29길 47 1,2층",02-332-4325
딥커피,3.3,서울 마포구 동교로 209,02-323-2979
커피가게동경,3.8,서울 마포구 망원로6길 21 지하층,070-4845-0619
산리오러버스클럽,3.9,"서울 마포구 와우산로19길 18 가동 1,2층",
톤앤매너,,서울 마포구 와우산로29가길 13 1층,02-332-8252
W카페,2.4,서울 마포구 동교로25길 16,070-7818-7953
카페공명 홍대점,4.1,"서울 마포구 와우산로17길 11-8 1, 2, 3층",070-8870-6304
밀로커피로스터스,4.1,서울 마포구 양화로18안길 36 1층,02-554-3916
카페 지금여기,4.0,서울 마포구 양화로16길 30-5 3층,070-8803-2112
그로토,4.0,서울 마포구 새창로4길 9 지하1층,02-702-4196
광합성카페,4.0,서울 마포구 월드컵로19길 8 1층,02-333-6933
카페스콘,4.0,서울 마포구 성미산로 172 1층,02-323-7076
서울이스케이프룸 홍대2호점,3.4,서울 마포구 와우산로17길 11 코스모스빌딩 3층,02-333-6502
스트라다로스터스,4.6,서울 마포구 월드컵로3길 14 마포한강2차푸르지오 230호,02-336-0146
샌드커피 논탄토,3.5,서울 마포구 동교로 212-16 1층,02-336-8020
대충유원지,4.1,서울 마포구 월드컵북로6길 37 1층,070-4799-5640
