name,degree,address,tel
어니언 성수,3.5,"서울 성동구 아차산로9길 8 1,2층",070-4353-3238
대림창고,3.1,서울 성동구 성수이로 78,02-499-9669
할아버지공장,3.3,"서울 성동구 성수이로7가길 9 1,2층",010-3934-2301
쎈느,3.8,"서울 성동구 연무장5길 20 1,2층",02-469-2122
로우키,4.3,서울 성동구 연무장3길 6 1층,070-8824-2010
인더매스 마장,4.3,서울 성동구 마장로 270 1층,02-6084-8996
센터커피 서울숲점,3.8,서울 성동구 서울숲2길 28-11 1층,070-8868-2008
로우커피스탠드,4.5,서울 성동구 왕십리로4길 28-2 1층,010-4334-2387
마를리,3.5,서울 성동구 연무장길 47 홍원빌딩 1층,02-467-0303
카페포제,3.5,서울 성동구 연무장9길 7 1층,070-8830-5994
옹근달,2.3,"서울 성동구 성수이로7길 41-1 1, 2층",02-499-5012
치카성수,4.4,서울 성동구 뚝섬로1가길 14 1층,02-498-3478
아우프글렛 금호점,3.4,서울 성동구 독서당로51길 7 1층,
도렐 성수점,2.8,서울 성동구 연무장7길 11 1층,02-465-3675
블루보틀 성수카페,3.2,서울 성동구 아차산로 7,1533-6906
5TO7,3.9,"서울 성동구 서울숲2길 44-13 1,2층",0507-1333-7616
갈십리,3.8,"서울 성동구 마조로 15-11 1,2층",010-8698-3000
레인리포트 크루아상,4.0,"서울 성동구 성수이로16길 32 1,2층",0507-1373-1322
카멜 성수점,3.4,서울 성동구 성덕정19길 6,
카페&펍 연무장,3.6,서울 성동구 연무장길 36 8층,
어라운드데이,4.4,서울 성동구 서울숲2길 24-1,0507-1431-8310
브레디포스트 성수,4.3,"서울 성동구 상원1길 5 1,2층 201호",0507-1442-2058
서울앵무새 성수본점,2.6,서울 성동구 서울숲9길 3 지하1 ~ 2층,070-8846-2025
체다앤올리,3.3,서울 성동구 서울숲2길 32-14 1층,02-468-1003
슈퍼말차 성수,3.8,서울 성동구 서울숲6길 19 1층,070-4632-3882
훔볼트,3.8,"서울 성동구 성수이로 58 P타워 지하 1층, 1, 2층",
뜨아아아커피집,4.0,서울 성동구 고산자로12길 1-1,
오우드 성수1호점,4.4,서울 성동구 연무장길 101-1 B동 1층,070-8844-0196
하루앤원데이,3.9,서울 성동구 아차산로 92 광명타워 1층 103호,02-499-9303
글로우,3.6,서울 성동구 아차산로9길 20 1층,
커피오스,4.7,서울 성동구 성수일로4길 31-1 1층,02-468-7140
업사이드커피 뚝섬점,4.5,서울 성동구 왕십리로14길 19-1 1층,
브루잉세레모니,4.5,서울 성동구 연무장5가길 22-1 1층,
천상가옥,3.6,서울 성동구 성수이로14길 14 3층,
피치스 도원,3.3,서울 성동구 연무장3길 9 1층,02-468-7719
RSG,4.0,"서울 성동구 연무장15길 11 에스팩토리 C동 1층 109,110호",
누데이크 성수,3.4,서울 성동구 성수이로7길 26 1층,070-4128-4408
프롬하츠커피 성동구청점,3.1,서울 성동구 고산자로 253 다남매타워 1층,0507-1317-1152
메쉬커피,3.6,서울 성동구 서울숲길 43,02-464-7078
플디 성수점,,서울 성동구 상원길 44 2층,
스타벅스 성수역점,3.6,서울 성동구 성수이로 94,1522-3232
봉순이네다락방,3.7,서울 성동구 왕십리로21길 13-1 지하1~2층,02-2299-8057
파머스카페,4.1,서울 성동구 왕십리로6길 11 1층,02-464-4222
베통 성수,4.9,서울 성동구 연무장7가길 8,02-499-1112
모리티아,3.3,서울 성동구 아차산로5길 10 1층,02-460-8733
피어커피 성수,4.4,서울 성동구 광나루로4가길 24 1층,02-474-1464
나인헤르츠,3.3,"서울 성동구 왕십리로 285 1,2층",
테디스오븐,3.8,서울 성동구 서울숲2길 43 1층,
아이오쓰리 성수사거리점,4.4,서울 성동구 성수이로20길 60 1층,02-497-1961
비엔나커피하우스 서울숲역점,3.9,서울 성동구 왕십리로 66 1층,070-4628-5049
스타벅스 서울숲역,3.5,서울 성동구 왕십리로 50 메가박스 스퀘어 1층,1522-3232
스타벅스 왕십리역,3.9,서울 성동구 왕십리로 326,1522-3232
