name,degree,address,tel
메이비,3.0,서울 구로구 디지털로32나길 51,02-859-3073
에버애프터,4.0,서울 구로구 새말로18길 36-10 지층,070-7543-1098
디저트샵시소,4.8,서울 구로구 천왕로 29 상가동 1층 101호,010-8372-8487
빈브라더스 현대백화점디큐브시티,3.9,서울 구로구 경인로 662 별관 3층,02-2210-9351
9로평상,2.1,서울 구로구 서해안로 2134,
히어로스터 신도림점,3.9,서울 구로구 경인로63길 21-8 1층,
브런치빈 신도림점,,서울 구로구 경인로67길 23 신도림2차푸르지오 201동 3층 310호,02-3667-9819
투썸플레이스 구로디지털역깔깔거리점,,서울 구로구 디지털로32길 97-39 성민빌딩 2층,02-855-7791
스타벅스 구로호텔점,3.7,서울 구로구 디지털로32길 72 구로호텔 1층,1522-3232
스타벅스 신도림점,3.5,서울 구로구 경인로 610,1522-3232
데일리스위츠,2.9,서울 구로구 중앙로 9 1층,02-877-6126
밀리커피,3.5,서울 구로구 새말로 62 1층,
카페몽글,4.4,서울 구로구 공원로6나길 29-17 1층,02-854-4620
투썸플레이스 신도림디큐브시티점,3.4,서울 구로구 경인로 662 2층,02-2210-9233
스타벅스 구로오류DT점,4.7,서울 구로구 서해안로 2233,1522-3232
힙스터커피 서울본점,4.2,서울 구로구 경인로33길 15,010-9811-9855
적소,4.6,서울 구로구 개봉로16가길 10-28 1층,02-2612-0701
스타벅스 구로고척점,4.5,서울 구로구 경인로 387,1522-3232
스타벅스 구로디지털로점,4.1,서울 구로구 디지털로33길 11 에이스테크노타워 8차 1층,1522-3232
폴바셋 구로지밸리몰점,4.0,서울 구로구 디지털로 300 1층 1호,02-6344-3788
스타벅스 구로디지털타워점,3.5,서울 구로구 디지털로32길 30,1522-3232
라크라센타,4.2,서울 구로구 가마산로 242 희망재단 1층,02-866-6202
작업하는 카페에베르,4.5,서울 구로구 경인로3길 77 세건빌딩 2층,02-2625-3467
397카페,3.2,서울 구로구 신도림로 25,
투썸플레이스 개봉역점,,"서울 구로구 남부순환로97길 20-1 1,2층",02-2618-8133
메가MGC커피 신도림역점,2.9,서울 구로구 경인로 661 신도림1차푸르지오상가 1층 133호,02-3439-7808
스타벅스 오류동역점,3.4,서울 구로구 경인로 216 1층,1522-3232
스타벅스 현대디큐브2F점,4.4,서울 구로구 경인로 662 2층,1522-3232
스타벅스 구로구청점,4.0,서울 구로구 가마산로 232 스페스큐브 B101호,1522-3232
스타벅스 고척아이파크점,4.9,서울 구로구 경인로43길 49 1층 D-101호,1522-3232
디저트39 구로디지털단지역점,3.8,서울 구로구 디지털로32가길 13,02-856-5335
메가MGC커피 구로깔깔거리점,3.8,서울 구로구 시흥대로 557 1층,02-859-5599
스타벅스 구로NC점,4.8,서울 구로구 구로중앙로 152,1522-3232
탐앤탐스 신도림점,3.8,서울 구로구 경인로 661 1층,02-3439-7887
보은하다,4.0,서울 구로구 경인로67길 23 신도림2차푸르지오 상가동 101-127호,
마라나타,2.8,서울 구로구 부일로 969,
예커피,5.0,서울 구로구 고척로21나길 63 1층,070-4231-2233
오브베이크,4.7,서울 구로구 디지털로32가길 9 대성빌딩 2층 202호,010-4203-5494
스타벅스 구로에이스점,3.8,서울 구로구 디지털로 285 에이스트윈타워1 103호,1522-3232
카페영,4.6,서울 구로구 고척로 127 2층,02-2060-9084
이름없는가게,4.8,서울 구로구 개봉로1나길 52 1층,02-2613-9488
투썸플레이스 동양미래대점,3.8,서울 구로구 경인로47길 34-1 1층,02-2615-7557
두리하나다울카페,4.6,서울 구로구 개봉로23길 10 1층,02-2681-1399
