name,degree,address,tel
인크커피 가산플래그십스토어,4.0,"서울 금천구 가산디지털2로 127-20 B03, 101, 103, 201호",02-854-7200
스미다,4.1,서울 금천구 벚꽃로 298 대륭포스트6차 b143호,070-4633-2525
스타벅스 금천독산점,4.7,서울 금천구 두산로 70 남서울현대지식산업센터 T로비층 108호,1522-3232
스타벅스 가산디지털점,3.9,서울 금천구 가산디지털1로 168 우림라이온스벨리 B동 1층,1522-3232
카페로드,4.6,서울 금천구 범안로 1152 독산빌딩 2층,0507-1448-3375
스타벅스 독산사거리점,3.9,서울 금천구 시흥대로 426,1522-3232
스타벅스 금천시흥점,4.0,서울 금천구 시흥대로 164,1522-3232
스타벅스 가산디지털단지역점,3.9,서울 금천구 벚꽃로 298,1522-3232
모나드커피로스터스,4.3,서울 금천구 금하로24길 5 1층,010-7516-0892
냥카페묘연,,서울 금천구 시흥대로 189 인피니움타워 3층 305호,070-4048-0948
스타벅스 금천구청역점,4.3,서울 금천구 시흥대로73길 67 엠타워 1층 112~115호,1522-3232
자작나무카페,4.3,서울 금천구 가산로 61 1층,0507-1418-8918
투썸플레이스 가산디지털점,3.5,"서울 금천구 가산디지털1로 186 제이플라츠 1층 106,106-1호",02-866-9308
투썸플레이스 독산사거리점,3.3,서울 금천구 시흥대로 422 금형회관 1층,02-858-2329
무드무드,4.7,"서울 금천구 탑골로4길 58 1,2층",0507-1368-4460
스타벅스 독산역점,4.5,서울 금천구 가산디지털1로 16,1522-3232
투썸플레이스 시흥사거리점,2.0,서울 금천구 시흥대로 228 1층,02-893-2388
온초점,4.7,서울 금천구 남부순환로124길 17 로하스타워 1층 101호,010-8576-3111
원두서점,4.9,서울 금천구 서부샛길 578 1층,02-6406-0588
스타벅스 가산에스케이점,3.9,서울 금천구 가산디지털1로 171 SKV1센터 1층,1522-3232
투썸플레이스 가산하이엔드클래식점,3.5,서울 금천구 벚꽃로24길 26 1층,02-2085-0155
할리스 가산디지털단지점,3.4,서울 금천구 가산디지털1로 186 제이플라츠 1층,02-2028-7111
37.5 가산THE G NATION점,4.7,서울 금천구 범안로 1142 하우스디 더 스카이밸리2차 3층,02-839-7775
설빙 시흥사거리점,2.4,서울 금천구 시흥대로 229 2층,02-891-7355
투썸플레이스 금천롯데캐슬골드파크점,,서울 금천구 벚꽃로 40 근린상가 113동 101호,02-802-1222
투썸플레이스 석수역점,,서울 금천구 시흥대로 8 아르스파크 101호,02-804-1003
투썸플레이스 현대지식산업센터점,3.3,서울 금천구 두산로 70 B동 1층 T-122호,02-2181-3530
마중물,4.9,서울 금천구 가산디지털2로 142 1층,010-9600-8957
플레이스디,4.1,서울 금천구 시흥대로 482,
스타벅스 가산그레이트점,3.2,서울 금천구 디지털로9길 32 갑을 그레이트 밸리 1층,1522-3232
C27 현대시티아울렛 가산점,2.4,서울 금천구 디지털로10길 9 7층,02-2136-9780
커피라이터 coffee-writer,4.8,서울 금천구 독산로 336 1층,070-7808-3360
스타벅스 가산브이타워점,4.3,서울 금천구 가산디지털1로 128,1522-3232
메가MGC커피 가산skv1센터점,3.0,서울 금천구 가산디지털1로 171 1층 117호,02-6244-8028
더빈마켓,4.3,서울 금천구 시흥대로 343,
메가MGC커피 금천독산점,2.3,서울 금천구 시흥대로 474 1층,02-856-7077
커피오스,5.0,서울 금천구 가산디지털1로 5 대륭테크노타운20차 112호,02-2225-0071
스타벅스 마리오아울렛점,3.2,서울 금천구 벚꽃로 266 마리오 3관1층,1522-3232
메가MGC커피 가산리더스타워점,2.9,서울 금천구 벚꽃로 286 지하 1층 B103호,02-855-9555
이디야커피 가산오거리점,3.7,"서울 금천구 가산로 155 케이디에스빌딩 1,2층",02-6406-1710
MAYBEBLUE (메이비블루),4.9,서울 금천구 독산로72길 18 지하1층 101호,02-6332-3001
