name,degree,address,tel
라라브레드 공릉점,3.9,서울 노원구 공릉로41길 32,1800-2790
감각,3.1,서울 노원구 상계로 77 1층,070-7576-4177
시드누아 노원본점,2.9,서울 노원구 상계로 84,02-938-9559
시즌,3.8,서울 노원구 상계로3길 38-2 2층,
카페드미셸,3.0,"서울 노원구 화랑로 441 미라쉘 1,2층",02-971-1100
커피베스코,4.5,서울 노원구 상계로 55 2층,
아너카페,4.6,"서울 노원구 동일로192다길 9 에이동 1,2층",010-8728-5191
스타벅스 공릉DT점,3.6,서울 노원구 동일로 1015,1522-3232
커피콩,,서울 노원구 동일로191가길 19 1층,02-977-6164
오피셜커피,4.0,서울 노원구 동일로184길 69-7 1층 101호,
스타벅스 노원역점,3.2,서울 노원구 동일로 1413 남성빌딩 1층,1522-3232
따미커피,4.6,서울 노원구 공릉로 120,070-7793-1201
스타벅스 상계초교사거리점,4.8,서울 노원구 노원로 449,1522-3232
오누이,4.6,서울 노원구 동일로187길 12-47 1층,
스윗레시피,3.2,서울 노원구 상계로1길 38 2층,
던모스,3.0,"서울 노원구 공릉로27길 8 1, 2층",010-3244-5044
스타벅스 공릉역점,3.4,서울 노원구 동일로 1081,1522-3232
투썸플레이스 노원문화의거리점,,"서울 노원구 상계로 69 201, 202호",02-935-2388
스타벅스 중계역점,3.4,서울 노원구 동일로 1339 대한빌딩,1522-3232
무드쉐어,,서울 노원구 공릉로 119-23 1층 101호,070-8286-6626
스타벅스 태릉입구역DT,4.5,서울 노원구 화랑로 469,
플로레스테이블,4.1,서울 노원구 상계로5길 12 3층,02-931-9312
스타벅스 노원KT점,4.2,서울 노원구 노해로 502,1522-3232
플랫커피,,서울 노원구 공릉로39길 20 1층 101호,010-5571-0776
몽실디저트,,서울 노원구 상계로 51 노원프라자빌딩 1층 105호,010-3072-9855
카페기차가있는풍경,4.0,서울 노원구 화랑로 608 1~3층,02-2116-4398
스타벅스 노원마들역점,3.9,서울 노원구 노원로 547 임광아파트상가,1522-3232
더메이즈 노원점,3.3,서울 노원구 상계로5길 26 6층,02-6012-2620
스타쿠빙,4.6,서울 노원구 동일로 1019,02-949-1885
브런힐,4.4,서울 노원구 중계로8길 48 1층,02-935-0000
어빌리티커피 공릉,4.3,서울 노원구 동일로180길 61-7 1층,010-9768-0114
에슬로우커피 공릉점,4.6,서울 노원구 노원로 3 우토파크프라자 1층,02-949-4542
라트커피,4.9,서울 노원구 한글비석로 245 두타빌상가 B동 1층 124호,02-933-3505
화이트아떼,4.8,서울 노원구 노원로26길 69 오성빌딩 2층,010-4322-8865
이너모스트,4.7,서울 노원구 동일로183길 12-14 1층,
할리스 노원문화의거리점,3.8,서울 노원구 노해로81길 22-26 1층,02-935-8231
미라쥬양과점,4.9,서울 노원구 동일로196길 15 1층,010-2006-9433
카페포레스트,4.6,서울 노원구 한글비석로12길 51-49,02-2116-0598
르다,4.6,서울 노원구 상계로9길 28 1층,02-938-5599
502세컨즈카페 노원점,,서울 노원구 섬밭로 232 SMMA강북사옥 1층,070-4465-7996
메트로폴리스,4.0,서울 노원구 동일로178길 11-9 1층,
케어프리,4.9,서울 노원구 동일로242가길 14-6 1층,070-7808-2018
카페밀크콩 하계점,4.1,"서울 노원구 공릉로59나길 48-8 1,2층",070-8821-9345
스타벅스 월계역점,3.2,서울 노원구 초안산로2라길 26 104~106호,1522-3232
