name,degree,address,tel
도봉관,,"서울 도봉구 노해로 261 1,2층",02-991-1231
꿀소담,,"서울 도봉구 해등로16길 67 1,2층",010-9092-1512
쌍문동커피,3.9,"서울 도봉구 도봉로116길 5 지하 1,1층",
카페오븐,4.2,서울 도봉구 해등로16길 12 현대아파트상가동 2층 201호,02-3141-0089
스타벅스 도봉로DT점,4.6,서울 도봉구 도봉로 635,1522-3232
엉클두,4.4,서울 도봉구 노해로63가길 37 1층,
몽상가 크레이프전문점,,서울 도봉구 도봉로143길 30 1층,
카페152길,4.0,서울 도봉구 도봉로152길 29-3 1층,02-954-1520
산과산사이커피로드,4.8,서울 도봉구 도봉로180가길 96 4층,070-4177-8197
로로옴,4.4,서울 도봉구 도봉로152가길 152,02-6091-8800
카페에덴,4.2,서울 도봉구 방학로 306,02-3491-3331
스타벅스 쌍문도봉로점,4.2,서울 도봉구 도봉로 444 1층,1522-3232
스타벅스 방학역점,4.1,서울 도봉구 도봉로 684 1층,1522-3232
투썸플레이스 창동역점,2.5,서울 도봉구 노해로 381 1층,02-994-2388
도봉산커피,4.5,서울 도봉구 도봉산4가길 4,010-9945-7145
만남의광장,2.2,서울 도봉구 도봉동 288-20,02-956-4545
스타벅스 쌍문역점,3.9,서울 도봉구 도봉로 480,1522-3232
세라젬웰카페 서울쌍문직영점,4.9,서울 도봉구 도봉로 571 1층,02-6949-5325
카페도영,3.6,"서울 도봉구 도봉산길 65-5 라동 지하1층, 1층",0507-1367-7437
카페고르,4.2,서울 도봉구 도봉로112길 38 1층,
스타벅스 창동역점,4.4,서울 도봉구 마들로13길 61,1522-3232
카미노커피로스터스,4.2,서울 도봉구 도당로 46 1층,
키웨스트 연산군묘점,3.4,"서울 도봉구 방학로17길 85 1,2층",
투썸플레이스 쌍문중앙점,3.8,서울 도봉구 도봉로 482 우성빌딩 1층,02-991-2377
메종드쌍문,4.2,서울 도봉구 해등로 158-1 1층,02-6449-9122
투썸플레이스 방학역점,3.1,서울 도봉구 도봉로 696 2층,02-954-7799
숲오,4.7,서울 도봉구 우이천로48길 12,
투썸플레이스 쌍문역점,3.8,서울 도봉구 도봉로 461 원형빌딩 1층,02-998-2377
스타벅스 창동이마트점,4.5,서울 도봉구 노해로65길 4,1522-3232
메가MGC커피 창동역점,2.8,서울 도봉구 마들로11가길 13 1층 105호,02-998-4242
투썸플레이스 도봉산입구점,4.2,서울 도봉구 도봉산4가길 13-11,02-3492-7778
가배미혼,5.0,서울 도봉구 도봉로115길 4,
스타벅스 도봉구청점,4.5,서울 도봉구 마들로 665,1522-3232
무수울카페,4.1,서울 도봉구 도봉로173길 124,
커피스미스 도봉역점,5.0,"서울 도봉구 도봉로152가길 176 1,2층",02-948-6900
탐앤탐스 창동본점,3.5,서울 도봉구 노해로 285 1층,02-543-3242
온도감,4.6,서울 도봉구 도당로 66-1 1층,
디어트리,4.3,서울 도봉구 삼양로162길 51-7 제이스타빌 1층,
티끌,4.7,"서울 도봉구 노해로 235 1층 좌측,티끌",0507-1319-9534
카페더로비,4.1,서울 도봉구 방학로 171-5,02-954-1715
설빙 서울도봉방학점,,서울 도봉구 방학로 165 2층,02-6014-2222
만랩커피 창동역점,4.2,"서울 도봉구 노해로63길 82 1,2층",02-998-1002
투썸플레이스 창동이마트점,3.0,서울 도봉구 노해로65길 14-3 2층,
에스트로,4.4,서울 도봉구 노해로63가길 31-11 명성빌딩 1층,
카페푸쿠푸쿠,,서울 도봉구 노해로45길 17 1층,0507-1303-5711
매일이기념일,4.4,서울 도봉구 우이천로24길 69 1층,010-9013-7962
설빙 서울쌍문역점,2.7,서울 도봉구 도봉로 460 2층,02-991-0077
메가MGC커피 쌍문역점,3.7,서울 도봉구 도봉로 492 1층,02-991-1041
리프패럿 방학동점,5.0,서울 도봉구 도당로 80 4층 401호,010-2814-0616
어로어,4.3,"서울 도봉구 해등로16길 52-19 지하 1층, 1층",02-2205-8588
커피홀 창동점,3.8,서울 도봉구 도봉로136가길 69 101호,02-955-0500
메가MGC커피 이마트에브리데이도봉점,3.0,서울 도봉구 도봉로180길 38 1층,02-955-5666
김화자카페,4.3,서울 도봉구 도봉로114길 50 1층,02-905-2570
메가MGC커피 신도봉시장점,3.7,서울 도봉구 도봉로 727 1층,02-955-5556
파스쿠찌 창동점,3.0,서울 도봉구 도봉로 558 2층,02-461-1942
희서커피,5.0,서울 도봉구 도봉로169길 266-38 1층,02-599-0740
세이지,4.7,서울 도봉구 해등로 241-55 2층,010-493-4594
컴포즈커피 방학신동아점,3.0,서울 도봉구 시루봉로 106,02-955-4237
메가MGC커피 쌍문세라믹점,2.4,서울 도봉구 도당로 14 다보빌딩 1층,02-999-0787
모리커피 서울방학점,4.8,서울 도봉구 도당로 148 1층,02-955-8715
스위트가든,3.3,서울 도봉구 방학로5길 16,02-900-1232
도본,4.1,서울 도봉구 우이천로 288-3 1층,070-7543-3557
이디야커피 도봉산점,3.5,서울 도봉구 도봉산길 18 1층,02-3494-3974
메가MGC커피 방학도깨비시장점,3.4,서울 도봉구 도당로 81 1층,02-3491-9279
카페녹천,4.9,서울 도봉구 노해로66길 125 하나타운하우스 1층 1호,070-4833-5078
메가MGC커피 방학역점,2.1,서울 도봉구 도봉로150길 40 101호,02-3492-0181
메가MGC커피 쌍문점,3.1,서울 도봉구 도봉로 457 1층,02-992-0707
창포원북카페 비상,,서울 도봉구 마들로 916 방문자센터 2층,02-954-5254
메가MGC커피 방학점,4.0,서울 도봉구 방학로 192 1층,02-954-6555
이디야커피 쌍문역점,1.4,"서울 도봉구 도봉로117길 4 1,2층",02-900-9279
그랩커피,4.5,서울 도봉구 도봉로109길 62 1층,070-8224-7603
메가MGC커피 쌍문선덕점,3.0,서울 도봉구 해등로 255 101동상가 107호,02-900-2777
탐앤탐스 도봉구청점,4.5,서울 도봉구 마들로 657 1층,02-956-9482
메가MGC커피 창동어울림점,2.0,서울 도봉구 해등로16길 32 1층,02-997-0182
컴포즈커피 도봉산입구점,4.3,서울 도봉구 도봉산길 51 1층,
메가MGC커피 도봉역점,0.0,서울 도봉구 도봉로 817 1층,02-955-4418
유영정원,4.6,서울 도봉구 도봉로181길 38 1층,063-8633-0630
커피지,3.2,서울 도봉구 도봉로145길 8 2층,02-3491-6884
24시 무인카페 만월경,4.8,서울 도봉구 해등로 79 1층,010-2083-2087
빽다방 창동역점,4.4,서울 도봉구 마들로11길 57 EQ빌딩 102호,02-995-7711
메가MGC커피 신창시장점,4.0,서울 도봉구 덕릉로 238 1층,
메가MGC커피 창동이마트점,3.4,서울 도봉구 노해로65길 11 1층,02-902-7778
커피낙타,0.0,서울 도봉구 도봉산길 73,02-6268-2268
다다,5.0,서울 도봉구 도봉로152길 23-4,02-955-5957
컴포즈커피 방학도깨비시장점,0.0,서울 도봉구 도당로13길 23 1층,070-7543-7170
스탠퍼독,,"서울 도봉구 우이천로 296 1,2층",010-7525-4375
컴포즈커피 쌍문현대점,5.0,서울 도봉구 해등로 218 가동 1층 108호,02-907-4237
블랙캥거루,5.0,서울 도봉구 우이천로 134-1 1층,02-999-0703
메가MGC커피 서울쌍문초점,3.0,서울 도봉구 노해로41길 32 1층,02-900-6555
마치커피,5.0,서울 도봉구 덕릉로59아길 48 1층,070-8250-6660
강또커피,5.0,서울 도봉구 도봉로141길 55 1층,070-445-4417
컴포즈커피 창동동아점,4.6,서울 도봉구 노해로 384 1층 1-1호,02-998-8241
이디야커피 방학사거리점,5.0,서울 도봉구 도봉로 677 1층,02-955-1760
숲속마을카페,4.7,서울 도봉구 시루봉로15다길 2,02-955-1446
인사노,4.3,서울 도봉구 도봉로 506 1층,070-8610-2766
윈썸35,3.6,서울 도봉구 해등로32가길 40 1층,
메가MGC커피 창동대우점,5.0,서울 도봉구 덕릉로63가길 17 1층,02-991-2999
이디야커피 방학중앙점,2.3,서울 도봉구 도당로13길 22 1층,02-6406-0898
카페말로 도봉점,0.0,서울 도봉구 도봉로152가길 182-1,02-956-5078
빽다방 쌍문세라믹점,3.5,서울 도봉구 도당로 10,02-995-5551
만스에스테이트 도봉점,5.0,서울 도봉구 도봉로180길 20 도봉투웨니퍼스트1단지 101동 1층 103호,
이디야커피 창동역점,1.6,서울 도봉구 마들로11길 65 1층 3호,02-900-9307
메가MGC커피 도봉중앙점,4.5,서울 도봉구 도봉로181길 30 1층,02-955-4536
이디야커피 창동블루핀점,5.0,서울 도봉구 마들로 550 1층,02-905-1209
요거트아이스크림의정석 쌍문점,4.4,서울 도봉구 도봉로123길 10 1층 104호,070-4146-7579
컴포즈커피 신창시장점,4.7,서울 도봉구 덕릉로 253 1층,02-2088-2124
카페알로 창동점,3.7,서울 도봉구 노해로62길 36 1층,02-906-5004
이디야커피 방학역점,3.0,서울 도봉구 도봉로153길 15 1층,02-956-8406
이디야커피 신창점,4.5,서울 도봉구 덕릉로 235 1층,02-6111-9140
메가MGC커피 방학중앙점,5.0,서울 도봉구 방학로2길 35 1층,02-955-1002
카페망상,4.7,서울 도봉구 도봉산4길 6 1층,
메가MGC커피 창동중앙점,2.9,서울 도봉구 도봉로110길 68 1층,02-991-2990
카페크레프리,4.9,서울 도봉구 삼양로144길 18 2층,
빽다방 쌍문역점,5.0,서울 도봉구 도봉로 479 1층,02-902-7971
컴포즈커피 강북힘찬병원점,3.7,서울 도봉구 도봉로 446 1층,070-8680-5562
컴포즈커피 창동역서부점,4.0,서울 도봉구 노해로63길 78 1층 101호,02-990-0279
컴포즈커피 쌍문역점,1.7,서울 도봉구 도봉로 488 1층,02-904-3339
더쌍화커피 쌍문동점,5.0,서울 도봉구 도봉로 415 1층,
썬스마일,4.4,서울 도봉구 해등로36길 4 1층,010-6659-2565
하이루탕후루 쌍문점,5.0,서울 도봉구 노해로60길 83 1층,010-9060-1659
이디야커피 방학점,3.8,서울 도봉구 방학로 171 1층 102호,02-954-6549
빽다방 방학역점,3.8,서울 도봉구 도봉로153길 20 1층,02-954-8748
더블즈,5.0,서울 도봉구 우이천로 350 1층 더블즈,010-7487-0310
이디야커피 쌍문동점,2.4,서울 도봉구 노해로 162 1층,02-998-7007
컴포즈커피 창동어울림점,0.0,"서울 도봉구 해등로16길 26 타임프라자 110, 111호",070-7755-5646
카페인중독 창동점,4.2,서울 도봉구 해등로16길 104-8 1층,02-991-1533
퍼스트커피랩 쌍문점,0.0,서울 도봉구 노해로41나길 49,02-6478-2000
빈트리커피 방학점,5.0,서울 도봉구 방학로15길 13,
까누,4.7,서울 도봉구 도봉로112길 33 1층,02-991-1110
빽다방 도봉구민회관점,3.0,서울 도봉구 도봉로 551 경덕빌딩 1층,02-902-1711
컴포즈커피 방학선덕점,3.0,서울 도봉구 시루봉로 59 1층 101호,02-905-1050
이디야커피 창동학원가점,3.9,서울 도봉구 해등로16길 61 1층,02-993-3824
이디야커피 솔밭공원역점,4.7,서울 도봉구 삼양로 594 1층 101호,02-905-6969
이디야커피 창동제일점,0.0,서울 도봉구 노해로70길 81 1층,02-998-4660
더벤티 창동역점,3.6,서울 도봉구 마들로11길 73 1층 101호,
더쌍화커피,4.7,서울 도봉구 노해로69길 21 1층,
매머드익스프레스 창동점,5.0,서울 도봉구 마들로11가길 6-25 월가타워오피스텔 1층 105호,
컴포즈커피 덕성여대점,2.8,서울 도봉구 삼양로 538 1층,
