name,degree,address,tel
망우로30,4.0,서울 동대문구 망우로 30-1 1층,010-3380-2386
민들레영토 경희대점,4.9,서울 동대문구 경희대로1길 34,02-959-3733
커피나인 본점,4.3,서울 동대문구 전농로3길 12 1층,02-6396-9992
오앤디,4.8,서울 동대문구 망우로12가길 17 1층,010-3441-3675
컴플리트커피,4.5,서울 동대문구 천장산로7길 19,070-8873-0419
너디블루,4.4,"서울 동대문구 전농로36길 9 1,2층 1,2호",0507-1421-1310
대즐링,4.7,서울 동대문구 안암로 132 1층,070-763-9394
스타벅스 경동1960점,4.2,"서울 동대문구 고산자로36길 3 경동시장 본관 3,4층",1522-3232
키라쿠,4.1,서울 동대문구 약령시로 5-1 아이리스빌딩 1층,
베러댄,3.6,서울 동대문구 망우로 34 진성빌딩 1층,
스타벅스 답십리역점,4.2,서울 동대문구 천호대로 263,1522-3232
스타벅스 장한평역점,3.3,서울 동대문구 장한로 10,1522-3232
스타벅스 회기역사거리점,3.8,서울 동대문구 이문로 37 회기 한일 베라체캠퍼스 1층,1522-3232
스타벅스 신설동역점,3.2,서울 동대문구 왕산로 19,1522-3232
한시십일분,4.6,서울 동대문구 망우로 66 지하1층,
더크림,3.6,서울 동대문구 장한로28길 18 1층,070-4065-7313
카페양귀비,3.8,서울 동대문구 이문로9길 8 1층,
카페파인,3.9,"서울 동대문구 안암로22길 15 형준빌딩 1, 2층",
스타벅스 청량리역사점,3.5,서울 동대문구 왕산로 214 커넥트 플레이스 6층,1522-3232
카페시사,4.0,서울 동대문구 전농로 217 1층,
8번가,3.0,서울 동대문구 경희대로3길 8,
투썸플레이스 장안점,3.8,서울 동대문구 장한로 73 1층,02-2212-1780
참다정,4.0,서울 동대문구 약령중앙로 26 서울한방진흥센터 1층,02-960-0360
프롬하츠커피 용두점,3.1,서울 동대문구 왕산로 71 1층,0507-1430-2249
스타벅스 경희대삼거리점,3.6,서울 동대문구 회기로 141,1522-3232
설빙 서울회기점,3.8,서울 동대문구 회기로 193 2층,02-960-4342
투썸플레이스 장안동사거리점,3.4,서울 동대문구 답십리로 273 한양빌딩 1층,02-2212-9027
