name,degree,address,tel
카페1953위드오드리,4.0,서울 영등포구 경인로77가길 12 1층,02-2672-0504
마호가니커피 여의도점,3.4,서울 영등포구 여의대로 66 하이투자증권빌딩 1층,02-785-8880
커피리브레 영등포타임스퀘어점,3.7,서울 영등포구 영중로 15 타임스퀘어 1층 112호,02-2635-0615
팜스프링스,4.2,서울 영등포구 도신로60길 22-3 2층,02-847-1107
시즌커피앤베이크,4.1,서울 영등포구 양산로9길 12-1,02-2676-7161
카페솔트,3.7,서울 영등포구 도림로133길 12 1층,0507-1338-1540
라크라센타 문래본점,3.5,서울 영등포구 문래로 92-5,02-2676-6202
카페설리번,3.5,서울 영등포구 당산로 241 유니언타운 1층,02-2068-8825
노버든,4.2,서울 영등포구 당산로31길 25 2층 201호,0507-1340-4994
더플레이트디저트 더현대서울점,3.4,서울 영등포구 여의대로 108 지하1층,02-3277-0796
영등포 카페드람브르,3.8,서울 영등포구 경인로 867 호텔GMS 2층,02-882-3377
피그인더가든 여의도점,2.8,서울 영등포구 여의대로 56 한화손해보험빌딩 1층,02-761-4272
로스톤,,서울 영등포구 대림로31가길 13 1-4층,02-832-1820
피크니크 선유도점,3.7,서울 영등포구 양평로22길 2-1 1층,070-4110-6770
맨홀커피,4.6,서울 영등포구 영신로 247 당산센트럴아파트 상가B동 지하1층,02-6398-9427
브런치빈 당산점,,"서울 영등포구 양평로 8 1~3층 101, 201, 301호",02-6264-1230
선유기지,4.6,"서울 영등포구 선유로51길 1 1층, 지하1층",070-4797-0082
엘리스커피하우스,3.5,서울 영등포구 영중로4길 1 1층,
10G,3.9,서울 영등포구 국제금융로 10 1층,02-6137-7788
이스트우드 도림점,4.4,서울 영등포구 도신로17길 6 1층,070-4459-0103
기글,3.7,서울 영등포구 도림로128길 21 1층,
스타벅스 영등포신길점,4.1,"서울 영등포구 신길로 137 1,2층",1522-3232
아이엠베이글 여의도점,4.3,서울 영등포구 국제금융로 86 롯데캐슬아이비 지하1층 B125호,070-4233-2881
쓰리버즈 IFC점,2.7,서울 영등포구 국제금융로 10 THREE IFC 1층,02-6137-3031
포프트커피,,서울 영등포구 경인로114길 10-1 1층,010-5162-6688
빌리엔젤 당산역점,2.9,"서울 영등포구 당산로 223 1,2층",
강변서재,3.7,서울 영등포구 의사당대로 1 2층,02-6788-3331
서울커피 여의도점,4.3,서울 영등포구 국제금융로 86 롯데캐슬아이비 1층 101호,02-785-3669
스타벅스 영등포역점,3.4,서울 영등포구 경인로 870 1층,1522-3232
하늘유리,4.0,서울 영등포구 영등포로 248,
카페꼼마&얀쿠브레 여의도신영증권점,4.5,"서울 영등포구 국제금융로8길 16 1,2층",02-780-1672
커피메이플,4.3,서울 영등포구 신풍로 19 1~3층,02-833-0026
헤비로테이트,4.5,서울 영등포구 도신로19길 22,
이스케이프시티,3.0,서울 영등포구 영중로8길 6 성남빌딩 구관 401호,070-8286-7355
투썸플레이스 여의도점,3.2,"서울 영등포구 의사당대로 108 아일렉스상가 1,2층 107,108,121,206,207호",02-782-2332
폰트커피 문래점,3.9,서울 영등포구 경인로77가길 6,02-2632-8549
아파트먼트,3.1,서울 영등포구 경인로77길 12 2층,010-4528-3884
스타벅스 여의도역R점,3.9,서울 영등포구 의사당대로 83 오투타워 1층,1522-3232
스타벅스 영등포본동점,3.5,서울 영등포구 영등포로 254 우성타워 1층,1522-3232
레어그루브,3.7,서울 영등포구 영등포로62길 2 명성힐타워 1층,070-7788-8633
맨홀커피 웨스턴,4.3,서울 영등포구 영등포로27길 24 1동 1층 101호,0507-1468-7816
