name,degree,address,tel
앤트러사이트 연희점,3.5,서울 서대문구 연희로 135,02-332-7650
더파이홀,4.0,서울 서대문구 연세로5나길 20 1층,010-4258-1181
독수리다방,4.2,서울 서대문구 연세로 36 독수리빌딩 8층,02-363-1222
카페폭포,3.8,서울 서대문구 연희로 262-24 1층,02-330-4998
매뉴팩트커피 연희본점,4.3,서울 서대문구 연희로11길 29 2층,02-6406-8777
롯지190,4.5,서울 서대문구 홍제천로 190 1층,
로덴드론 연희점,4.0,서울 서대문구 연희로25길 82,02-332-2288
클로리스 신촌점,4.2,서울 서대문구 연세로4길 38,02-392-7523
그릭데이 이대본점,4.0,서울 서대문구 신촌역로 22-8 대국빌딩 1층,02-363-9222
호밀밭,4.3,서울 서대문구 신촌역로 43 1층,02-392-5345
하이드미플리즈 홍제점,4.1,서울 서대문구 통일로39나길 5 1층,
스웨이커피스테이션,4.1,서울 서대문구 연희로11길 61,02-6348-0061
푸어링아웃,4.1,서울 서대문구 연희로11나길 7-7,
금옥당 연희점,3.6,서울 서대문구 연희로11라길 2 1층,02-322-3378
티앙팡 오후에 홍차 1호점,3.7,"서울 서대문구 이화여대길 34 1,2층",02-364-4196
미네르바,4.5,서울 서대문구 명물길 18 2층,02-3147-1327
스타벅스 연희DT점,3.8,서울 서대문구 연희로 144,1522-3232
스타벅스 이대R점,3.7,서울 서대문구 이화여대길 34,1522-3232
에이투지카페,3.8,서울 서대문구 연세로4길 29 1층,02-313-7523
올레무스 (임시휴업중),4.3,서울 서대문구 연희로5길 58 1층,
와플잇업 이대2호점,4.5,서울 서대문구 이화여대3길 42-19,070-4410-2829
커피크레페 본점,4.3,서울 서대문구 신촌로 87-8 1층,0507-1430-3688
스타벅스 신촌점,4.2,서울 서대문구 연세로 10-1 즐거운빌딩 1~3층,1522-3232
프로토콜,3.9,서울 서대문구 연희로 109 2층,010-3927-6159
문베어,4.6,서울 서대문구 명물길 66 1층,02-393-9488
시간이머무는홍차가게,4.7,서울 서대문구 연희로16길 7-15,070-4843-3541
롤리홀리,4.7,서울 서대문구 통일로 510 북한산더샵 상가동 2층,070-7773-2194
디폴트밸류,4.3,서울 서대문구 성산로 333 1층,02-2293-3889
스타벅스 홍제역점,3.7,서울 서대문구 통일로 451,1522-3232
소설원,4.3,서울 서대문구 통일로 419-1 1층,0507-1384-0619
설빙 신촌점,3.9,서울 서대문구 연세로 23 2층,070-7716-8970
스타벅스 북가좌DT점,1.5,서울 서대문구 응암로 85,1522-3232
고양이다락방,,서울 서대문구 연세로 25-1 3층 1호,010-2618-9747
스위스그랜드호텔 에이트리움,4.0,서울 서대문구 연희로 353 지하 로비층,02-2287-8270
보틀라운지,4.8,서울 서대문구 홍연길 26 1층,02-3144-0703
옥루몽 신촌본점,4.1,서울 서대문구 연대동문길 18 LOFT 1층,02-312-0015
벨라프라하,4.7,서울 서대문구 이화여대길 77 1층,02-363-3559
스타벅스 신촌명물거리점,4.4,서울 서대문구 명물길 24 1~5층,1522-3232
본지르르 연희,4.6,서울 서대문구 연희로 189-16,
JMD.coffee,4.1,서울 서대문구 통일로17길 16,02-363-0011
메가MGC커피 신촌점,3.8,"서울 서대문구 연세로5가길 8-6 1,2층",02-336-6051
카페모래내1번지,5.0,서울 서대문구 수색로 43 가좌행복주택 복합커뮤니티센터 1층 105호,0507-1344-0890
스타벅스 가재울뉴타운점,4.3,서울 서대문구 가재울미래로 2 2단지 별동상가 1층,
오월의이유,4.8,서울 서대문구 증가로10길 36-41 1층,070-8095-3641
베어스덴,3.5,"서울 서대문구 연희로4길 10 1,2층",
스타벅스 연희동점,3.8,서울 서대문구 연희로 97,1522-3232
로네펠트티하우스 서대문점,4.2,서울 서대문구 충정로 71-5 1층,02-313-1823
휴,2.9,서울 서대문구 명물길 6 5층,
수변테라스카페,5.0,서울 서대문구 홍은동 429,
원앤온리커피,4.5,서울 서대문구 이화여대7길 31-4 1층,
페이퍼넛츠,4.8,서울 서대문구 거북골로24길 37-8 1층,02-6408-7799
에버라인 뮤직&카페,3.3,서울 서대문구 신촌역로 29,02-392-5111
노아스로스팅 헤리티지점,4.2,서울 서대문구 연희로 160 1층,02-3141-6356
스타벅스 신촌역점,3.9,서울 서대문구 신촌로 73 1층,1522-3232
카시코이,4.0,서울 서대문구 성산로 253-4 금송빌딩 1층 101-1호,070-4179-8127
카페코지,3.0,서울 서대문구 이화여대길 88-19 1층 2호,070-4307-4192
