name,degree,address,tel
프릳츠 양재점,4.0,서울 서초구 강남대로37길 24-11 서림빌딩 1층,02-521-4148
공미학 서초교대점,3.5,서울 서초구 서초대로48길 101 1층,02-6462-9000
태양커피 방배점,4.4,서울 서초구 서초대로25길 55 1층,02-534-8180
캐틀앤비 양재천점,2.8,서울 서초구 양재천로 131,02-578-2737
장꼬방,4.5,서울 서초구 강남대로61길 27 1층,02-597-5511
심재,4.1,서울 서초구 동산로2길 40 리라빌딩 1층 101호,070-8826-9000
태양커피 서울사당점,4.0,서울 서초구 방배천로 32 송암빌딩 1층,02-522-8182
카페페라 유니크점,3.1,서울 서초구 방배천로 11 1층,02-522-2582
비엔나커피하우스 이수역점,3.8,서울 서초구 동작대로 86 1층,02-522-1683
타짜도르 강남점,3.4,서울 서초구 서초대로77길 61 1층,070-8848-9965
37.5 서래마을점,3.5,서울 서초구 서래로7길 16 민트빌딩 2층,02-593-3705
앨리스토리커피 양재,4.1,서울 서초구 강남대로16길 16 1층,02-6405-7774
베이크샵피봇,4.5,서울 서초구 방배로23길 5 하니프라자 1층,010-7730-8559
노티드 강남 카카오,3.9,서울 서초구 강남대로 429 유창빌딩 3층 나호,070-8869-9377
빽다방 빵연구소 신사사거리점,3.6,서울 서초구 강남대로 605 휴먼타워 1층 102호,02-517-0410
비엔나커피하우스 방배점,4.9,서울 서초구 방배로 126 석하빌딩 1층,02-585-1683
카페도킹,4.1,서울 서초구 동산로19길 54 1층,070-7757-1207
플랫다이닝카페,3.9,서울 서초구 서초중앙로22길 22-7 1층 101호,02-598-1224
꿈꾸는다락방,4.0,서울 서초구 청두곶길 12 두원아파트상가 1층,010-8999-7996
담장옆에국화꽃 파미에점,3.5,서울 서초구 신반포로 지하 188 파미에스테이션 2층 204호,02-591-1157
카페오쎄,3.6,"서울 서초구 방배천로4안길 32 1,2층",02-523-0077
미니말레 커피뢰스터 양재본점,4.5,서울 서초구 강남대로10길 32 1층,02-6104-4239
스타벅스 서울고속터미널점,4.2,서울 서초구 신반포로 194 1층,1522-3232
폴바셋 강남삼성타운점,4.0,서울 서초구 서초대로78길 22 홍우제2빌딩 1층,02-523-4210
스타벅스 몬테소리점,4.3,서울 서초구 강남대로 399 한국몬테소리 빌딩 1층,1522-3232
세컨클락,4.4,서울 서초구 청룡마을길 41 1층,02-594-7606
스타벅스 양재역점,3.6,서울 서초구 강남대로 202 모산빌딩,1522-3232
엔트런스,4.5,서울 서초구 사임당로19길 72-3,
더커피컴퍼니,3.1,서울 서초구 서초중앙로29길 16 이에이치빌딩 1층,070-7756-3016
미스터리룸 이스케이프 강남점,3.8,서울 서초구 서초대로77길 37 5층 501호,02-536-2564
카페로비,3.9,서울 서초구 반포대로20길 53 1층,02-525-1564
오페라빈로스터스 양재본점,3.4,서울 서초구 매헌로6길 55 1층,070-4100-4033
스타벅스 센트럴시티점,3.1,서울 서초구 신반포로 176 센트럴시티 1층,1522-3232
스타벅스 강남서초초교점,3.4,"서울 서초구 서초대로77길 27 유빌딩 1,2층",1522-3232
싱글오커피,4.3,"서울 서초구 바우뫼로 182-1 1,2층",070-8879-2900
스타벅스 남부터미널역5번출구점,4.3,서울 서초구 효령로 274,1522-3232
스타벅스 서울웨이브아트센터점,4.3,서울 서초구 잠원로 145-35,1522-3232
카페모호,4.2,서울 서초구 양재천로7길 1 1층,02-572-8875
언니가 숨겨놓은 과자상자,3.6,서울 서초구 방배천로8길 36 1층,02-6959-7666
떼르드 카페 양재,4.2,서울 서초구 양재천로 111 1층,02-572-1906
그릿918,2.9,서울 서초구 법원로2길 24 지하1~2층,02-535-0918
스타벅스 강남삼성타운점,3.8,서울 서초구 서초대로78길 24 1~2층,1522-3232
스타벅스 이수역점,4.1,서울 서초구 동작대로 112 한신 휴플러스 1층,1522-3232
스타벅스 사당로데오점,3.3,서울 서초구 방배천로 5-4 1~4층,1522-3232
레어마카롱 서초점,4.8,서울 서초구 반포대로24길 47 1층,070-8866-6809
레트로카페트레이더,4.1,서울 서초구 효령로 316-1 2층,070-8807-6910
쿄베이커리 더인피닛카페,3.5,"서울 서초구 사평대로58길 6 1층 102,103호",02-536-2838
코오롱스포츠 솟솟618점,4.4,서울 서초구 원터2길 9 1층,02-545-8810
빌리엔젤 교대점,2.9,서울 서초구 반포대로28길 94 1층,070-4694-0269
