name,degree,address,tel
성북동빵공장,2.4,서울 성북구 대사관로 40 B동 1~3층,02-762-3450
수연산방,3.2,서울 성북구 성북로26길 8 상허 이태준 가옥,02-764-1736
해로커피,4.4,서울 성북구 성북로 19-3 1층,02-6012-9871
카페루틴,4.2,서울 성북구 보문로34가길 6 1층,02-6489-4589
죠셉의커피나무,4.2,서울 성북구 성북로31길 65,02-741-1060
폴드커피,4.5,"서울 성북구 종암로 214-3 1,2층",
로스디아스,4.2,서울 성북구 동소문로22길 67 2층,02-921-4830
카페작약,4.5,서울 성북구 보문로32길 14 2층,070-7740-0259
커피명가 안암점,4.1,서울 성북구 안암로5길 40 java빌딩 1층,02-928-0892
카페그리다,4.5,서울 성북구 솔샘로 19 1층,02-909-4987
스타벅스 성신여대점,3.2,서울 성북구 동소문로24길 12,1522-3232
더홈서울,3.8,서울 성북구 고려대로1길 87,010-8301-5004
카페뮬,4.1,서울 성북구 동소문로22길 64 2층,02-6084-6083
네이버후드,4.0,"서울 성북구 대사관로 133 1,2층",
정이정,,서울 성북구 종암로 82-15 1층,02-943-2008
커피매터스,4.6,서울 성북구 동소문로10길 19-1 1층,070-4143-5732
커피스토어,4.8,서울 성북구 안암로5길 72,
모블러,4.5,서울 성북구 동소문로26다길 26,
카페구월,3.8,서울 성북구 보문로30길 43 1~3층,070-8875-2624
사만 커피 로스터스,,서울 성북구 성북로6길 2-2 1층,0504-0952-2271
스타벅스 종암DT점,3.3,서울 성북구 종암로 17,1522-3232
째즈스토리,4.8,서울 성북구 혜화로 88,02-725-6537
스타벅스 길음역점,3.2,서울 성북구 정릉로 376,1522-3232
스타벅스 성신여대정문점,4.2,서울 성북구 보문로34길 62,1522-3232(팩스)
까쉬,4.2,서울 성북구 보문로34길 72-5 1층,
소설원서가,4.3,서울 성북구 동소문로 37,
카페온더플랜,2.8,서울 성북구 동소문로22길 39-4 1층,02-6215-1020
카페하늘,4.0,서울 성북구 성북로28길 6-5 K빌딩 1층,02-741-0640
일상,3.8,서울 성북구 성북로 106,
스타벅스 안암역점,3.9,서울 성북구 고려대로 102-2,1522-3232
기쁜소식,,서울 성북구 종암로10길 26 1층,010-6534-1226
스타벅스 한성대입구역점,3.6,서울 성북구 성북로 11,1522-3232
카페마노아 성신여대점,4.4,서울 성북구 보문로34길 51 2층,02-921-1291
스타벅스 종암점,4.1,서울 성북구 종암로 122,1522-3232
투썸플레이스 성신여대점,2.5,서울 성북구 동소문로20다길 17 2층,02-923-7707
밀월,4.1,서울 성북구 동소문동4가 16,
샐러드프린세스,4.7,서울 성북구 화랑로13길 42 2층 202호,02-916-0027
원오프카페,2.8,서울 성북구 동소문로22길 57-4 2층,
카페어바웃,4.5,서울 성북구 장월로1마길 5 1층,02-916-8001
써니사이드커피,4.3,서울 성북구 고려대로27길 14 1층,070-8688-2905
비나케이크,3.5,서울 성북구 보문로30길 12 1층 101호,02-953-7070
일일커피,3.8,서울 성북구 삼양로 27,070-8845-3583
오버스토리,3.7,서울 성북구 선잠로2다길 13-13 지하1층,
피알디,,서울 성북구 동소문로25길 9 휴림빌딩 1층 101호,02-929-4049
연우재,4.2,서울 성북구 성북로 15-6,
언더그라운드커피웍스,5.0,서울 성북구 정릉로6길 23,010-2352-8505
투썸플레이스 길음역점,2.4,서울 성북구 길음로 6 1층,02-943-5437
다원,3.4,서울 성북구 대사관로 3 삼청각 일화당 2층,02-765-3000
카페1976,3.1,서울 성북구 도봉로 1,02-989-8613
길음로12한옥카페,4.4,서울 성북구 길음로 12 1층,02-909-1222
디졸브,4.2,서울 성북구 화랑로42길 40,02-963-6077
파도의숲,,서울 성북구 삼선교로24길 40 1층,010-2332-2754
스타벅스 월곡역점,3.7,서울 성북구 화랑로 76 1층 101-1호,1522-3232
스타벅스 고대점,3.1,서울 성북구 고려대로24길 51 1층 & 2층,1522-3232
스타벅스 장위뉴타운점,3.8,"서울 성북구 장월로38길 4 1,2층",
스타벅스 미아점,4.3,서울 성북구 동소문로 314,1522-3232
369마실,5.0,서울 성북구 삼선교로4가길 13-1 1층,02-747-2343
바스크,3.2,서울 성북구 삼양로9길 10-2 1층,02-941-5168
아케미,4.8,서울 성북구 창경궁로 318 제이에스원 혜화 1층 101호,02-3675-0010
카페스윗 정릉점,5.0,서울 성북구 보국문로 37 1층,0507-951-4039
서울노마드,4.2,서울 성북구 동소문로11길 5,02-921-8049
커피빈 한성대입구역점,4.0,서울 성북구 삼선교로 12 1층,02-766-7951
커피빈 고대안암역점,3.3,서울 성북구 개운사길 8 타이거빌딩 1층,02-953-6652
코지밀브런치카페,,서울 성북구 동소문로26길 6 1층,070-7690-7728
피카커피,4.2,서울 성북구 고려대로30길 29,02-6339-3537
삼청각 동백헌,4.7,서울 성북구 대사관로 3,1661-5674
다옴룸카페,4.5,서울 성북구 동소문로20길 29-18 3층,02-922-8898
카페256,3.2,서울 성북구 성북로26길 13,
모던양갱집,3.8,서울 성북구 보국문로16길 72 1층,
플랜티안암브런치카페,3.4,서울 성북구 안암로 25 1층,02-953-8387
커피로스터스 숲,5.0,"서울 성북구 보국문로 180 1, 2층",0507-1306-9343
스타벅스 삼선교점,4.0,서울 성북구 동소문로 10 1~2층,1522-3232
투썸플레이스 돌곶이역점,4.3,"서울 성북구 화랑로 237 1층 6,7호",02-6953-9223
커피나무 성신여대점,3.6,"서울 성북구 보문로30길 79 1,2층",02-922-1672
리이케커피,4.0,서울 성북구 보문로34가길 24 1층,010-7173-1965
메가MGC커피 고대점,2.6,서울 성북구 고려대로27길 15 1층,02-924-7290
카페모모,3.0,"서울 성북구 동소문로20가길 28 1,2층",02-924-6114
실라커피,2.5,서울 성북구 성북로 39 1층 101호,02-763-0134
제뉴어리피크닉,3.7,서울 성북구 창경궁로43길 26,
카페 그레테,3.3,서울 성북구 보국문로 87-6,02-941-1633
설빙 서울고대점,4.5,서울 성북구 고려대로24길 14 2층,070-8231-5157
설빙 성신여대점,2.5,"서울 성북구 동소문로22길 36 2, 3층",070-4127-9230
어나더에이치,3.5,서울 성북구 장월로1길 56-9,02-6082-2819
킨폭스커피,4.1,서울 성북구 보국문로 87-22,
메가MGC커피 정릉중앙점,3.8,"서울 성북구 솔샘로 33 아이콘스타 1층 101,102호",02-943-8417
커스텀커피 길음센터피스점,4.3,서울 성북구 동소문로47길 22 금강에뜨레빌딩 1층 101호,02-986-4802
스타벅스 고대안암병원점,3.8,서울 성북구 고려대로 73 안암병원 제1주차장 3층 근린생활시설,1522-3232
메가MGC커피 정릉역점,3.0,서울 성북구 아리랑로19가길 4 102호,02-909-5209
누하주,4.6,서울 성북구 창경궁로43길 17 1층,010-6830-4987
슬로미,4.7,서울 성북구 동소문로32길 7-3 위더스빌 가동 지하1층,02-921-3652
투썸플레이스 월곡역 코업스타점,4.1,"서울 성북구 화랑로 76 코업스타클래스 1층 105-2,106호",02-6956-2000
메가MGC커피 성신여대점,3.1,서울 성북구 동소문로22길 47 1층,02-929-3565
성북동콩집,4.3,서울 성북구 성북로 58,070-7594-5139
성북로,,"서울 성북구 성북로28길 10 지하1층,1,2층",02-747-0570
카페오드마인드,4.5,서울 성북구 월곡로18나길 1 1층,070-8868-3582
키웨스트커피,3.9,서울 성북구 보국문로16길 2,070-8846-3353
펠어커피 성신여대점,4.5,서울 성북구 동소문로17길 17 1층,02-922-3848
메가MGC커피 돈암한신점,3.6,서울 성북구 성북로4길 52 한신한진아파트상가 417동 1층 1101호,02-928-1253
카페테인,3.4,서울 성북구 솔샘로1길 19 1층,070-8950-0112
메가MGC커피 길음뉴타운점,3.1,서울 성북구 길음로 33 길음뉴타운상가 B동 지2층 11호,02-909-1123
노르웨이의숲,4.1,서울 성북구 고려대로13길 55 1층 101호,02-921-0968
황금사탕,4.6,서울 성북구 종암로9길 8-10,02-953-0357
멜랑슈에스프레소,4.3,서울 성북구 아리랑로2길 5 1층,010-8483-0577
빽다방 성신여대입구역점,4.5,서울 성북구 동소문로20나길 3 1층,02-928-4618
이디야커피 석계중앙점,3.7,서울 성북구 화랑로40길 61 1층,02-963-2009
커피하우스반달,3.7,서울 성북구 장월로23길 5-10 1층,
소일,4.1,서울 성북구 보문로32길 40 1층,02-929-5571
VVS뮤지엄,,서울 성북구 동소문로26길 9 동선동근린생활시설 1층,010-4741-4002
시저지,4.7,서울 성북구 화랑로32길 59,070-4042-9074
드뷰,4.1,서울 성북구 화랑로13길 79-2 1층,
하루떡,4.3,서울 성북구 성북로 53,02-6396-4775
뿡어당,4.8,서울 성북구 보문로34길 94 102호,0507-1381-2796
투썸플레이스 종암점,3.1,"서울 성북구 종암로 103 1,2층",02-2038-7699
번트,4.2,서울 성북구 고려대로 19 1층,
페인트커피&바,4.1,서울 성북구 성북로5길 6 1층,
마온,4.7,서울 성북구 보문로21길 34 1층,
설빙 월곡역점,3.2,서울 성북구 화랑로11길 27 정우빌딩 2층,02-943-4811
메가MGC커피 보문역점,5.0,"서울 성북구 보문로 124 1층 1,2호",02-929-1003
카페그냥그냥,4.4,서울 성북구 아리랑로5길 151,02-943-1579
투썸플레이스 고대참살이길점,4.2,서울 성북구 고려대로26길 42-15 1~3층,070-4112-1101
언더워터 커피 로스터스,4.7,서울 성북구 고려대로6길 48 2층,010-2052-8488
셜록홈즈 성신여대점,2.5,서울 성북구 동소문로22길 15 4층,02-929-8870
슬로카페달팽이,4.4,서울 성북구 솔샘로18길 84,
보리수,4.6,서울 성북구 고려대로8길 25 1층,
투썸플레이스 고려대법학관점,3.1,서울 성북구 안암로 145,02-927-2379
프린트카페 국민대점,5.0,서울 성북구 솔샘로 7,
오름1077,2.9,서울 성북구 삼양로2길 6-6 1층,02-985-1077
나아,4.7,서울 성북구 성북로18길 13 1층,02-6408-6318
스타벅스 미아이마트,3.8,서울 성북구 도봉로 17,1522-3232
스틸커피,4.8,서울 성북구 고려대로8길 23 1층,
스페셜커피넘버원 동덕여대점,5.0,서울 성북구 화랑로11길 23-10 1층,02-913-0077
메가MGC커피 정릉시장점,3.1,서울 성북구 보국문로 36 1층,02-941-6860
메가MGC커피 월곡역점,3.6,서울 성북구 화랑로13길 7 1층,02-943-8640
혜화문아래,4.1,서울 성북구 창경궁로43길 16 1층,02-733-9901
공유,4.8,서울 성북구 보문로18길 10 1층,010-9689-2209
메가MGC커피 하월곡동점,1.4,서울 성북구 오패산로3길 3 홍진빌딩 1층,02-943-1003
카페 오비스포,4.5,서울 성북구 안암로3길 41 윤호빌딩 1층,010-7143-9621
읍천리382 정릉점,3.4,서울 성북구 정릉로 251 명성빌딩 1층 101호,02-909-3820
먼셀커피 미아점,3.8,서울 성북구 동소문로44길 43 101동 101호,02-3292-9955
성북동350,0.0,서울 성북구 성북로31길 84,02-3673-1087
카페차이 장위뉴타운점,4.8,서울 성북구 돌곶이로 211,070-4295-0036
달콤한공간,3.8,서울 성북구 한천로78길 67 2층,
프럼크릭,4.9,서울 성북구 성북로 149-1,010-5235-4628
레이크웨이브,4.7,서울 성북구 삼선교로14길 20 1층,0507-1367-9355
치코커피,4.7,서울 성북구 장월로1라길 13 2층,02-6956-7592
37.5 미아점,3.1,서울 성북구 동소문로43가길 35 성진교회 지하1층 103호,02-987-3705
공차 고대안암점,2.4,서울 성북구 고려대로24길 17 1층,
카페안암동,4.3,서울 성북구 고려대로22길 5 1층 카페 안암동,0507-1404-0724
카페지오 성신여대점,,서울 성북구 동소문로24길 46,02-953-1277
스타벅스 현대미아점,3.8,서울 성북구 길음동 20-5 지하 1층,1522-3232
커피해빗,4.7,서울 성북구 성북로 53-27 1층,02-6465-4674
아틀리에하모니,,서울 성북구 보문로 77-1 1층,02-6082-7771
컴포즈커피 안암성북천점,2.5,서울 성북구 고려대로7길 74 1층,010-8743-5755
갤러리커피하우스,3.2,서울 성북구 성북로31길 5 리홀아트갤러리 1층,02-336-6878
플레이스엔,4.2,서울 성북구 정릉로 77 복지관 2층,02-910-5238
빽다방 안암역점,4.6,서울 성북구 고려대로27길 6 1층,02-925-3246
행복하개키울고양 보문센터,4.5,서울 성북구 고려대로11길 24 2층,0507-1326-3828
스테이138,5.0,서울 성북구 창경궁로35다길 138 1층,0507-1428-6226
참좋다,3.0,서울 성북구 성북로10가길 8-4 한스빌 1층,
유즈리스어덜트,,서울 성북구 보문로18길 25 1층,070-4085-7003
베이키숍,4.4,서울 성북구 월계로 80 1층,070-4027-8177
정만빙수 고대2호점,4.4,서울 성북구 고려대로24가길 12 2층,
메가MGC커피 종암사거리점,2.4,"서울 성북구 종암로27길 13 도원프라자 1층 103,104호",02-928-3035
메가MGC커피 석관점,3.2,서울 성북구 돌곶이로 27 1층,02-960-7707
카페뮬 보문점,5.0,서울 성북구 보문로 78 브라운홈스 1층 103호,02-922-9785
빽다방 월곡역점,3.0,서울 성북구 화랑로 91 동원빌딩 1층,02-6369-2666
이디야커피 고대점,1.8,서울 성북구 고려대로24길 35 1층,02-921-7780
컴포즈커피 길음롯데캐슬클라시아점,4.0,서울 성북구 숭인로8길 80 롯데캐슬클라시아 상가동 지하1층 111호,
어버드커피 상월곡점,3.4,"서울 성북구 화랑로 177-1 1,2층",
