name,degree,address,tel
커피별녹색잔,4.6,서울 양천구 목동로21길 26,02-2696-3337
카페제하,4.5,서울 양천구 목동동로 177 삼성쉐르빌2차 1층,
스타벅스 신월IC DT점,3.5,서울 양천구 남부순환로 430,1522-3232
도쿄빙수 오목교역점,3.7,서울 양천구 오목로 328 1층,02-2644-6568
스타벅스 신정DT점,3.2,서울 양천구 신월로 341,1522-3232
제이브라운 목동점,3.0,서울 양천구 오목로 354 목동센트럴푸르지오 101동 101호,
하니앤손스,4.9,서울 양천구 신목로2길 68 오목빌딩 1층 107호,02-2651-8989
패닉이스케이프 목동지점,1.6,서울 양천구 신정중앙로 96 4층,02-6408-5044
브런치빈 목동점,,서울 양천구 목동동로 233-3 삼성화재서비스빌딩 1층 102호,02-2648-8001
스타벅스 오목교역점,4.3,서울 양천구 오목로 354,1522-3232
카페꼬숩,4.8,서울 양천구 신목로4길 1,02-2653-2249
퍼블릭맨션,4.4,서울 양천구 등촌로 154 1층,02-2654-6695
스타벅스 목동8단지점,3.9,서울 양천구 목동서로 299,1522-3232
커피집 이공,4.8,서울 양천구 오목로 204 2층,
스타벅스 목동역점,4.3,서울 양천구 목동로 203,1522-3232
커피그레이드,4.9,서울 양천구 중앙로51길 71,
파티세리소나 2호점,4.6,"서울 양천구 신목로12길 8 1,2층",02-6404-4454
스타벅스 등촌역점,4.1,"서울 양천구 공항대로 566 1,2층",1522-3232
이디야커피 오목교대학학원점,3.8,서울 양천구 오목로 319 1층,02-2651-0511
빵의시간,4.3,서울 양천구 목동중앙북로12길 41 1층,
카페올리,4.6,서울 양천구 오목로4길 15 1층,
비엔나커피하우스 목동7단지점,3.4,서울 양천구 목동서로 211 1층,
스타벅스 목동점,3.6,서울 양천구 목동서로 67,1522-3232
스타벅스 목동10단지점,4.7,서울 양천구 목동서로 401,
카페아리네,4.6,서울 양천구 목동동로 222-11 카페 아리네,02-2648-5735
스타벅스 신월동DT,4.6,서울 양천구 남부순환로 319,1522-3232
