name,degree,address,tel
카페마노 서울역점,0.0,서울 용산구 청파로 378 서울역 공항철도 지하2층,
에이그레이트카페 서울역아스테리아몰점,1.0,서울 용산구 한강대로 372 KDB생명타워 지하1층,
N서울타워 N스위트바,5.0,서울 용산구 남산공원길 105 5층,02-3455-9255
엘카페커피로스터스,4.1,서울 용산구 후암로 68 지하1층 1호,070-8269-0715
카페드누시,3.9,서울 용산구 소월로2길 17 1층,02-318-2437
액션PC카페 후암동점,4.0,서울 용산구 후암로 46 3층,
카페후암동,4.4,서울 용산구 후암로 33 1층,0507-1311-8232
딩동카페,1.0,서울 용산구 청파로 378 2층,
카페 콤포트,3.7,서울 용산구 두텁바위로60길 45 4층,02-6324-0624
카페델피니,5.0,서울 용산구 두텁바위로69길 29 몬테피오레 상가 1층 비101호,0507-1304-6490
카페본,0.0,서울 용산구 청파로93길 15,02-6013-2345
다니다카페,3.0,서울 용산구 청파로 361 1층,02-338-3254
카페363,5.0,서울 용산구 청파로 363,
나사렛카페,5.0,서울 용산구 한강대로 369,
엔테라스 카페,5.0,서울 용산구 남산공원길 105,
