name,degree,address,tel
어니언 안국,3.5,서울 종로구 계동길 5,070-7543-2123
노티드 안국,3.5,서울 종로구 북촌로 6-3 1층,070-7755-9377
테라로사 광화문점,4.0,서울 종로구 종로1길 50 더케이트윈타워 B동 1층,1668-2764
산모퉁이,3.1,서울 종로구 백석동길 153,02-391-4737
포비 광화문점,4.3,서울 종로구 종로3길 17 광화문D타워 1층 21호,02-2251-8125
아키비스트,3.9,서울 종로구 효자로13길 52 1층,02-738-1517
학림다방,4.2,서울 종로구 대학로 119 2층,02-742-2877
스태픽스,3.3,서울 종로구 사직로9길 22 1층 102호,010-2243-2712
프리츠 원서점,3.1,서울 종로구 율곡로 83 1층,02-747-8101
개뿔,4.0,"서울 종로구 낙산성곽서1길 26 1,2층",02-765-2019
나무사이로,4.0,서울 종로구 사직로8길 21 1층,070-7590-0885
카페레이어드 안국점,,서울 종로구 북촌로2길 2-3 1층,116
청수당 베이커리,3.6,서울 종로구 돈화문로11나길 31-9,
카페하이웨스트 익선점,,서울 종로구 돈화문로11다길 18 1층,116
포비브라이트 광화문점,4.2,서울 종로구 새문안로 76 콘코디언빌딩 1층,02-6744-0120
도트블랭킷,4.1,서울 종로구 윤보선길 22 1층,0507-1431-2226
반쥴,4.2,서울 종로구 삼일대로17길 23 3~5층,02-735-5437
대충유원지 인왕산,3.7,서울 종로구 필운대로 46 무목적빌딩 4층,070-7807-5640
라카페갤러리,4.7,서울 종로구 자하문로10길 28 1층,02-379-1975
부빙,4.0,서울 종로구 창의문로 136,02-394-8288
결,4.2,서울 종로구 우정국로 26 센트로폴리스 1층,02-6370-5840
카페이마,3.4,서울 종로구 세종대로 152 일민미술관 1층,02-2020-2088
뜰안,4.3,서울 종로구 수표로28길 17-35,02-745-7420
헤이커피,4.3,서울 종로구 대학로11길 19-4 1층,070-8811-0209
서울서둘째로잘하는집,4.0,서울 종로구 삼청로 122-1,02-734-5302
한옥찻집,4.1,서울 종로구 인사동12길 9,
내자상회,4.0,서울 종로구 사직로10길 3 1층,070-7755-0142
클럽에스프레소,,서울 종로구 창의문로 132,02-764-8719
가배도 삼청점,3.4,서울 종로구 북촌로5길 56-8 101호,02-732-4542
제이히든하우스,3.0,서울 종로구 종로 269-4 1층,02-744-1915
더숲초소책방,3.5,서울 종로구 인왕산로 172,02-735-0206
도토리가든 안국점,3.2,서울 종로구 계동길 19-8 1층,0507-1476-1176
애즈라이크,3.9,서울 종로구 효자로7길 23 1층,02-722-9994
블루보틀 삼청 카페,3.4,서울 종로구 북촌로5길 76 1~3층,1533-6906
커피스트,4.3,서울 종로구 경희궁길 39 1층,02-725-5557
스타벅스 종로R점,4.3,서울 종로구 종로 51 1층,1522-3232
미어캣파크 혜화점,,서울 종로구 대학로10길 12 6층,02-762-7201
커피한약방 혜화점,4.3,서울 종로구 동숭2길 9,070-4200-4242
KOTTON SEOUL,4.3,서울 종로구 인사동12길 17 1층,02-737-5865
카페온화 익선점,2.5,서울 종로구 수표로28길 21-10,
동백양과점 익선점,2.2,서울 종로구 수표로28길 17-24,02-3144-0429
천년동안도 종각,4.2,"서울 종로구 삼일대로15길 6 지하 1, 2호",010-8242-0117
칠린,3.7,서울 종로구 대학로11길 41-8 1층,
더피아노,2.9,서울 종로구 평창6길 71 1층,02-395-2480
스타벅스 광화문점,3.3,서울 종로구 세종대로 167 현대해상본사사옥 별관내,1522-3232
코피티암커피 경복궁점,3.4,서울 종로구 자하문로4길 7,070-7670-8837
사직커피,4.4,"서울 종로구 사직로 49-4 1, 2층",070-7722-1171
대오서점,2.9,서울 종로구 자하문로7길 55,
카페키이로,3.8,서울 종로구 창경궁로26길 41-3 2층,02-747-0848
더쌍화,4.5,서울 종로구 종로 252-16 1층,070-5101-7755
식물,4.0,서울 종로구 돈화문로11다길 46-1 1층,02-742-7582
인텔리젠시아커피 서촌점,3.2,서울 종로구 자하문로 34 1층,
mk2,3.1,서울 종로구 자하문로10길 17,
빌리엔젤 대학로점,3.2,서울 종로구 대학로10길 24 스타리움빌딩 1층,070-5051-8136
스펙터,,서울 종로구 필운대로6길 23-1 1층,010-8314-4576
그린마일커피 북촌점,,서울 종로구 북촌로 64,02-744-2404
마띠에르,,서울 종로구 대학로11길 41-6 1층,02-745-9717
호아드카페&갤러리,3.4,서울 종로구 율곡로1길 54-3,02-725-1204
헤르만의정원,3.7,서울 종로구 자하문로7길 62,02-737-9220
서화커피,3.9,서울 종로구 대학로9가길 8,070-7543-9201
테르트르카페,2.5,서울 종로구 낙산5길 46 3~5층,02-742-5689
베어,3.6,서울 종로구 자하문로24길 24,
카페다오,4.2,서울 종로구 대학로14길 19,02-745-5560
플리퍼스 익선점,2.9,서울 종로구 수표로28길 31 1층,02-766-2526
텅,4.4,서울 종로구 율곡로 82 7층 701호,02-766-1933
아티스타,4.7,서울 종로구 대학로8가길 129 1층,02-763-1150
가비아노,4.5,서울 종로구 대학로 122 흥사단건물 2층,02-743-0794
카페낙타,4.3,"서울 종로구 낙산5길 51 창신숭인 채석장전망대 2,3층",
제비꽃다방,4.2,서울 종로구 창의문로 146,02-379-2741
펠트커피 광화문점,3.5,서울 종로구 종로3길 17 b2층,02-2251-8010
스타벅스 종로3가점,2.9,서울 종로구 종로 113-1 1~4층,1522-3232
익선주택,3.2,서울 종로구 수표로28길 17-33,
카페드람브르,4.0,서울 종로구 종로 80 2층,02-730-4306
타스카페,4.3,서울 종로구 동숭길 117,
스모어마켓 토이하우스2,4.5,"서울 종로구 율곡로3길 74-3 1,2층",
회화나무,3.7,서울 종로구 창덕궁길 35 3층,02-795-3500
셜록홈즈 대학로점,3.8,서울 종로구 대학로10길 5 4층,02-2277-0198
스타벅스 안국점,3.5,서울 종로구 북촌로 5-1,1522-3232
더마틴,3.9,서울 종로구 자하문로 54-1 1층,02-738-2299
오얏꽃,3.1,서울 종로구 돈화문로11다길 15,02-762-8233
투썸플레이스 광화문점,3.5,서울 종로구 새문안로 85,02-734-2368
스타벅스 인사점,3.3,서울 종로구 인사동길 14,1522-3232
스타벅스 경복궁역점,3.8,서울 종로구 자하문로4길 6 1층,1522-3232
카페 에무,4.5,서울 종로구 경희궁1가길 7 1층,02-730-5604
소하염전,3.5,서울 종로구 수표로28길 21-5,0507-1353-8215
티테라피 행랑점,4.6,서울 종로구 윤보선길 74 1층,02-730-7507
평창동의 봄 카페,3.9,서울 종로구 평창20길 41 1층,02-395-4920
어니언 광장시장,3.1,서울 종로구 청계천로 215 1층,070-4488-3317
사직동그가게,4.4,서울 종로구 사직로9길 18,070-4045-6331
카페종로시장,4.1,서울 종로구 우정국로2길 10 1층,02-732-1452
스페이스코르,4.2,서울 종로구 대학로 19 1층,
블루보틀 광화문 카페,3.9,서울 종로구 청계천로 11 청계한국빌딩 1층,1533-6906
치즈인더스트리,3.3,서울 종로구 수표로28길 33-7 1층,
카페효제눅,4.7,서울 종로구 창경궁로16길 69 1층,02-742-3161
스타벅스 주얼리시티점,3.6,서울 종로구 종로 183 주얼리시티 1층,1522-3232
미스터힐링 종각역점,3.5,서울 종로구 종로 62-1 삼목빌딩 4층,02-723-5599
통의동단팥,4.4,서울 종로구 자하문로 20-1,02-722-0044
투썸플레이스 종로3가역점,1.6,서울 종로구 수표로 106,02-742-1008
삼청빙수,3.7,서울 종로구 삼청로 84-1,02-720-8233
일월일일,4.3,서울 종로구 창경궁로 231 2층,02-747-0887
카페골목숲,2.2,"서울 종로구 삼청로 86-3 1, 2층",070-4250-1664
라디오엠 삼청점,2.6,"서울 종로구 삼청로2길 37-2 1,2층",02-737-4669
번트 서울,3.4,서울 종로구 청계천로 155 1~3층,
미스터힐링 대학로점,4.8,서울 종로구 대학로8가길 66 2층,02-766-1189
