name,degree,address,tel
라라브레드 송파점,,"서울 송파구 오금로16길 4 지하1층, 1,2층",1800-1990
뉴질랜드스토리,4.3,서울 송파구 석촌호수로 268 경남레이크파크 1층,070-7523-6265
뷰클런즈,4.1,서울 송파구 백제고분로43길 10 1층,070-4065-4860
커피바이 로스터스,3.9,서울 송파구 백제고분로17길 56 2층,02-415-4153
앙떼띠 잠실점,3.9,"서울 송파구 올림픽로 342 아울타워 1,2층",02-420-7410
프로퍼커피바,3.5,서울 송파구 위례성대로22길 6 유진빌딩 1층,02-3401-0703
젠젠 잠실점,3.3,서울 송파구 백제고분로45길 34 동방빌딩 2층,02-412-7240
홍팥집 오금점,4.0,서울 송파구 성내천로 77 1층,02-430-6577
위커파크,3.8,서울 송파구 석촌호수로 298 잠실대우레이크월드 103-1호,010-2942-0447
디트로네 잠실점,3.2,서울 송파구 석촌호수로 258 아르누보팰리스 1층 105호,02-422-5021
카페이클립스,4.1,서울 송파구 송파대로49길 52 나인파크A 201호,010-7147-0401
코히루,4.1,서울 송파구 오금로 148 2층 202호,070-8834-5252
터치183,3.8,서울 송파구 위례성대로 126,0507-1409-1500
잉클링,4.4,서울 송파구 양재대로60길 3-5 보우빌딩 1층,02-565-5194
팻어케이크,,서울 송파구 백제고분로45길 9 2층,
카페로드 방이점,4.6,서울 송파구 위례성대로16길 14 1층 2호,010-8426-7970
오린지,3.0,서울 송파구 송파대로48길 19 1층,
리프레쉬커피,4.4,서울 송파구 중대로 298 금웅빌딩 1층,02-400-0910
앤티크커피 잠실점,3.8,서울 송파구 백제고분로41길 21-16 1층,
디저티스트,4.1,서울 송파구 송파대로48길 37 호수임광아파트상가 2층,
호이안로스터리 1호점,4.2,서울 송파구 법원로 128 SKV1 GL빌딩 B동 115호,02-527-8929
스타벅스 석촌호수점,3.9,서울 송파구 석촌호수로 262 1~3층,1522-3232
카페드로잉,1.9,서울 송파구 송파대로 111 파크하비오 202동 1층 166~170호,
브런치빈 송파점,,서울 송파구 가락로 70 2층,02-418-6999
에브리데이몬데이,4.1,서울 송파구 송파대로48길 14,02-416-0307
진저베어,,서울 송파구 백제고분로41길 43-7 1층,
디어블라썸커피,4.3,서울 송파구 올림픽로12길 23 1층,02-6014-4619
비엔나커피하우스 잠실역점,,"서울 송파구 올림픽로 293-19 현대타워아파트 1층 101, 101-1,101-3호",02-425-1683
스타벅스 잠실새내역점,3.6,서울 송파구 올림픽로 96 1층,1522-3232
스타벅스 잠실역점,4.1,"서울 송파구 송파대로 562 웰리스타워 1,2층",1522-3232
페이지,4.3,서울 송파구 동남로4길 35 자양빌딩 1층 101호,02-402-3702
카페그리너티,4.7,서울 송파구 풍성로23길 17 1층,010-2992-1691
스타벅스 송파나루역DT점,3.6,서울 송파구 오금로 142,1522-3232
정원이있는국민책방 송파점,4.4,서울 송파구 가락로21길 8,
엔제리너스 석촌호수DI점,3.5,서울 송파구 석촌호수로 224 1층,02-3431-7590
이낙근찹쌀떡베이커리 오금본점,2.4,서울 송파구 중대로 316 지하1층~4층,02-423-4082
르쉬드서울,3.9,서울 송파구 위례성대로12길 18 수빌딩 1층 2호,02-476-9168
밀파니 베이커리카페,4.1,"서울 송파구 위례서로 273 밀파니빌딩 1,2층",02-406-0810
설빙 서울석촌호수동호점,3.3,서울 송파구 석촌호수로 278 여흥레이크빌 1층,02-3432-7555
스타벅스 문정역점,3.9,서울 송파구 송파대로 167,1522-3232
스타벅스 송파방이DT점,3.6,서울 송파구 오금로 241,1522-3232
스타벅스 아시아선수촌점,3.0,서울 송파구 백제고분로 69 애플타워 1층,1522-3232
스타벅스 석촌서호점,3.4,서울 송파구 석촌호수로 176 1층,1522-3232
마운틴누크,4.0,"서울 송파구 백제고분로45길 32 빌드원빌딩 2,3층",070-4770-1717
프로퍼커피바 2호점,3.8,서울 송파구 오금로31가길 20 1층,02-417-0703
노티드월드 잠실롯데월드몰,3.4,서울 송파구 올림픽로 300 5층,070-8873-9377
르봉마리아쥬,4.4,서울 송파구 올림픽로 417 1층,02-790-6718
투썸플레이스 송파구청사거리점,2.7,서울 송파구 오금로 81 씨젠송파빌딩 1층,02-6084-5575
세라젬웰카페 서울잠실직영점,4.7,서울 송파구 석촌호수로 172 1층,02-419-0325
카페시나몬,4.2,서울 송파구 석촌호수로 258 아르누보팰리스 101호,02-6485-8809
제이바웃커피,,서울 송파구 송파나루길 206 2층,02-424-1515
스타벅스 잠실시그마타워점,3.8,서울 송파구 올림픽로 289,1522-3232
카페페퍼,3.5,서울 송파구 백제고분로45길 12 2층,02-421-0514
투썸플레이스 잠실역점,2.8,서울 송파구 올림픽로35다길 32 예전빌딩 1층,02-3431-9633
셜록홈즈 잠실2호점,3.7,서울 송파구 백제고분로7길 31 4층,02-418-0153
써니사이드,3.1,서울 송파구 동남로18길 34,02-3401-7442
