name,degree,address,tel
맥심플랜트,4.3,서울 용산구 이태원로 250,070-4287-8557
차마시는뜰,4.4,서울 용산구 녹사평대로46길 92 삼호빌라 지하 0호,010-9680-0688
앤트러사이트 한남점,3.6,서울 용산구 이태원로 240 1~3층,02-797-7508
동빙고,3.9,서울 용산구 이촌로 319,02-794-7171
오츠커피,4.4,서울 용산구 원효로89길 13-12,
콩카페 이태원점,4.3,"서울 용산구 녹사평대로 168-8 1,2층",
인바이티드,,서울 용산구 한강대로52길 41,02-794-3332
오아시스 한남점,3.0,"서울 용산구 이태원로45길 30 1,2층",02-790-8906
테라로사 한남점,4.1,서울 용산구 이태원로36길 15 카프리빌딩 1층,1668-2764
르몽블랑,4.1,서울 용산구 신흥로 99-4 1층,070-8887-8200
챔프커피 2작업실,3.8,서울 용산구 녹사평대로26가길 24 1층,02-790-4516
엔다이브한남,3.1,서울 용산구 이태원로54길 52-2 1층,02-794-3334
더로열푸드앤드링크,,서울 용산구 신흥로20길 37 1층,070-7774-4168
트래버틴,3.4,서울 용산구 한강대로7길 18-7,070-8862-6003
써머레인,3.1,서울 용산구 이태원로55가길 49 1층,02-792-8114
도토리 용산점,3.4,서울 용산구 한강대로52길 25-6 1층,02-797-0225
엘카페커피로스터스,4.1,서울 용산구 후암로 68 지하1층 1호,070-8269-0715
카키바움,3.3,서울 용산구 한강대로52길 29 1~3층,02-790-6275
레인리포트,3.8,"서울 용산구 소월로40길 85 1,2층",
원인어밀리언,3.1,서울 용산구 이태원로54길 31 지하1층,02-794-2414
키에리 이태원점,,서울 용산구 이태원로26길 16-8 1층,
포컬포인트,4.4,서울 용산구 청파로 387,02-6953-0338
헬카페스피리터스,3.4,서울 용산구 이촌로 248 한강맨션 31동 208호,070-7612-4687
때가이르매 숙대점,2.7,서울 용산구 두텁바위로 8 4층,070-4320-8495
타자기,4.1,서울 용산구 신흥로 97-5 2층,010-4445-8918
오잇(OEAT),4.2,서울 용산구 신흥로 95 건물전체,02-2088-3702
팬케익오리지널스토리 한남점,3.6,서울 용산구 독서당로 67,02-794-0508
북파크라운지,3.8,서울 용산구 이태원로 294 블루스퀘어 3층,070-7770-0539
무진장,4.1,서울 용산구 녹사평대로 168-18 1층,
K212,2.6,서울 용산구 녹사평대로26길 36 1층,02-749-2954
한남작업실,3.4,서울 용산구 이태원로55나길 7 1층,02-792-5620
한남베르그,4.1,서울 용산구 이태원로54길 58-26 1층,02-790-1750
컴컴 베이커리카페,3.2,서울 용산구 한강대로44길 14 커뮤니크빌딩 1층,02-788-7365
서울앵무새 용산점,3.0,서울 용산구 한강대로62길 55 평복빌딩 1~3층,02-797-0515
바마셀,4.5,서울 용산구 원효로89길 12,
스타벅스 용산역써밋R점,3.7,서울 용산구 한강대로 69,1522-3232
33아파트먼트,3.7,서울 용산구 한남대로27길 33 1층,02-794-0033
헬카페,3.3,서울 용산구 보광로 76,
서울루덴스,2.0,서울 용산구 회나무로 69 2층,02-795-4151
몬스터플레이스,4.4,서울 용산구 청파로43길 70 지하1층,02-6402-5404
브랑쿠시,3.4,서울 용산구 새창로 104 1층,070-4466-9371
