name,degree,address,tel
1인1잔,3.7,"서울 은평구 연서로 534 1,2층",02-355-1111
YM커피프로젝트,4.6,서울 은평구 연서로29길 21-8 1층,070-7767-0829
롱브레드 은평한옥마을점,3.2,"서울 은평구 연서로 530 1, 2층",02-352-7290
근린커피,3.6,서울 은평구 응암로21길 23,070-7715-5300
카페뤽상부르,3.9,"서울 은평구 연서로25길 6-11 1, 2층",02-385-2846
스타벅스 더북한산점,3.8,서울 은평구 대서문길 24-11,1522-3232
플로,4.5,서울 은평구 서오릉로 20-1 1층,02-355-4862
휴가,3.7,서울 은평구 진관2로 19 휴먼프라자 3층,02-352-7400
카페309,4.2,서울 은평구 의상봉길 56-16 의상빌딩 1~3층,
카페아사,4.5,서울 은평구 불광천길 338 2층,070-4950-2577
치즈당,4.6,서울 은평구 통일로83길 5-4 1층,02-356-8305
스타벅스 은평구청입구점,4.4,서울 은평구 은평로 170 상현빌딩 1층,1522-3232
알키미스타,3.9,서울 은평구 응암로9길 24 1층,02-6104-5803
823m,3.5,서울 은평구 연서로29길 21-9 1층,02-2088-1823
스타벅스 진관DT점,3.7,서울 은평구 연서로 645,
폴스타베이커스,4.3,서울 은평구 서오릉로 256 1~3층,02-6941-0256
스타벅스 불광역점,4.4,서울 은평구 통일로 715 1층,1522-3232
스타벅스 새절역점,4.2,서울 은평구 증산로 371,1522-3232
제이츠커피브루어스,4.2,서울 은평구 연서로25길 20-3 1층,070-8822-3375
커피생각,4.2,서울 은평구 불광천길 420 1층,02-302-1400
플럽커피,3.7,서울 은평구 연서로29길 7-11 3층,
카페메이트,4.3,"서울 은평구 진흥로 85 1,2층",02-356-7972
탐나도다,4.5,서울 은평구 통일로83길 5-14,02-384-9292
명금탕,4.2,서울 은평구 진관길 5 1층,02-739-0394
온도차,4.8,서울 은평구 녹번로 74 1층,070-8861-6622
북한산큰숲제빵소,3.9,서울 은평구 북한산로 271-3,02-2267-9001
스타벅스 연신내역사거리점,3.9,서울 은평구 통일로 842,1522-3232
이일삼점,4.9,서울 은평구 응암로21가길 27 1층,02-356-7312
스타벅스 구파발역점,3.9,서울 은평구 진관2로 12 메이플카운티 2차 113~116호,1522-3232
코피티암,3.5,"서울 은평구 연서로27길 7-1 1,2층",070-7738-7788
스타벅스 연신내점,4.3,서울 은평구 통일로 867,1522-3232
할리스 연신내점,3.2,서울 은평구 연서로 212 1~3층,02-388-3977
스타벅스 구산역점,3.3,서울 은평구 연서로 146,1522-3232
로즈드마이,,서울 은평구 가좌로 192 상가 1층,02-303-4670
선과점,4.0,서울 은평구 갈현로7가길 11 1층,
파브스커피로스터스,4.6,서울 은평구 증산로15가길 15 1층,070-7755-6164
지브릭커피 본점,4.3,서울 은평구 연서로48길 12 513동 상가 101호,02-517-1474
와이엠에스프레소룸,4.5,서울 은평구 진관3로 67 래미안9단지 상가동 1층 101호,070-7767-0829
스위츠마인,4.5,서울 은평구 은평로3길 24 제이엠뷰 1층,010-6681-9891
투썸플레이스 연신내점,,"서울 은평구 연서로 223 2,3층",02-356-8883
투썸플레이스 은평구청점,2.1,"서울 은평구 은평로 194 더위일 1,2층 103,205호",02-352-1433
투썸플레이스 은평한옥마을점,2.8,"서울 은평구 진관길 7 1,2층",
할리스 북한산DI점,4.1,"서울 은평구 북한산로 248-8 1,2층",02-3157-4843
투썸플레이스 구산역점,4.3,서울 은평구 서오릉로 165 1층 104~106호,02-2135-6993
투썸플레이스 연신내엘피스점,3.9,"서울 은평구 통일로 829 1, 2층",02-383-5925
카페달력,4.5,서울 은평구 연서로18길 28-2 1층,070-7376-0910
탐스커버리 DMC탐스커버리점,2.9,"서울 은평구 수색로 195 1,2층",02-6925-0108
빽다방 빵연구소 북한산성점,4.8,서울 은평구 대서문길 23,02-352-1202
메가MGC커피 연신내역점,3.4,서울 은평구 통일로 855-15 1층,02-353-6051
카페와인드,3.7,서울 은평구 응암로34가길 17,
스타벅스 녹번역점,4.9,서울 은평구 통일로 636 은평미드스퀘어 110~115호,1522-3232
스타벅스 수색점,4.5,서울 은평구 수색로 216 1층,1522-3232
개상전애견카페,4.6,서울 은평구 통일로 727-5 3층,070-4404-1212
스타벅스 구파발사거리점,3.5,서울 은평구 진관3로 21 은평엘크루 101동 105-108호,1522-3232
88스퀘어 서울,4.4,"서울 은평구 연서로 522 1,2층",010-4883-0865
투썸플레이스 은평이마트점,4.6,서울 은평구 은평로 114 1층,02-353-8585
연서의정원,4.0,서울 은평구 연서로 253-7,
비비드칩마카롱,4.3,서울 은평구 통일로75길 6-20,010-9433-5502
알키미스타,4.5,서울 은평구 증산로 251 1층,02-6080-5803
커피빈 응암동점,4.1,"서울 은평구 은평로 121 메디컬빌딩 1,2층",02-389-6283
진관사 연지원,4.2,서울 은평구 진관길 73,
메르시몽프레,3.0,서울 은평구 통일로 870 M타워 지하1층,070-7576-1332
엔제리너스 불광역점,3.3,서울 은평구 통일로 741 신흥빌딩 1층,02-389-9571
스타벅스 은평이마트점,3.1,서울 은평구 은평로 111 1층,1522-3232
세라젬웰카페 은평뉴타운점,4.3,서울 은평구 진관2로 15-34 1층,02-6954-7315
해례커피,4.5,서울 은평구 응암로34길 10 1층 102호,
설빙 서울응암역점,2.6,서울 은평구 은평로 64 2층,02-304-2029
빈버드카페,4.8,서울 은평구 불광로 16 2층,02-386-4737
스페이스헬레나,,서울 은평구 진관길 4 2층,070-4122-1662
취중서가 연신내점,,서울 은평구 통일로 944-1 선호빌딩 1층,010-3069-2066
스타벅스 불광역8번출구점,4.2,서울 은평구 통일로 746,1522-3232
커피디지 응암본점,4.8,서울 은평구 갈현로1길 16-1,02-6084-0095
카페클라츠 연신내점,4.3,서울 은평구 연서로29길 22-38,
프리롤,4.5,서울 은평구 진흥로 201 1층,02-2039-8833
카페 쓸,4.9,서울 은평구 통일로 684 카페 쓸(정문 경비실 앞),010-5066-3954
투썸플레이스 은평뉴타운점,2.5,"서울 은평구 진관3로 20 SW메디컬빌딩 1,2층",02-356-5977
메가MGC커피 불광역점,2.5,서울 은평구 통일로 745 1층 2호,02-356-8444
닷닷닷2,4.5,서울 은평구 연서로27길 21 1층,0507-1353-6773
메가MGC커피 수색자이점,3.5,"서울 은평구 수색로 217 DMC 자이1단지 1층 110, 111호",02-309-3838
카페포크,4.6,서울 은평구 서오릉로 149-17 1층,070-7543-0585
카페크림 새절역점,1.6,서울 은평구 가좌로9길 26 1층,
메가MGC커피 구파발역점,2.4,서울 은평구 진관2로 29-21 드림스퀘어 1층 106호,02-356-7096
메가MGC커피 응암이마트점,4.9,서울 은평구 은평로 98 1층,02-356-6234
오핀 로스터리,,서울 은평구 북한산로 234 1층,031-856-5555
유토피아룸카페,4.8,서울 은평구 연서로27길 16-8 2층,
팥장군,4.1,서울 은평구 연서로 150 1층 3호,02-358-8458
메가MGC커피 불광중앙점,3.4,서울 은평구 통일로 708 1~3층,02-356-9071
투썸플레이스 응암역점,2.0,서울 은평구 은평로 60,
카페다르크,3.3,서울 은평구 불광천길 450 1층,
이디야커피 연신내역점,3.0,서울 은평구 통일로 855-9 1층,02-357-3355
브로슈어,4.7,서울 은평구 갈현로12길 4 1층,070-7622-3144
메가MGC커피 은평신사고개점,4.2,서울 은평구 가좌로 318 1층,02-304-5453
케이크를부탁해 연신내역점,3.7,서울 은평구 연서로29길 8 1층,02-354-5612
이디야커피 응암오거리점,3.0,서울 은평구 응암로 211 1층,02-302-0552
아지트 응암점,5.0,"서울 은평구 증산로 475 2,3층",02-3152-2910
몰댄이넢,4.6,서울 은평구 백련산로14길 7-3 1층,
메가MGC커피 은평대림시장점,3.3,서울 은평구 응암로 174 1층,02-3152-3035
다용도실,5.0,서울 은평구 연서로20길 17 1층,
로맨티카,2.8,서울 은평구 연서로 532 1층,02-6929-3853
산아래카페,1.0,서울 은평구 연서로34길 11,
메가MGC커피 구산사거리점,1.2,서울 은평구 서오릉로 201 1층,02-356-7966
응암동커피,5.0,서울 은평구 가좌로 212-10 1층,010-9526-9325
빽다방 연신내역점,4.2,서울 은평구 연서로29길 6 1층,02-389-2682
시로,4.6,서울 은평구 가좌로10길 14 1층,
알렉스,4.8,서울 은평구 통일로85길 11 1층,010-4202-1590
빽다방 불광역점,2.4,서울 은평구 통일로 738,02-352-3530
엔쓰커피,4.4,서울 은평구 연서로27길 12 효성빌딩 1층,
대림커피,2.6,"서울 은평구 연서로29길 19 금화빌딩 2,3층",010-2253-8116
메가MGC커피 은평뉴타운점,,서울 은평구 진관3로 21 은평뉴타운엘크루 상가 101동 1층 117호,02-356-6590
새시로 역촌점,4.9,서울 은평구 서오릉로7길 14 1층,
메가MGC커피 녹번점,2.8,서울 은평구 은평로 217 1층,02-379-5372
요거프레소 새절역점,3.7,서울 은평구 가좌로 271 위산빌딩 1층 102호,02-304-5982
미스터힐링 연신내역점,5.0,서울 은평구 연서로29길 7-2 3층,02-356-9811
메가MGC커피 은평갈현시장점,4.2,서울 은평구 통일로 901 1층,02-355-8880
티드빗,4.8,서울 은평구 통일로 767 호반베르디움 스테이원 101동 1층 104호,02-353-7671
메가MGC커피 불광연신점,2.3,서울 은평구 연서로 270-1 1층,02-382-7006
빽다방 응암대림시장점,3.5,서울 은평구 응암로 169 1층,02-304-8860
커피리브,5.0,서울 은평구 통일로83길 24 1층,
구름정원,4.9,서울 은평구 불광로18길 32 1층 101호,02-354-5151
산보클럽,4.6,서울 은평구 가좌로11가길 2 1층 2호,0507-1497-8660
메가MGC커피 응암역점,3.9,서울 은평구 은평로 49 1층,02-355-1008
포트캔커피 응암역점,3.0,서울 은평구 은평로8길 18 1층,02-357-2021
보름달카페,5.0,서울 은평구 연서로32길 5-4 1층,
컴포즈커피 은평서부병원점,3.0,서울 은평구 응암로 331 두성빌딩 1층,02-3157-2132
메가MGC커피 새절역점,5.0,서울 은평구 가좌로 269 다보빌딩 1층,02-302-3777
읍천리382 응암점,4.4,서울 은평구 응암로 302-1 1층,02-6953-2999
수수가든카페 은평점,2.6,서울 은평구 통일로 1050 롯데몰 2층,02-6975-5270
메가MGC커피 역촌역점,3.0,서울 은평구 서오릉로 74 1층,02-356-5771
산중다원,5.0,서울 은평구 의상봉길 31,02-371-0707
심플디,4.5,서울 은평구 연서로9길 21,
카페로이스,4.2,서울 은평구 서오릉로 240 1층,0507-1411-1519
메가MGC커피 구산역점,3.1,서울 은평구 연서로 137 1층,02-383-2757
메가MGC커피 신응암시장점,3.3,서울 은평구 응암로 243 1층,02-303-9726
공차 은평응암점,5.0,서울 은평구 은평로 108 1층,02-355-5999
디저트39 불광점,2.5,서울 은평구 불광로 37 1층,02-388-8207
빽다방 응암역이마트점,3.5,서울 은평구 은평로 101 1층 4호,02-6408-6603
카페유노이아,5.0,서울 은평구 갈현로9길 18 1층,010-8677-6170
프롬보람,5.0,서울 은평구 갈현로5길 5 1층,02-6105-0717
무딘,4.5,서울 은평구 통일로 767,070-8883-1658
탐앤탐스 DMC점,5.0,"서울 은평구 수색로 195 1,2층",02-6925-0108
컴포즈커피 연신내점,3.8,서울 은평구 연서로 252 세종빌딩 1층,070-7778-5562
즐거운반딧불이,5.0,서울 은평구 은평로21길 32,070-8223-7529
치키차카초코 은평응암점,5.0,서울 은평구 진흥로1길 11 미랜드아파트 상가 1층 104호,0507-1479-5677
이디야커피 역촌역점,1.0,서울 은평구 진흥로 95 1층,02-388-9030
컴포즈커피 은평응암오거리점,3.7,서울 은평구 가좌로 231 1층,02-304-2438
이디야 연신내통일로점,4.9,서울 은평구 통일로 876 1층 이디야커피,02-388-3389
아렌샵,5.0,"서울 은평구 증산로17길 6-33 벨템포 상가 1층 101,102호",010-6437-6856
호픈,5.0,서울 은평구 연서로10길 2 1층,010-8937-1453
신사동271,5.0,서울 은평구 증산로21가길 11-17 1층,010-2068-8679
카페밤비,5.0,서울 은평구 연서로44길 55 은평뉴타운 폭포동 426동 상가 1층 105호,0507-1340-2773
카페콤마,5.0,서울 은평구 증산로15길 9,
커핀그루나루 응암점,4.2,서울 은평구 응암로22길 29-1 2층,02-356-9632
24시무인카페만월경 응암점,0.0,서울 은평구 백련산로 38 백련산힐스테이트2차 상가3동 101호,
폴바셋 롯데몰은평점,4.0,서울 은평구 통일로 1050 1층,02-6975-5140
