name,degree,address,tel
스윗솔트,4.6,서울 강동구 상암로 286,02-3427-0999
브랜뉴하이몬드,3.8,"서울 강동구 천호옛14길 11 1,2층",02-478-2402
미드데이썬,,서울 강동구 양재대로91나길 55 1층 101호,0507-136-9308
채스우드커피,3.8,서울 강동구 성안로 42 1층,02-470-4562
테라로사 길동점,3.8,"서울 강동구 천호대로 1221 SK라이프스타일 스테이션 1,2층",1668-2764
펠어커피 강동점,4.2,서울 강동구 천호옛14길 23-12 1층,070-8098-7781
디자인카페허브,3.7,서울 강동구 천호대로200길 15-16,02-417-0437
카페노란코끼리 천호점,4.5,서울 강동구 구천면로24길 20-25,
카페제이,4.1,서울 강동구 동남로82길 19 1층,070-8270-9370
파트원나이스,4.4,서울 강동구 올림픽로89길 29,
브런치빈 명일점,,서울 강동구 양재대로 1625 7층 1호,02-474-3941
벌스커피,4.2,서울 강동구 성내로5길 34 1층,02-6084-3317
스타벅스 강동암사DT점,3.8,서울 강동구 고덕로 43,1522-3232
브리에,,서울 강동구 강동대로51길 50 1층,0507-1336-7304
스타벅스 천호로데오점,4.4,서울 강동구 천호대로 1037,1522-3232
스타벅스 천호역점,4.4,서울 강동구 천호대로 1012 태승빌딩 1층,1522-3232
성내동커피집 온온,4.0,서울 강동구 성내로18길 34 1층 103호,
카페공공장소,4.5,서울 강동구 암사길 7-1 암사동빌딩 1층 101호,0507-1314-6627
피에로커피,4.1,서울 강동구 성내로14길 27,02-471-5618
스타벅스 강동구청DT점,3.5,서울 강동구 성내로 32,1522-3232
엘리펀트커피 둔촌점,4.2,서울 강동구 천호대로 1192,02-488-2039
잇다,4.9,서울 강동구 천호대로 1156-5 1층 101호,010-7497-1871
카페씨모,4.5,서울 강동구 고덕로38길 69,010-4241-9957
아이스베리 천호점,4.5,서울 강동구 천호대로157길 17 2층,
솔리,3.9,서울 강동구 진황도로 4-5 1~3층,02-471-6091
헤르츠로그,,서울 강동구 천호옛길 57 연재빌딩 1층 101호,
스타벅스 둔촌동점,4.7,서울 강동구 양재대로 1303 평원빌딩 1층,1522-3232
스타벅스 강동역점,3.1,서울 강동구 천호대로 1089,1522-3232
우드멜로우,2.9,서울 강동구 아리수로 243,02-3427-2235
수요일,4.1,서울 강동구 동남로 891 현대델리안 202호,02-3427-6467
카페온도,4.4,서울 강동구 양재대로103길 40 성안빌딩 101호,070-8822-9561
스타벅스 길동역점,3.5,서울 강동구 양재대로 1487,1522-3232
스타벅스 강일역점,4.6,서울 강동구 고덕로 429 1층,1522-3232
브로일링커피 강동점,,서울 강동구 성내로10길 9-6 1층,
스타벅스 명일역점,3.7,서울 강동구 양재대로 1647,1522-3232
와,4.4,서울 강동구 양재대로81길 61,010-9233-9129
스타벅스 상일동점,4.3,"서울 강동구 상일로10길 36 1,2층",1522-3232
담금,3.3,서울 강동구 성내로18길 37 1층,
포포앤미루,4.2,서울 강동구 양재대로89가길 30 키키빌딩 3층,0507-1329-7176
투썸플레이스 강동역점,2.0,서울 강동구 천호대로 1077 이스트센트럴타워 1층,02-6377-8333
카페티에드,3.4,"서울 강동구 천호대로157길 52 2,3층",02-475-0011
