name,degree,address,tel
땡큐베리머치,4.0,대전 중구 중교로 49 지하1층,070-7723-0905
목수정,4.3,대전 중구 계룡로874번길 47 3층,
오시우커피,,"대전 중구 목척8길 39 1,2층",010-5940-5601
알로하녹,4.1,대전 중구 대종로521번길 29,070-7799-2368
성심당옛맛솜씨,4.6,대전 중구 대종로480번길 14 1층,1588-8069
스타벅스 대전중앙로R점,4.2,대전 중구 대종로 486,1522-3232
디블루메,4.8,대전 중구 중앙로79번길 78 카페 디블루메,070-8806-8414
100시트,3.5,대전 중구 대흥로121번길 36 2층,
대흥동커피,4.1,대전 중구 중앙로130번길 37-6 2층,010-3495-1423
사무실카페,3.7,대전 중구 대종로452번길 3 2층,010-2056-0004
카페사나고,4.4,대전 중구 중교로 76 1층,
안도르,4.2,대전 중구 목척4길 4 1층,042-222-3101
스타벅스 은행동점,4.5,대전 중구 중앙로 164 1층,1522-3232
디아로마,4.7,대전 중구 중교로73번길 14 2층,0507-1305-8262
점선면,4.0,대전 중구 부용로 44 1층,010-4733-0952
평생직장커피,,대전 중구 계룡로874번길 71 1층,042-522-1516
윈터커피로스터스,4.5,대전 중구 대흥로111번길 34 1층,042-257-0782
쌍리,4.9,대전 중구 중앙로130번길 46,042-253-8118
하이드아웃,3.9,대전 중구 대흥로121번길 21,042-253-0913
팍스,4.6,대전 중구 태평로14번길 21-12,
삼층다락방 대전은행점,4.4,대전 중구 대종로480번길 43 3층,042-221-0421
모습,3.4,대전 중구 보문산로 331 4층,070-7622-1103
오븐브라더스,,대전 중구 목동로 13 1층,010-2536-0533
스타벅스 대전유천DT점,4.0,대전 중구 계백로 1604,1522-3232
애트,4.3,대전 중구 대전천서로 467-1 1층,010-9274-8030
스타벅스 대전대사DT점,3.7,대전 중구 계룡로 949,1522-3232
커피맨션문장,4.5,대전 중구 대흥로139번길 10 2층,0507-1413-5415
하얀책상,3.8,대전 중구 대흥로165번길 25,042-255-2540
백금당 대전선화점,,대전 중구 선화서로 41 1층 101호,042-535-0016
젬스톤 대전점,4.2,대전 중구 중앙로 149,042-222-9876
마루,4.0,"대전 중구 보문산공원로497번길 61 2, 3층",042-256-6660
앙트르뽀,3.6,대전 중구 대전천서로 201,042-272-5254
마스터키 은행점,4.3,대전 중구 중앙로156번길 40 은행타워 4층 마스터키,042-222-2250
스타벅스 대전목동DT점,3.4,대전 중구 동서대로 1387,1522-3232
데이즈,4.1,대전 중구 중앙로170번길 48,042-335-1139
커피메종,4.3,대전 중구 오류로 19-5,042-522-1359
델빠네 오월드,3.3,대전 중구 산서로 296 1층,042-285-8885
카페모먼트,4.4,대전 중구 보문로230번길 58 1층 카페모먼트,010-5728-3329
헤이독 대전점,3.3,대전 중구 대흥로157번길 48 3층,042-226-7380
타르타르 대전은행점,2.8,대전 중구 중앙로164번길 42,042-226-4866
커닝,4.3,대전 중구 중앙로 132 1층,
도쿄빙수 은행동점,3.7,대전 중구 중앙로164번길 20 2층,042-300-3331
몽그라운드카페,4.6,대전 중구 어덕마을로 42-5 1층,0507-1304-7465
모모제인,4.1,대전 중구 대흥로121번길 30-8,042-221-8321
여전히잘,4.1,대전 중구 중앙로112번길 29 1층,
꽁트,3.8,대전 중구 계룡로 825 희영빌딩 1층,042-222-5050
홍연카페,4.3,대전 중구 선화서로 55,070-8860-8604
카페쉼표,4.4,대전 중구 보문산공원로497번안길 50 1층,042-221-1009
처치앤댄스홀,,대전 중구 대흥로139번길 38 1층,010-4723-9472
수파두파힐링카페,5.0,대전 중구 중앙로122번길 46,042-221-1212
드블랑,3.8,대전 중구 대종로501번길 27,042-527-8015
오늘여기우리 선화본점,3.8,대전 중구 중앙로137번길 44 1층,042-226-6328
카페익투스,5.0,대전 중구 계백로1618번길 62 1층,010-3253-2437
르윈,4.9,대전 중구 대종로517번길 14 1층,0507-1313-2891
범스,3.9,대전 중구 계룡로904번길 29,042-255-4786
장인더카페 대전점,1.5,대전 중구 대종로 487 아이원빌딩 1층 101~102호,
라이즈커피로스터즈,4.3,대전 중구 대종로 354-1,042-253-9966
스타벅스 대전태평점,3.7,대전 중구 태평로 71 뉴삼부프라자 1층,1522-3232
마스커피,4.0,대전 중구 계룡로920번안길 68 1층,010-8403-2717
카페뮤제,4.1,대전 중구 대흥로121번길 44 1층,
