name,degree,address,tel
커피스터프,3.9,서울 중랑구 망우로42길 10,
개인공간,4.2,서울 중랑구 송림길 12 1층,070-7718-0087
카페브릭,4.1,서울 중랑구 신내역로1길 127-11,
다시사랑받개,4.4,서울 중랑구 용마산로 529 4층,010-9984-6460
파크더블유,2.9,서울 중랑구 양원역로16길 103-111,02-432-5659
모이카페,2.7,서울 중랑구 용마산로125길 108-17,070-4230-0404
제이식스 1호점,2.6,서울 중랑구 면목로 487,02-434-7387
북카페공간 중화점,4.3,서울 중랑구 동일로 795 지하1층,02-2207-3970
상봉커피,4.7,서울 중랑구 봉우재로 96,
스타벅스 중랑구청점,3.9,서울 중랑구 신내로 72,1522-3232
스타벅스 중랑역점,3.4,서울 중랑구 망우로30길 3,1522-3232
설빙 상봉점,4.2,서울 중랑구 망우로 204 2층,02-6380-0707
어느날오늘,4.9,서울 중랑구 봉화산로30길 98 삼성팰리스 1층 102호,
스타벅스 중화역점,4.2,"서울 중랑구 봉화산로 35 1,2층",1522-3232
투썸플레이스 망우역사거리점,4.1,서울 중랑구 상봉로 134 삼부오피스텔 102~104호,02-362-2388
시즌,4.7,서울 중랑구 사가정로49길 62 1층,
스타벅스 묵동점,3.2,서울 중랑구 동일로 952 로프트원오피스텔 1층,1522-3232
온앤인커피,4.9,서울 중랑구 사가정로43길 6 청운명가 101호,02-222-2222
투썸플레이스 망우점,3.2,서울 중랑구 망우로 403 삼부빌딩 1층,02-6954-2588
티하우스나니,4.5,서울 중랑구 용마산로117길 26 로뎀하이빌 1층 102호,02-433-2726
스타벅스 양원역점,4.6,서울 중랑구 양원역로10길 3,1522-3232
투썸플레이스 신내점,3.0,"서울 중랑구 용마산로 637 1,2층",02-2088-0858
카페제이식스 상봉2호점,2.0,"서울 중랑구 망우로 283 1,2층",
투썸플레이스 사가정역점,3.5,서울 중랑구 면목로 301 1층,02-433-4024
소년커피,4.9,서울 중랑구 면목로92길 7 1층,010-9342-0085
커피빈 상봉역점,4.3,서울 중랑구 망우로 291 1층,02-493-8902
메가MGC커피 상봉역점,2.5,서울 중랑구 망우로 304-1 1층,02-435-5536
이노이드 커피랩,4.1,"서울 중랑구 용마산로86길 9-38 그린빌딩 1,2층",070-7808-0085
신성묵과자점&카페,4.6,서울 중랑구 겸재로 113,02-433-1650
데일리파크,4.3,서울 중랑구 신내로15길 196,02-3422-0146
투썸플레이스 중랑역점,4.1,서울 중랑구 망우로 202 2층,
